"age","item","definition","uni_lemma","learned","value"
"16",13,"alligator","alligator",0,1138
"16",15,"ant","ant",0,843
"16",16,"bear","bear",0,1183
"16",21,"butterfly","butterfly",0,829
"16",22,"cat","cat",0,1268
"16",24,"cow","cow",0,969
"16",25,"deer","deer",0,1161
"16",26,"dog","dog",1,1070
"16",27,"donkey","donkey",0,975
"16",28,"duck","duck",0,1148
"16",29,"elephant","elephant",0,1264
"16",31,"frog","frog",0,833
"16",32,"giraffe","giraffe",0,1047
"16",33,"goose","goose",0,1112
"16",35,"horse","horse",0,1042
"16",37,"lamb","lamb",0,817
"16",38,"lion","lion",0,995
"16",40,"moose","moose",0,1151
"16",41,"mouse","mouse",0,1007
"16",42,"owl","owl",0,942
"16",43,"penguin","penguin",0,1021
"16",44,"pig","pig",0,1304
"16",45,"pony","pony",0,1355
"16",47,"rooster","rooster",0,1152
"16",48,"sheep","sheep",0,801
"16",49,"squirrel","squirrel",0,1046
"16",51,"tiger","tiger",0,1330
"16",52,"turkey","turkey",0,817
"16",53,"turtle","turtle",0,981
"16",55,"zebra","zebra",0,1005
"16",56,"airplane","airplane",0,1001
"16",58,"boat","boat",0,926
"16",59,"bus","bus",0,1336
"16",60,"car","car",0,1265
"16",62,"helicopter","helicopter",0,839
"16",63,"motorcycle","motorcycle",0,855
"16",64,"sled","sled",0,787
"16",66,"tractor","tractor",0,999
"16",67,"train","train",0,1031
"16",68,"tricycle","tricycle",0,1215
"16",69,"truck","truck",0,1132
"16",70,"ball","ball",1,637
"16",71,"balloon","balloon",0,882
"16",74,"book","book",1,1396
"16",77,"crayon","crayon",0,665
"16",78,"doll","doll",0,758
"16",81,"pen","pen",0,1383
"16",82,"pencil","pencil",0,1241
"16",88,"apple","apple",0,944
"16",90,"banana","banana",1,930
"16",91,"beans","beans",0,740
"16",92,"bread","bread",0,665
"16",105,"corn","corn",0,1081
"16",131,"peas","peas",0,712
"16",133,"pickle","pickle",0,736
"16",138,"potato","potato",0,873
"16",141,"pumpkin","pumpkin",0,805
"16",142,"raisin","raisin",0,845
"16",149,"strawberry","strawberry",0,734
"16",157,"belt","belt",0,1144
"16",159,"boots","boots",0,1259
"16",161,"coat","coat",0,1639
"16",164,"gloves","gloves",0,962
"16",166,"jacket","jacket",0,1150
"16",167,"jeans","jeans",0,1063
"16",168,"mittens","mittens",0,867
"16",169,"necklace","necklace",0,1376
"16",170,"pajamas","pajamas",0,1079
"16",171,"pants","pants",0,1633
"16",173,"shirt","shirt",0,1364
"16",180,"sweater","sweater",0,857
"16",211,"basket","basket",0,833
"16",213,"bottle","bottle",0,1043
"16",214,"bowl","bowl",0,914
"16",215,"box","box",0,1510
"16",216,"broom","broom",0,1096
"16",218,"bucket","bucket",0,870
"16",221,"clock","clock",0,1049
"16",223,"cup","cup",0,1326
"16",224,"dish","dish",0,906
"16",225,"fork","fork",0,1310
"16",229,"hammer","hammer",0,1215
"16",230,"jar","jar",0,1043
"16",232,"knife","knife",0,1132
"16",233,"lamp","lamp",0,1182
"16",239,"napkin","napkin",0,867
"16",243,"pillow","pillow",0,875
"16",245,"plate","plate",0,1518
"16",247,"radio","radio",0,974
"16",248,"scissors","scissors",0,1019
"16",250,"spoon","spoon",0,1187
"16",252,"telephone","telephone",0,1146
"16",263,"bathtub","bathtub",0,829
"16",264,"bed","bed",0,1083
"16",265,"bedroom","bedroom",0,1160
"16",267,"chair","chair",0,1193
"16",268,"closet","closet",0,1154
"16",269,"couch","couch",0,1169
"16",271,"door","door",0,1217
"16",274,"garage","garage",0,809
"16",278,"oven","oven",0,946
"16",286,"sink","sink",0,1039
"16",289,"stove","stove",0,940
"16",290,"table","table",0,1060
"16",300,"hose","hose",0,1098
"16",309,"shovel","shovel",0,1134
"16",317,"stick","stick",0,926
"17",13,"alligator","alligator",0,1138
"17",15,"ant","ant",0,843
"17",16,"bear","bear",0,1183
"17",21,"butterfly","butterfly",0,829
"17",22,"cat","cat",0,1268
"17",24,"cow","cow",0,969
"17",25,"deer","deer",0,1161
"17",27,"donkey","donkey",0,975
"17",28,"duck","duck",1,1148
"17",29,"elephant","elephant",0,1264
"17",31,"frog","frog",0,833
"17",32,"giraffe","giraffe",0,1047
"17",33,"goose","goose",0,1112
"17",35,"horse","horse",0,1042
"17",37,"lamb","lamb",0,817
"17",38,"lion","lion",0,995
"17",40,"moose","moose",0,1151
"17",41,"mouse","mouse",0,1007
"17",42,"owl","owl",0,942
"17",43,"penguin","penguin",0,1021
"17",44,"pig","pig",0,1304
"17",45,"pony","pony",0,1355
"17",47,"rooster","rooster",0,1152
"17",48,"sheep","sheep",0,801
"17",49,"squirrel","squirrel",0,1046
"17",51,"tiger","tiger",0,1330
"17",52,"turkey","turkey",0,817
"17",53,"turtle","turtle",0,981
"17",55,"zebra","zebra",0,1005
"17",56,"airplane","airplane",0,1001
"17",58,"boat","boat",0,926
"17",59,"bus","bus",0,1336
"17",60,"car","car",0,1265
"17",62,"helicopter","helicopter",0,839
"17",63,"motorcycle","motorcycle",0,855
"17",64,"sled","sled",0,787
"17",66,"tractor","tractor",0,999
"17",67,"train","train",0,1031
"17",68,"tricycle","tricycle",0,1215
"17",69,"truck","truck",0,1132
"17",71,"balloon","balloon",0,882
"17",77,"crayon","crayon",0,665
"17",78,"doll","doll",0,758
"17",81,"pen","pen",0,1383
"17",82,"pencil","pencil",0,1241
"17",88,"apple","apple",0,944
"17",91,"beans","beans",0,740
"17",92,"bread","bread",0,665
"17",105,"corn","corn",0,1081
"17",131,"peas","peas",0,712
"17",133,"pickle","pickle",0,736
