"age","item","definition","uni_lemma","learned","value"
16,13,"alligator","alligator",0,0
16,15,"ant","ant",0,0
16,16,"bear","bear",0,0
16,21,"butterfly","butterfly",0,0
16,22,"cat","cat",0,0
16,24,"cow","cow",0,0
16,25,"deer","deer",0,0
16,26,"dog","dog",1,0
16,27,"donkey","donkey",0,0
16,28,"duck","duck",0,0
16,29,"elephant","elephant",0,0
16,31,"frog","frog",0,0
16,32,"giraffe","giraffe",0,0
16,33,"goose","goose",0,0
16,35,"horse","horse",0,0
16,37,"lamb","lamb",0,0
16,38,"lion","lion",0,0
16,40,"moose","moose",0,0
16,41,"mouse","mouse",0,0
16,42,"owl","owl",0,0
16,43,"penguin","penguin",0,0
16,44,"pig","pig",0,0
16,45,"pony","pony",0,0
16,47,"rooster","rooster",0,0
16,48,"sheep","sheep",0,0
16,49,"squirrel","squirrel",0,0
16,51,"tiger","tiger",0,0
16,52,"turkey","turkey",0,0
16,53,"turtle","turtle",0,0
16,55,"zebra","zebra",0,0
16,56,"airplane","airplane",0,0
16,58,"boat","boat",0,0
16,59,"bus","bus",0,0
16,60,"car","car",0,0
16,62,"helicopter","helicopter",0,0
16,63,"motorcycle","motorcycle",0,0
16,64,"sled","sled",0,0
16,66,"tractor","tractor",0,0
16,67,"train","train",0,0
16,68,"tricycle","tricycle",0,0
16,69,"truck","truck",0,0
16,70,"ball","ball",1,0
16,71,"balloon","balloon",0,0
16,74,"book","book",1,0
16,77,"crayon","crayon",0,0
16,78,"doll","doll",0,0
16,81,"pen","pen",0,0
16,82,"pencil","pencil",0,0
16,88,"apple","apple",0,0
16,90,"banana","banana",1,0
16,91,"beans","beans",0,0
16,92,"bread","bread",0,0
16,105,"corn","corn",0,0
16,131,"peas","peas",0,0
16,133,"pickle","pickle",0,0
16,138,"potato","potato",0,0
16,141,"pumpkin","pumpkin",0,0
16,142,"raisin","raisin",0,0
16,149,"strawberry","strawberry",0,0
16,157,"belt","belt",0,0
16,159,"boots","boots",0,0
16,161,"coat","coat",0,0
16,164,"gloves","gloves",0,0
16,166,"jacket","jacket",0,0
16,167,"jeans","jeans",0,0
16,168,"mittens","mittens",0,0
16,169,"necklace","necklace",0,0
16,170,"pajamas","pajamas",0,0
16,171,"pants","pants",0,0
16,173,"shirt","shirt",0,0
16,180,"sweater","sweater",0,0
16,211,"basket","basket",0,0
16,213,"bottle","bottle",0,0
16,214,"bowl","bowl",0,0
16,215,"box","box",0,0
16,216,"broom","broom",0,0
16,218,"bucket","bucket",0,0
16,221,"clock","clock",0,0
16,223,"cup","cup",0,0
16,224,"dish","dish",0,0
16,225,"fork","fork",0,0
16,229,"hammer","hammer",0,0
16,230,"jar","jar",0,0
16,232,"knife","knife",0,0
16,233,"lamp","lamp",0,0
16,239,"napkin","napkin",0,0
16,243,"pillow","pillow",0,0
16,245,"plate","plate",0,0
16,247,"radio","radio",0,0
16,248,"scissors","scissors",0,0
16,250,"spoon","spoon",0,0
16,252,"telephone","telephone",0,0
16,263,"bathtub","bathtub",0,0
16,264,"bed","bed",0,0
16,265,"bedroom","bedroom",0,0
16,267,"chair","chair",0,0
16,268,"closet","closet",0,0
16,269,"couch","couch",0,0
16,271,"door","door",0,0
16,274,"garage","garage",0,0
16,278,"oven","oven",0,0
16,286,"sink","sink",0,0
16,289,"stove","stove",0,0
16,290,"table","table",0,0
16,300,"hose","hose",0,0
16,309,"shovel","shovel",0,0
16,317,"stick","stick",0,0
17,13,"alligator","alligator",0,110
17,15,"ant","ant",0,110
17,16,"bear","bear",0,110
17,21,"butterfly","butterfly",0,110
17,22,"cat","cat",0,110
17,24,"cow","cow",0,110
17,25,"deer","deer",0,110
17,27,"donkey","donkey",0,110
17,28,"duck","duck",1,110
17,29,"elephant","elephant",0,110
17,31,"frog","frog",0,110
17,32,"giraffe","giraffe",0,110
17,33,"goose","goose",0,110
17,35,"horse","horse",0,110
17,37,"lamb","lamb",0,110
17,38,"lion","lion",0,110
17,40,"moose","moose",0,110
17,41,"mouse","mouse",0,110
17,42,"owl","owl",0,110
17,43,"penguin","penguin",0,110
17,44,"pig","pig",0,110
17,45,"pony","pony",0,110
17,47,"rooster","rooster",0,110
17,48,"sheep","sheep",0,110
17,49,"squirrel","squirrel",0,110
17,51,"tiger","tiger",0,110
17,52,"turkey","turkey",0,110
17,53,"turtle","turtle",0,110
17,55,"zebra","zebra",0,110
17,56,"airplane","airplane",0,110
17,58,"boat","boat",0,110
17,59,"bus","bus",0,110
17,60,"car","car",0,110
17,62,"helicopter","helicopter",0,110
17,63,"motorcycle","motorcycle",0,110
17,64,"sled","sled",0,110
17,66,"tractor","tractor",0,110
17,67,"train","train",0,110
17,68,"tricycle","tricycle",0,110
17,69,"truck","truck",0,110
17,71,"balloon","balloon",0,110
17,77,"crayon","crayon",0,110
17,78,"doll","doll",0,110
17,81,"pen","pen",0,110
17,82,"pencil","pencil",0,110
17,88,"apple","apple",0,110
17,91,"beans","beans",0,110
17,92,"bread","bread",0,110
17,105,"corn","corn",0,110
17,131,"peas","peas",0,110
17,133,"pickle","pickle",0,110
17,138,"potato","potato",0,110
17,141,"pumpkin","pumpkin",0,110
17,142,"raisin","raisin",0,110
17,149,"strawberry","strawberry",0,110
17,157,"belt","belt",0,110
17,159,"boots","boots",0,110
17,161,"coat","coat",0,110
17,164,"gloves","gloves",0,110
17,166,"jacket","jacket",0,110
17,167,"jeans","jeans",0,110
17,168,"mittens","mittens",0,110
17,169,"necklace","necklace",0,110
17,170,"pajamas","pajamas",0,110
17,171,"pants","pants",0,110
17,173,"shirt","shirt",0,110
17,180,"sweater","sweater",0,110
17,211,"basket","basket",0,110
17,213,"bottle","bottle",0,110
17,214,"bowl","bowl",0,110
17,215,"box","box",0,110
17,216,"broom","broom",0,110
17,218,"bucket","bucket",0,110
17,221,"clock","clock",0,110
17,223,"cup","cup",0,110
17,224,"dish","dish",0,110
17,225,"fork","fork",0,110
17,229,"hammer","hammer",0,110
17,230,"jar","jar",0,110
17,232,"knife","knife",0,110
17,233,"lamp","lamp",0,110
17,239,"napkin","napkin",0,110
17,243,"pillow","pillow",0,110
17,245,"plate","plate",0,110
17,247,"radio","radio",0,110
17,248,"scissors","scissors",0,110
17,250,"spoon","spoon",0,110
17,252,"telephone","telephone",0,110
17,263,"bathtub","bathtub",0,110
17,264,"bed","bed",0,110
17,265,"bedroom","bedroom",0,110
17,267,"chair","chair",0,110
17,268,"closet","closet",0,110
17,269,"couch","couch",0,110
17,271,"door","door",0,110
17,274,"garage","garage",0,110
17,278,"oven","oven",0,110
17,286,"sink","sink",0,110
17,289,"stove","stove",0,110
17,290,"table","table",0,110
17,300,"hose","hose",0,110
17,309,"shovel","shovel",0,110
17,317,"stick","stick",0,110
18,13,"alligator","alligator",0,196
18,15,"ant","ant",0,196
18,16,"bear","bear",1,196
18,21,"butterfly","butterfly",0,196
18,22,"cat","cat",1,196
18,24,"cow","cow",0,196
18,25,"deer","deer",0,196
18,27,"donkey","donkey",0,196
18,29,"elephant","elephant",0,196
18,31,"frog","frog",0,196
18,32,"giraffe","giraffe",0,196
18,33,"goose","goose",0,196
18,35,"horse","horse",0,196
18,37,"lamb","lamb",0,196
18,38,"lion","lion",0,196
18,40,"moose","moose",0,196
