"language","type","degree","degree_sig","degree_ctrl","degree_sig_control","lrtest"
"Croatian","phono_PAC_t1","-0.627","**","-0.412","*","*"
"Croatian","phono_PAC_t2","-0.189","***","-0.124","**","**"
"Croatian","McRae_PAC_t1_p","-0.017","NS","-0.002","NS","NS"
"Croatian","McRae_PAC_t2_p","-0.017","NS","-0.002","NS","NS"
"Croatian","McRae_PAC_t1_np","0.01","NS","0.023","NS","NS"
"Croatian","McRae_PAC_t2_np","0.01","NS","0.023","NS","NS"
"Croatian","assoc_PAC_p","-0.173","***","-0.096","*","*"
"Croatian","assoc_PAC_np","-0.303","***","-0.173","*","*"
"Danish","phono_PAC_t1","-0.519","*","-0.071","NS","NS"
"Danish","phono_PAC_t2","-0.201","***","-0.124","*","*"
"Danish","McRae_PAC_t1_p","0.006","NS","0.012","NS","NS"
"Danish","McRae_PAC_t2_p","0.006","NS","0.012","NS","NS"
"Danish","McRae_PAC_t1_np","-0.001","NS","0.009","NS","NS"
"Danish","McRae_PAC_t2_np","-0.001","NS","0.009","NS","NS"
"Danish","assoc_PAC_p","-0.135","**","-0.057","NS","NS"
"Danish","assoc_PAC_np","-0.341","***","-0.173","NS","NS"
"English (American)","phono_PAC_t1","-0.648","***","-0.211","NS","NS"
"English (American)","phono_PAC_t2","-0.169","***","-0.142","***","***"
"English (American)","McRae_PAC_t1_p","-0.004","NS","-0.006","NS","NS"
"English (American)","McRae_PAC_t2_p","-0.004","NS","-0.006","NS","NS"
"English (American)","McRae_PAC_t1_np","-0.011","NS","-0.009","NS","NS"
"English (American)","McRae_PAC_t2_np","-0.011","NS","-0.009","NS","NS"
"English (American)","assoc_PAC_p","-0.117","***","-0.036","NS","NS"
"English (American)","assoc_PAC_np","-0.225","***","-0.05","NS","NS"
"Italian","phono_PAC_t1","-1.192","NS","-0.622","NS","NS"
"Italian","phono_PAC_t2","-0.396","***","-0.334","**","**"
"Italian","McRae_PAC_t1_p","0.021","NS","0.007","NS","NS"
"Italian","McRae_PAC_t2_p","0.021","NS","0.007","NS","NS"
"Italian","McRae_PAC_t1_np","0.038","NS","0.024","NS","NS"
"Italian","McRae_PAC_t2_np","0.038","NS","0.024","NS","NS"
"Italian","assoc_PAC_p","-0.196","***","-0.089","NS","NS"
"Italian","assoc_PAC_np","-0.205","**","-0.076","NS","NS"
"Norwegian","phono_PAC_t1","-0.65","NS","-0.002","NS","NS"
"Norwegian","phono_PAC_t2","-0.306","***","-0.105","NS","NS"
"Norwegian","McRae_PAC_t1_p","0.042","NS","0.048","NS","NS"
"Norwegian","McRae_PAC_t2_p","0.042","NS","0.048","NS","NS"
"Norwegian","McRae_PAC_t1_np","0.035","NS","0.047","NS","NS"
"Norwegian","McRae_PAC_t2_np","0.035","NS","0.047","NS","NS"
"Norwegian","assoc_PAC_p","-0.141","***","-0.026","NS","NS"
"Norwegian","assoc_PAC_np","-0.292","***","-0.022","NS","NS"
"Russian","phono_PAC_t1","-0.529","NS","-0.446","NS","NS"
"Russian","phono_PAC_t2","-0.285","***","-0.214","**","**"
"Russian","McRae_PAC_t1_p","-0.015","NS","-0.013","NS","NS"
"Russian","McRae_PAC_t2_p","-0.015","NS","-0.013","NS","NS"
