language,type,CI lower,Optim Par,CI upper,Full Model nLLK,Random Model nLLK
English (American),assoc_PAC_np,0.031542969,0.048242188,0.06875,1437.854967,1444.840797
English (American),assoc_PAC_p,0.027392578,0.038623047,0.050585938,1434.671204,1444.840797
English (American),phono_PAC_t2,0.025195313,0.043554688,0.062890625,1437.965427,1444.840797
Danish,assoc_PAC_np,0.030273438,0.062402344,0.09765625,872.7110241,876.9251944
Danish,assoc_PAC_p,0.025097656,0.035839844,0.050878906,872.1303454,876.9251944
Danish,phono_PAC_t2,0.03984375,0.059082031,0.076953125,867.656641,876.9251944
Norwegian,assoc_PAC_np,0.0203125,0.048339844,0.0796875,846.879471,849.7047005
Norwegian,assoc_PAC_p,0.031640625,0.046875,0.063183594,843.4529044,849.7047005
Norwegian,phono_PAC_t2,0.047265625,0.086914063,0.1203125,843.0904112,849.7047005
English (American),McRae_PAC_np,-0.009521484,0.001513672,0.014013672,421.0281215,421.0504161
English (American),McRae_PAC_p,-0.010351563,0.000244141,0.011523438,460.5537744,460.5544996
Danish,McRae_PAC_np,-0.024023438,-0.00625,0.014990234,287.4896105,287.6344234
Danish,McRae_PAC_p,-0.019824219,-0.003173828,0.014575195,315.1758036,315.2248073
Norwegian,McRae_PAC_np,-0.030371094,-0.010351563,0.010205078,285.6558808,286.0658933
Norwegian,McRae_PAC_p,-0.02734375,-0.010351563,0.006835938,313.244698,313.791377
