"cue","target","link"
"alligator","alligator",0
"animal","alligator",0
"ant","alligator",0
"bear","alligator",0
"bee","alligator",0
"bird","alligator",0
"bug","alligator",0
"bunny","alligator",0
"butterfly","alligator",0
"cat","alligator",0
"chicken","alligator",0
"cow","alligator",0
"deer","alligator",0
"dog","alligator",0
"donkey","alligator",0
"duck","alligator",0
"elephant","alligator",0
"fish","alligator",0
"frog","alligator",0
"giraffe","alligator",0
"goose","alligator",0
"hen","alligator",0
"horse","alligator",0
"kitty","alligator",0
"lamb","alligator",0
"lion","alligator",0
"monkey","alligator",0
"moose","alligator",0
"mouse","alligator",0
"owl","alligator",0
"penguin","alligator",0
"pig","alligator",0
"pony","alligator",0
"puppy","alligator",0
"rooster","alligator",0
"sheep","alligator",0
"squirrel","alligator",0
"teddybear","alligator",0
"tiger","alligator",0
"turkey","alligator",0
"turtle","alligator",0
"wolf","alligator",0
"zebra","alligator",0
"airplane","alligator",0
"bicycle","alligator",0
"boat","alligator",0
"bus","alligator",0
"car","alligator",0
"firetruck","alligator",0
"helicopter","alligator",0
"motorcycle","alligator",0
"sled","alligator",0
"stroller","alligator",0
"tractor","alligator",0
"train","alligator",0
"tricycle","alligator",0
"truck","alligator",0
"ball","alligator",0
"balloon","alligator",0
"bat","alligator",0
"block","alligator",0
"book","alligator",0
"bubbles","alligator",0
"chalk","alligator",0
"crayon","alligator",0
"doll","alligator",0
"game","alligator",0
"glue","alligator",0
"pen","alligator",0
"pencil","alligator",0
"play dough","alligator",0
"present","alligator",0
"puzzle","alligator",0
"story","alligator",0
"toy","alligator",0
"apple","alligator",0
"applesauce","alligator",0
"banana","alligator",0
"beans","alligator",0
"bread","alligator",0
"butter","alligator",0
"cake","alligator",0
"candy","alligator",0
"carrots","alligator",0
"cereal","alligator",0
"cheerios","alligator",0
"cheese","alligator",0
"chicken","alligator",0
"chocolate","alligator",0
"coffee","alligator",0
"coke","alligator",0
"cookie","alligator",0
"corn","alligator",0
"cracker","alligator",0
"donut","alligator",0
"drink","alligator",0
"egg","alligator",0
"fish","alligator",0
"food","alligator",0
"french fries","alligator",0
"grapes","alligator",0
"green beans","alligator",0
"gum","alligator",0
"hamburger","alligator",0
"ice","alligator",0
"ice cream","alligator",0
"jello","alligator",0
"jelly","alligator",0
"juice","alligator",0
"lollipop","alligator",0
"meat","alligator",0
"melon","alligator",0
"milk","alligator",0
"muffin","alligator",0
"noodles","alligator",0
"nuts","alligator",0
"orange","alligator",0
"pancake","alligator",0
"peas","alligator",0
"peanut butter","alligator",0
"pickle","alligator",0
"pizza","alligator",0
"popcorn","alligator",0
"popsicle","alligator",0
"potato chip","alligator",0
"potato","alligator",0
"pretzel","alligator",0
"pudding","alligator",0
"pumpkin","alligator",0
"raisin","alligator",0
"salt","alligator",0
"sandwich","alligator",0
"sauce","alligator",0
"soda","alligator",0
"soup","alligator",0
"spaghetti","alligator",0
"strawberry","alligator",0
"toast","alligator",0
"tuna","alligator",0
"vanilla","alligator",0
"vitamins","alligator",0
"water","alligator",0
"yogurt","alligator",0
"beads","alligator",0
"belt","alligator",0
"bib","alligator",0
"boots","alligator",0
"button","alligator",0
"coat","alligator",0
"diaper","alligator",0
"dress","alligator",0
"gloves","alligator",0
"hat","alligator",0
"jacket","alligator",0
"jeans","alligator",0
"mittens","alligator",0
"necklace","alligator",0
"pajamas","alligator",0
"pants","alligator",0
"scarf","alligator",0
"shirt","alligator",0
"shoe","alligator",0
"shorts","alligator",0
"slipper","alligator",0
"sneaker","alligator",0
"snowsuit","alligator",0
"sock","alligator",0
"sweater","alligator",0
"tights","alligator",0
"underpants","alligator",0
"zipper","alligator",0
"ankle","alligator",0
"arm","alligator",0
"belly button","alligator",0
"buttocks","alligator",0
"cheek","alligator",0
"chin","alligator",0
"ear","alligator",0
"eye","alligator",0
"face","alligator",0
"finger","alligator",0
"foot","alligator",0
"hair","alligator",0
"hand","alligator",0
"head","alligator",0
"knee","alligator",0
"leg","alligator",0
"lips","alligator",0
"mouth","alligator",0
"nose","alligator",0
"owie","alligator",0
"penis","alligator",0
"shoulder","alligator",0
"toe","alligator",0
"tongue","alligator",0
"tooth","alligator",0
"tummy","alligator",0
"vagina","alligator",0
"basket","alligator",0
"blanket","alligator",0
"bottle","alligator",0
"bowl","alligator",0
"box","alligator",0
"broom","alligator",0
"brush","alligator",0
"bucket","alligator",0
"camera","alligator",0
"can","alligator",0
"clock","alligator",0
"comb","alligator",0
"cup","alligator",0
"dish","alligator",0
"fork","alligator",0
"garbage","alligator",0
"glass","alligator",0
"glasses","alligator",0
"hammer","alligator",0
"jar","alligator",0
"keys","alligator",0
"knife","alligator",0
"lamp","alligator",0
"light","alligator",0
"medicine","alligator",0
"money","alligator",0
"mop","alligator",0
"nail","alligator",0
"napkin","alligator",0
"paper","alligator",0
"penny","alligator",0
"picture","alligator",0
"pillow","alligator",0
"plant","alligator",0
"plate","alligator",0
"purse","alligator",0
"radio","alligator",0
"scissors","alligator",0
"soap","alligator",0
"spoon","alligator",0
"tape","alligator",0
"telephone","alligator",0
"tissue","alligator",0
"toothbrush","alligator",0
"towel","alligator",0
"trash","alligator",0
"tray","alligator",0
"vacuum","alligator",0
"walker","alligator",0
"watch","alligator",0
"basement","alligator",0
"bathroom","alligator",0
"bathtub","alligator",0
"bed","alligator",0
"bedroom","alligator",0
"bench","alligator",0
"chair","alligator",0
"closet","alligator",0
"couch","alligator",0
"crib","alligator",0
"door","alligator",0
"drawer","alligator",0
"dryer","alligator",0
"garage","alligator",0
"high chair","alligator",0
"kitchen","alligator",0
"living room","alligator",0
