definition,freq
you,124219
the,81029
it,59629
a,56952
to,51760
i,50418
what,48081
that,43202
and,41780
is,34513
do,33223
in,28053
oh,25578
on,24774
this,22443
that's,22355
your,21942
have,20754
no,20416
don't,19658
he,18122
there,17881
one,17794
are,17202
of,16529
right,16107
know,15938
it's,15702
see,15625
go,15568
can,15040
yeah,14962
like,14892
did,14542
here,14486
we,13871
put,13432
me,13260
for,12404
get,12336
now,12333
want,12221
not,12137
ok,12007
with,11896
all,11882
she,11584
was,11495
what's,11492
up,11477
they,11212
going,11192
well,10752
think,10015
so,9545
you're,9541
just,9376
good,9256
look,9202
at,9026
uh,8967
got,8925
out,8873
come,8811
be,8533
yes,8521
okay,8494
them,8472
how,8356
hmmm,7958
where,7671
but,7504
some,7454
then,7441
her,7359
i'm,7305
if,7150
down,6899
little,6767
my,6677
why,6639
when,6446
about,6362
him,6183
uhh,6108
he's,6085
does,6005
say,5538
take,5418
gonna,5408
his,5346
too,5324
over,5234
doing,5139
back,5134
i'll,5115
would,4968
very,4909
because,4905
there's,4833
who,4757
or,4711
make,4609
big,4563
tell,4526
off,4508
didn't,4346
let's,4255
more,4197
two,4140
play,4096
eat,3960
can't,3920
will,3831
really,3805
let,3798
those,3776
isn't,3775
she's,3720
were,3658
had,3632
time,3622
they're,3620
these,3612
other,3390
something,3200
has,3195
way,3180
nice,3161
said,3154
another,3126
where's,3126
house,3102
give,3096
alright,3040
wanna,2968
doesn't,2960
else,2904
as,2857
um,2844
sit,2839
could,2782
boy,2743
sure,2728
an,2714
baby,2683
who's,2677
from,2671
any,2652
wait,2644
again,2587
we'll,2554
thank,2520
girl,2477
wee,2441
school,2414
away,2412
daddy,2396
maybe,2339
goes,2331
need,2328
says,2326
mommy,2320
today,2318
car,2309
we're,2299
thing,2264
ah,2263
book,2259
which,2259
mean,2250
name,2246
turn,2235
show,2178
better,2166
things,2158
went,2082
here's,2069
first,1995
man,1994
...,1981
home,1974
should,1971
remember,1936
happened,1928
xx,1924
ha,1860
shall,1858
three,1835
day,1800
kind,1794
been,1787
bed,1767
find,1767
ya,1739
bit,1726
won't,1726
hey,1719
hear,1714
try,1702
around,1699
much,1678
watch,1658
people,1657
you've,1648
please,1632
pretty,1629
minute,1626
adam,1625
help,1595
last,1578
sarah,1576
bring,1574
you'll,1556
into,1552
dog,1529
thought,1515
only,1513
mummy,1510
i've,1504
looks,1492
hi,1491
room,1490
water,1482
leave,1480
getting,1458
many,1446
before,1444
next,1440
anything,1414
night,1414
table,1407
