"word","phonetic"
"airplane","EH1:R:P:L:EY2:N"
"alligator","AE1:L:AH0:G:EY2:T:ER0"
"animal","AE1:N:AH0:M:AH0:L"
"ankle","AE1:NG:K:AH0:L"
"ant","AE1:N:T"
"apple","AE1:P:AH0:L"
"applesauce","AE1:P:AH0:L:S:AO2:S"
"arm","AA1:R:M"
"backyard","B:AE1:K:Y:AA2:R:D"
"ball","B:AO1:L"
"balloon","B:AH0:L:UW1:N"
"banana","B:AH0:N:AE1:N:AH0"
"basket","B:AE1:S:K:AH0:T"
"bat","B:AE1:T"
"bathroom","B:AE1:TH:R:UW2:M"
"bathtub","B:AE1:TH:T:AH0:B"
"beads","B:IY1:D:Z"
"beans","B:IY1:N:Z"
"bear","B:EH1:R"
"bed","B:EH1:D"
"bedroom","B:EH1:D:R:UW2:M"
"bee","B:IY1"
"belt","B:EH1:L:T"
"bib","B:IH1:B"
"bicycle","B:AY1:S:IH0:K:AH0:L"
"bird","B:ER1:D"
"blanket","B:L:AE1:NG:K:AH0:T"
"block","B:L:AA1:K"
"boat","B:OW1:T"
"book","B:UH1:K"
"boots","B:UW1:T:S"
"bottle","B:AA1:T:AH0:L"
"bowl","B:OW1:L"
"box","B:AA1:K:S"
"bread","B:R:EH1:D"
"broom","B:R:UW1:M"
"brush","B:R:AH1:SH"
"bubbles","B:AH1:B:AH0:L:Z"
"bucket","B:AH1:K:IH0:T"
"bug","B:AH1:G"
"bunny","B:AH1:N:IY0"
"bus","B:AH1:S"
"butter","B:AH1:T:ER0"
"butterfly","B:AH1:T:ER0:F:L:AY2"
"button","B:AH1:T:AH0:N"
"cake","K:EY1:K"
"camera","K:AE1:M:ER0:AH0"
"can","K:AE1:N"
"candy","K:AE1:N:D:IY0"
"car","K:AA1:R"
"carrots","K:AE1:R:AH0:T:S"
"cat","K:AE1:T"
"cereal","S:IH1:R:IY0:AH0:L"
"chair","CH:EH1:R"
"chalk","CH:AA1:K"
"cheek","CH:IY1:K"
"cheerios","CH:IH1:R:IY0:OW0:S"
"cheese","CH:IY1:Z"
"chicken","CH:IH1:K:AH0:N"
"chin","CH:IH1:N"
"chocolate","CH:AO1:K:L:AH0:T"
"clock","K:L:AA1:K"
"closet","K:L:AA1:Z:AH0:T"
"cloud","K:L:AW1:D"
"coat","K:OW1:T"
"coffee","K:AA1:F:IY0"
"coke","K:OW1:K"
"comb","K:OW1:M"
"cookie","K:UH1:K:IY0"
"corn","K:AO1:R:N"
"couch","K:AW1:CH"
"cow","K:AW1"
"cracker","K:R:AE1:K:ER0"
"crayon","K:R:EY1:AA2:N"
"crib","K:R:IH1:B"
"cup","K:AH1:P"
"deer","D:IH1:R"
"diaper","D:AY1:P:ER0"
"dish","D:IH1:SH"
"dog","D:AO1:G"
"doll","D:AA1:L"
"donkey","D:AA1:NG:K:IY0"
"donut","D:OW1:N:AH2:T"
"door","D:AO1:R"
"drawer","D:R:AO1:R"
"dress","D:R:EH1:S"
"drink","D:R:IH1:NG:K"
"dryer","D:R:AY1:ER0"
"duck","D:AH1:K"
"ear","IY1:R"
"egg","EH1:G"
"elephant","EH1:L:AH0:F:AH0:N:T"
"eye","AY1"
"face","F:EY1:S"
"finger","F:IH1:NG:G:ER0"
"fish","F:IH1:SH"
"flag","F:L:AE1:G"
"flower","F:L:AW1:ER0"
"food","F:UW1:D"
"foot","F:UH1:T"
"fork","F:AO1:R:K"
"frog","F:R:AA1:G"
"game","G:EY1:M"
"garage","G:ER0:AA1:ZH"
"garbage","G:AA1:R:B:IH0:JH"
"garden","G:AA1:R:D:AH0:N"
"giraffe","JH:ER0:AE1:F"
"glass","G:L:AE1:S"
"glasses","G:L:AE1:S:AH0:Z"
"gloves","G:L:AH1:V:Z"
"glue","G:L:UW1"
"goose","G:UW1:S"
"grapes","G:R:EY1:P:S"
"grass","G:R:AE1:S"
"gum","G:AH1:M"
"hair","HH:EH1:R"
"hamburger","HH:AE1:M:B:ER0:G:ER0"
"hammer","HH:AE1:M:ER0"
"hand","HH:AE1:N:D"
"hat","HH:AE1:T"
"head","HH:EH1:D"
"helicopter","HH:EH1:L:IH0:K:AA2:P:T:ER0"
"horse","HH:AO1:R:S"
"hose","HH:OW1:Z"
"ice","AY1:S"
"jacket","JH:AE1:K:AH0:T"
"jar","JH:AA1:R"
"jeans","JH:IY1:N:Z"
"jello","JH:EH1:L:OW0"
"jelly","JH:EH1:L:IY0"
"juice","JH:UW1:S"
"keys","K:IY1:Z"
"kitchen","K:IH1:CH:AH0:N"
"kitty","K:IH1:T:IY0"
"knee","N:IY1"
"knife","N:AY1:F"
"ladder","L:AE1:D:ER0"
"lamb","L:AE1:M"
"lamp","L:AE1:M:P"
"leg","L:EH1:G"
"light","L:AY1:T"
"lion","L:AY1:AH0:N"
"lips","L:IH1:P:S"
"lollipop","L:AA1:L:IY0:P:AA2:P"
"meat","M:IY1:T"
"medicine","M:EH1:D:AH0:S:AH0:N"
"melon","M:EH1:L:AH0:N"
"milk","M:IH1:L:K"
"mittens","M:IH1:T:AH0:N:Z"
"money","M:AH1:N:IY0"
"monkey","M:AH1:NG:K:IY0"
"moon","M:UW1:N"
"moose","M:UW1:S"
"mop","M:AA1:P"
"motorcycle","M:OW1:T:ER0:S:AY2:K:AH0:L"
"mouse","M:AW1:S"
"mouth","M:AW1:TH"
"muffin","M:AH1:F:AH0:N"
"nail","N:EY1:L"
"napkin","N:AE1:P:K:IH0:N"
"necklace","N:EH1:K:L:AH0:S"
"noodles","N:UW1:D:AH0:L:Z"
"nose","N:OW1:Z"
"nuts","N:AH1:T:S"
"orange","AO1:R:AH0:N:JH"
"oven","AH1:V:AH0:N"
"owl","AW1:L"
"pajamas","P:AH0:JH:AA1:M:AH0:Z"
"pancake","P:AE1:N:K:EY2:K"
"pants","P:AE1:N:T:S"
"paper","P:EY1:P:ER0"
"peas","P:IY1:Z"
"pen","P:EH1:N"
"pencil","P:EH1:N:S:AH0:L"
"penguin","P:EH1:NG:G:W:AH0:N"
"penis","P:IY1:N:IH0:S"
"penny","P:EH1:N:IY0"
"pickle","P:IH1:K:AH0:L"
"picture","P:IH1:K:CH:ER0"
"pig","P:IH1:G"
"pillow","P:IH1:L:OW0"
"pizza","P:IY1:T:S:AH0"
"plant","P:L:AE1:N:T"
"plate","P:L:EY1:T"
"pony","P:OW1:N:IY2"
"pool","P:UW1:L"
"popcorn","P:AA1:P:K:AO2:R:N"
"popsicle","P:AA1:P:S:IH0:K:AH0:L"
"potato","P:AH0:T:EY1:T:OW2"
"potty","P:AA1:T:IY0"
"present","P:R:EH1:Z:AH0:N:T"
"pretzel","P:R:EH1:T:Z:AH0:L"
"pudding","P:UH1:D:IH0:NG"
"pumpkin","P:AH1:M:P:K:IH0:N"
"puppy","P:AH1:P:IY0"
"purse","P:ER1:S"
"puzzle","P:AH1:Z:AH0:L"
"radio","R:EY1:D:IY0:OW2"
"rain","R:EY1:N"
"raisin","R:EY1:Z:IH0:N"
"refrigerator","R:AH0:F:R:IH1:JH:ER0:EY2:T:ER0"
"rock","R:AA1:K"
"roof","R:UW1:F"
"room","R:UW1:M"
"rooster","R:UW1:S:T:ER0"
"salt","S:AO1:L:T"
"sandbox","S:AE1:N:D:B:AA2:K:S"
"sandwich","S:AE1:N:D:W:IH0:CH"
"sauce","S:AO1:S"
"scissors","S:IH1:Z:ER0:Z"
"sheep","SH:IY1:P"
"shirt","SH:ER1:T"
"shoe","SH:UW1"
"shorts","SH:AO1:R:T:S"
"shoulder","SH:OW1:L:D:ER0"
"shovel","SH:AH1:V:AH0:L"
"shower","SH:AW1:ER0"
"sidewalk","S:AY1:D:W:AO2:K"
"sink","S:IH1:NG:K"
"sky","S:K:AY1"
"sled","S:L:EH1:D"
"slide","S:L:AY1:D"
"slipper","S:L:IH1:P:ER0"
"snow","S:N:OW1"
"snowman","S:N:OW1:M:AE2:N"
"soap","S:OW1:P"
"sock","S:AA1:K"
"soup","S:UW1:P"
"spaghetti","S:P:AH0:G:EH1:T:IY0"
"spoon","S:P:UW1:N"
"sprinkler","S:P:R:IH1:NG:K:L:ER0"
"squirrel","S:K:W:ER1:AH0:L"
"stairs","S:T:EH1:R:Z"
"star","S:T:AA1:R"
"stick","S:T:IH1:K"
"story","S:T:AO1:R:IY0"
"stove","S:T:OW1:V"
"strawberry","S:T:R:AO1:B:EH2:R:IY0"
"street","S:T:R:IY1:T"
"stroller","S:T:R:OW1:L:ER0"
"sun","S:AH1:N"
"sweater","S:W:EH1:T:ER0"
"swing","S:W:IH1:NG"
"table","T:EY1:B:AH0:L"
"tape","T:EY1:P"
"telephone","T:EH1:L:AH0:F:OW2:N"
"tiger","T:AY1:G:ER0"
"toast","T:OW1:S:T"
"toe","T:OW1"
"tongue","T:AH1:NG"
"tooth","T:UW1:TH"
"toothbrush","T:UW1:TH:B:R:AH0:SH"
"towel","T:AW1:AH0:L"
"toy","T:OY1"
"tractor","T:R:AE1:K:T:ER0"
"train","T:R:EY1:N"
"trash","T:R:AE1:SH"
"tree","T:R:IY1"
"tricycle","T:R:IH1:S:IH0:K:AH0:L"
"truck","T:R:AH1:K"
"tummy","T:AH1:M:IY0"
"turkey","T:ER1:K:IY0"
"turtle","T:ER1:T:AH0:L"
"underpants","AH1:N:D:ER0:P:AE2:N:T:S"
"vacuum","V:AE1:K:Y:UW0:M"
"vitamins","V:AY1:T:AH0:M:AH0:N:Z"
"watch","W:AA1:CH"
"water","W:AO1:T:ER0"
"wind","W:AY1:N:D"
"window","W:IH1:N:D:OW0"
"wolf","W:UH1:L:F"
"yogurt","Y:OW1:G:ER0:T"
"zebra","Z:IY1:B:R:AH0"
"zipper","Z:IH1:P:ER0"
