"item","definition","uni_lemma","type","IPA"
1,"brr-brr","vroom","word"," bˈɾrbɾr"
2,"Ga-ga","baa baa","word"," ɡˈaɡˈa"
3,"grr","grrr","word"," ɡˈərˌərˌə"
4,"jao","ouch","word"," jˈao"
5,"ku-ku","peekaboo","word"," kˈukˈu"
6,"kukurikuuu","cockadoodledoo","word"," kˈukʊrˌɪkʊˌʊʊ"
7,"kva-kva","quack quack","word"," kvˈakvˈa"
8,"mijau","meow","word"," mˈijæʊ"
9,"muu","moo","word"," mˈuʊ"
10,"njam-njam","yum yum","word"," ɲˈamɲˈam"
11,"tu-tu","beep beep","word"," tˈutˈu"
12,"vau-vau","woof woof","word"," vˈaʊvˈaʊ"
13,"buba","bug","word"," bˈubæ"
14,"guska","goose","word"," ɡˈuskæ"
16,"koka","hen","word"," kˈokæ"
17,"konj","horse","word"," kˈoɲ"
19,"koza","goat","word"," kˈozæ"
20,"krava","cow","word"," kɾˈavæ"
22,"lane","deer","word"," lˈanɛ"
23,"lav","lion","word"," lˈav"
24,"leptir","butterfly","word"," lˈɛptɪr"
25,"lisica","fox","word"," lˈisɪtsæ"
26,"mačka","cat","word"," mˈatʃkæ"
27,"magarac","donkey","word"," mˈaɡɑræts"
28,"majmun","monkey","word"," mˈɑjmʊn"
29,"medo","teddybear","word"," mˈɛdo"
31,"miš","mouse","word"," mˈiʃ"
33,"ovca","sheep","word"," ˈovtsæ"
34,"pas","dog","word"," pˈas"
35,"patka","duck","word"," pˈatkæ"
36,"pčela","bee","word"," ptʃˈɛlæ"
37,"pijetao","rooster","word"," pˈijetˌæo"
38,"pile","chicken (animal)","word"," pˈilɛ"
40,"prase","pig","word"," pɾˈasɛ"
41,"ptica","bird","word"," ptˈitsæ"
42,"purica","turkey","word"," pˈurɪtsæ"
43,"riba","fish (animal)","word"," ɾˈibæ"
44,"slon","elephant","word"," slˈon"
45,"sova","owl","word"," sˈovæ"
47,"tigar","tiger","word"," tˈiɡɑr"
48,"vjeverica","squirrel","word"," vjˈevɛrˌɪtsæ"
49,"vrabac","sparrow","word"," vɾˈabæts"
50,"vuk","wolf","word"," vˈuk"
52,"zeko","bunny","word"," zˈɛko"
53,"žaba","frog","word"," ʒˈabæ"
55,"životinja","animal","word"," ʒˈivotˌɪɲæ"
56,"auto","car","word"," ˈaʊto"
57,"autobus","bus","word"," ˈaʊtˌobʊs"
58,"avion","airplane","word"," ˈavɪon"
59,"bicikl","bicycle","word"," bˈitsɪkl̩"
60,"brod","boat","word"," bɾˈod"
62,"kamion","truck","word"," kˈamɪon"
63,"kolica","stroller","word"," kˈolɪtsæ"
64,"motor","motorcycle","word"," mˈotor"
