"age","item","definition","uni_lemma","learned","value"
"17",14,"guska","goose",0,38
"17",17,"konj","horse",0,36
"17",19,"koza","goat",0,28
"17",20,"krava","cow",0,37
"17",23,"lav","lion",0,31
"17",24,"leptir","butterfly",0,22
"17",25,"lisica","fox",0,33
"17",26,"mačka","cat",0,23
"17",27,"magarac","donkey",0,27
"17",31,"miš","mouse",0,28
"17",33,"ovca","sheep",0,29
"17",34,"pas","dog",0,24
"17",35,"patka","duck",0,28
"17",37,"pijetao","rooster",0,33
"17",40,"prase","pig",0,30
"17",44,"slon","elephant",0,31
"17",45,"sova","owl",0,25
"17",47,"tigar","tiger",0,33
"17",48,"vjeverica","squirrel",0,34
"17",49,"vrabac","sparrow",0,24
"17",53,"žaba","frog",0,28
"17",56,"auto","car",0,19
"17",57,"autobus","bus",0,23
"17",58,"avion","airplane",0,34
"17",60,"brod","boat",0,23
"17",62,"kamion","truck",0,19
"17",64,"motor","motorcycle",0,16
"17",66,"traktor","tractor",0,33
"17",69,"vlak","train",0,19
"17",70,"balon","balloon",0,37
"17",75,"knjiga","book",0,1
"17",78,"lopatica","shovel",0,13
"17",79,"lopta","ball",0,18
"17",80,"lutka","doll",0,6
"17",88,"banana","banana",0,29
"17",97,"grašak","peas",0,27
"17",104,"jabuka","apple",0,18
"17",116,"kolač","cake",0,11
"17",119,"kruh","bread",0,27
"17",120,"krumpir","potato",0,17
"17",144,"sir","cheese",0,26
"17",150,"špinat","spinach",0,13
"17",158,"čizme","boots",0,19
"17",162,"hlače","pants",0,29
"17",164,"jakna","jacket",0,14
"17",166,"kaput","coat",0,16
"17",173,"pidžama","pajamas",0,13
"17",176,"rukavice","gloves",0,7
"17",178,"šal","scarf",0,18
"17",212,"boca","bottle",0,14
"17",216,"čekić","hammer",0,22
"17",223,"jastuk","pillow",0,16
"17",231,"kutija","box",0,33
"17",237,"metla","broom",0,23
"17",241,"nož","knife",0,18
"17",243,"radio","radio",0,3
"17",247,"sat","clock",0,10
"17",252,"šalica","cup",0,24
"17",253,"škare","scissors",0,20
"17",254,"tanjur","plate",0,29
"17",255,"telefon","telephone",0,13
"17",257,"vilica","fork",0,17
"17",260,"žlica","spoon",0,22
"17",264,"garaža","garage",0,22
"17",267,"kada (object)","bathtub",0,25
"17",268,"kauč","couch",0,38
"17",271,"krevet","bed",0,12
"17",284,"stol","table",0,33
"17",285,"stolica","chair",0,26
"17",287,"štednjak","stove",0,16
"17",292,"vrata","door",0,18
"17",301,"lopata","shovel",0,13
"18",14,"guska","goose",0,38
"18",17,"konj","horse",0,36
"18",19,"koza","goat",0,28
"18",20,"krava","cow",1,37
"18",23,"lav","lion",0,31
"18",24,"leptir","butterfly",0,22
"18",25,"lisica","fox",0,33
"18",26,"mačka","cat",1,23
"18",27,"magarac","donkey",0,27
"18",31,"miš","mouse",0,28
"18",33,"ovca","sheep",0,29
"18",34,"pas","dog",0,24
"18",35,"patka","duck",0,28
"18",37,"pijetao","rooster",0,33
"18",40,"prase","pig",0,30
"18",44,"slon","elephant",0,31
"18",45,"sova","owl",0,25
"18",47,"tigar","tiger",0,33
"18",48,"vjeverica","squirrel",0,34
"18",49,"vrabac","sparrow",0,24
"18",53,"žaba","frog",0,28
"18",56,"auto","car",1,19
"18",57,"autobus","bus",0,23
"18",58,"avion","airplane",0,34
"18",60,"brod","boat",0,23
"18",62,"kamion","truck",0,19
"18",64,"motor","motorcycle",0,16
"18",66,"traktor","tractor",0,33
"18",69,"vlak","train",0,19
"18",70,"balon","balloon",0,37
"18",75,"knjiga","book",0,1
"18",78,"lopatica","shovel",0,13
"18",79,"lopta","ball",0,18
"18",80,"lutka","doll",0,6
"18",88,"banana","banana",1,29
"18",97,"grašak","peas",0,27
"18",104,"jabuka","apple",0,18
"18",116,"kolač","cake",0,11
"18",119,"kruh","bread",0,27
"18",120,"krumpir","potato",0,17
"18",144,"sir","cheese",0,26
"18",150,"špinat","spinach",0,13
"18",158,"čizme","boots",0,19
"18",162,"hlače","pants",0,29
"18",164,"jakna","jacket",0,14
"18",166,"kaput","coat",0,16
"18",173,"pidžama","pajamas",0,13
"18",176,"rukavice","gloves",0,7
"18",178,"šal","scarf",0,18
"18",212,"boca","bottle",0,14
"18",216,"čekić","hammer",0,22
"18",223,"jastuk","pillow",0,16
"18",231,"kutija","box",0,33
"18",237,"metla","broom",0,23
"18",241,"nož","knife",0,18
"18",243,"radio","radio",0,3
"18",247,"sat","clock",0,10
"18",252,"šalica","cup",0,24
"18",253,"škare","scissors",0,20
"18",254,"tanjur","plate",0,29
"18",255,"telefon","telephone",0,13
"18",257,"vilica","fork",0,17
"18",260,"žlica","spoon",0,22
"18",264,"garaža","garage",0,22
"18",267,"kada (object)","bathtub",0,25
"18",268,"kauč","couch",0,38
"18",271,"krevet","bed",0,12
"18",284,"stol","table",0,33
"18",285,"stolica","chair",0,26
"18",287,"štednjak","stove",0,16
"18",292,"vrata","door",0,18
"18",301,"lopata","shovel",0,13
"19",14,"guska","goose",0,38
"19",17,"konj","horse",0,36
"19",19,"koza","goat",0,28
"19",23,"lav","lion",0,31
"19",24,"leptir","butterfly",0,22
"19",25,"lisica","fox",0,33
"19",27,"magarac","donkey",0,27
"19",31,"miš","mouse",0,28
"19",33,"ovca","sheep",0,29
"19",34,"pas","dog",1,24
"19",35,"patka","duck",0,28
"19",37,"pijetao","rooster",0,33
"19",40,"prase","pig",0,30
"19",44,"slon","elephant",0,31
"19",45,"sova","owl",0,25
"19",47,"tigar","tiger",0,33
"19",48,"vjeverica","squirrel",0,34
"19",49,"vrabac","sparrow",1,24
"19",53,"žaba","frog",0,28
"19",57,"autobus","bus",0,23
"19",58,"avion","airplane",0,34
"19",60,"brod","boat",0,23
"19",62,"kamion","truck",0,19
"19",64,"motor","motorcycle",0,16
"19",66,"traktor","tractor",0,33
"19",69,"vlak","train",0,19
"19",70,"balon","balloon",0,37
"19",75,"knjiga","book",0,1
"19",78,"lopatica","shovel",0,13
"19",79,"lopta","ball",1,18
"19",80,"lutka","doll",0,6
"19",97,"grašak","peas",0,27
"19",104,"jabuka","apple",0,18
"19",116,"kolač","cake",0,11
"19",119,"kruh","bread",0,27
"19",120,"krumpir","potato",0,17
"19",144,"sir","cheese",0,26
"19",150,"špinat","spinach",0,13
"19",158,"čizme","boots",0,19
"19",162,"hlače","pants",0,29
"19",164,"jakna","jacket",0,14
"19",166,"kaput","coat",0,16
"19",173,"pidžama","pajamas",0,13
"19",176,"rukavice","gloves",0,7
"19",178,"šal","scarf",0,18
"19",212,"boca","bottle",0,14
"19",216,"čekić","hammer",0,22
"19",223,"jastuk","pillow",0,16
"19",231,"kutija","box",0,33
"19",237,"metla","broom",0,23
"19",241,"nož","knife",0,18
"19",243,"radio","radio",0,3
