"month","item","definition","uni_lemma","learned","value"
17,13,"buba","bug",0,0
17,14,"guska","goose",0,5
17,16,"koka","hen",0,4
17,17,"konj","horse",0,6
17,19,"koza","goat",0,5
17,20,"krava","cow",0,4
17,23,"lav","lion",0,3
17,24,"leptir","butterfly",0,4
17,25,"lisica","fox",0,4
17,26,"mačka","cat",0,2
17,27,"magarac","donkey",0,3
17,28,"majmun","monkey",0,3
17,31,"miš","mouse",0,2
17,33,"ovca","sheep",0,4
17,34,"pas","dog",0,2
17,35,"patka","duck",0,4
17,37,"pijetao","rooster",0,1
17,40,"prase","pig",0,3
17,41,"ptica","bird",0,4
17,44,"slon","elephant",0,3
17,45,"sova","owl",0,3
17,47,"tigar","tiger",0,4
17,48,"vjeverica","squirrel",0,2
17,49,"vrabac","sparrow",0,1
17,50,"vuk","wolf",0,5
17,52,"zeko","bunny",0,2
17,53,"žaba","frog",0,1
17,55,"životinja","animal",0,6
17,56,"auto","car",0,6
17,57,"autobus","bus",0,1
17,58,"avion","airplane",0,5
17,59,"bicikl","bicycle",0,2
17,60,"brod","boat",0,0
17,62,"kamion","truck",0,2
17,64,"motor","motorcycle",0,2
17,66,"traktor","tractor",0,1
17,69,"vlak","train",0,2
17,70,"balon","balloon",0,2
17,75,"knjiga","book",0,2
17,76,"kocka","block",0,2
17,78,"lopatica","shovel",0,3
17,79,"lopta","ball",0,1
17,80,"lutka","doll",0,2
17,88,"banana","banana",0,2
17,90,"bombon","candy",0,2
17,92,"čaj","tea",0,1
17,94,"čokolada","chocolate",0,4
17,97,"grašak","peas",0,3
17,104,"jabuka","apple",0,3
17,106,"jaje","egg",0,2
17,107,"jogurt","yogurt",0,4
17,108,"juha","soup",0,3
17,111,"keks","cookie",0,5
17,116,"kolač","cake",0,4
17,119,"kruh","bread",0,3
17,120,"krumpir","potato",0,4
17,128,"meso","meat",0,3
17,129,"mlijeko","milk",0,7
17,130,"mrkve","carrots",0,4
17,144,"sir","cheese",0,4
17,145,"sladole","ice cream",0,5
17,146,"sok","juice",0,2
17,150,"špinat","spinach",0,1
17,156,"cipela","shoe",1,2
17,157,"čarapa","sock",0,1
17,158,"čizme","boots",0,3
17,160,"gumb","button",0,6
17,161,"haljina","dress",0,2
17,162,"hlače","pants",0,3
17,164,"jakna","jacket",0,2
17,165,"kapa","hat",0,6
17,166,"kaput","coat",0,3
17,172,"pelena","diaper",0,1
17,173,"pidžama","pajamas",0,1
17,176,"rukavice","gloves",0,2
17,178,"šal","scarf",0,3
17,185,"glava","head",0,3
17,187,"guza","butt",0,2
17,188,"jezik","tongue",0,2
17,189,"koljeno","knee",0,2
17,190,"kosa","hair",0,3
17,191,"lice","face",0,3
17,192,"noga","leg",0,2
17,193,"nos","nose",0,4
17,195,"oko","eye",1,4
17,196,"palac","thumb",0,1
17,198,"prst","finger",0,3
17,201,"ruka","arm",0,3
17,205,"uho","ear",0,3
17,207,"usta","mouth",0,4
17,210,"zub","tooth",0,2
17,212,"boca","bottle",0,2
17,214,"čaša","glass",0,5
17,216,"čekić","hammer",0,1
17,218,"četka","brush",0,2
17,219,"četkica za zube","toothbrush",0,1
17,223,"jastuk","pillow",0,3
17,227,"ključevi","keys",0,2
17,231,"kutija","box",0,3
17,233,"lijek","medicine",0,2
17,237,"metla","broom",0,2
17,238,"naočale","glasses",0,2
17,239,"novac","money",0,0
17,240,"novčanik","purse",0,1
17,241,"nož","knife",0,2
17,242,"papir","paper",0,2
17,243,"radio","radio",0,1
17,244,"ručnik","towel",0,3
17,246,"sapun","soap",0,0
17,247,"sat","clock",0,1
17,249,"smeće","trash",0,1
17,251,"svjetlo","light",0,2
17,252,"šalica","cup",0,5
17,253,"škare","scissors",0,2
17,254,"tanjur","plate",0,6
17,255,"telefon","telephone",0,1
17,256,"usisavač","vacuum",0,0
17,257,"vilica","fork",0,3
17,259,"zvono","bell",0,0
17,260,"žlica","spoon",0,5
17,264,"garaža","garage",0,2
17,265,"hladnjak","refrigerator",0,3
17,267,"kada (object)","bathtub",0,3
17,268,"kauč","couch",0,3
17,271,"krevet","bed",0,2
17,272,"krevetić","crib",0,1
17,273,"kuhinja","kitchen",0,7
17,274,"kupaonica","bathroom",0,4
17,277,"ormar","wardrobe",0,1
17,280,"prozor","window",0,2
17,284,"stol","table",0,1
17,285,"stolica","chair",0,5
17,287,"štednjak","stove",0,2
17,292,"vrata","door",0,2
17,295,"cvijeće","flower",0,5
17,296,"drvo","tree",0,3
17,298,"kamen","rock",0,2
17,299,"kiša","rain",0,3
17,301,"lopata","shovel",0,3
17,304,"mjesec","moon",0,3
17,306,"nebo","sky",0,2
17,309,"park","park",0,2
17,312,"snijeg","snow",0,2
17,315,"sunce","sun",0,3
17,322,"vrt","garden",0,4
17,324,"zvijezda","star",0,4
18,13,"buba","bug",0,0
18,14,"guska","goose",0,5
18,16,"koka","hen",1,4
18,17,"konj","horse",0,6
18,19,"koza","goat",0,5
18,20,"krava","cow",1,4
18,23,"lav","lion",0,3
18,24,"leptir","butterfly",0,4
18,25,"lisica","fox",0,4
18,26,"mačka","cat",1,2
18,27,"magarac","donkey",0,3
18,28,"majmun","monkey",0,3
18,31,"miš","mouse",0,2
18,33,"ovca","sheep",0,4
18,34,"pas","dog",0,2
18,35,"patka","duck",0,4
18,37,"pijetao","rooster",0,1
18,40,"prase","pig",0,3
18,41,"ptica","bird",1,4
18,44,"slon","elephant",0,3
18,45,"sova","owl",0,3
18,47,"tigar","tiger",0,4
18,48,"vjeverica","squirrel",0,2
18,49,"vrabac","sparrow",0,1
18,50,"vuk","wolf",0,5
18,52,"zeko","bunny",0,2
18,53,"žaba","frog",0,1
18,55,"životinja","animal",0,6
18,56,"auto","car",1,6
18,57,"autobus","bus",0,1
18,58,"avion","airplane",0,5
18,59,"bicikl","bicycle",0,2
18,60,"brod","boat",0,0
18,62,"kamion","truck",0,2
18,64,"motor","motorcycle",0,2
18,66,"traktor","tractor",0,1
18,69,"vlak","train",0,2
18,70,"balon","balloon",0,2
18,75,"knjiga","book",0,2
18,76,"kocka","block",0,2
18,78,"lopatica","shovel",0,3
18,79,"lopta","ball",0,1
18,80,"lutka","doll",0,2
18,88,"banana","banana",1,2
18,90,"bombon","candy",0,2
18,92,"čaj","tea",0,1
18,94,"čokolada","chocolate",0,4
18,97,"grašak","peas",0,3
18,104,"jabuka","apple",0,3
18,106,"jaje","egg",1,2
18,107,"jogurt","yogurt",0,4
18,108,"juha","soup",0,3
18,111,"keks","cookie",0,5
18,116,"kolač","cake",0,4
18,119,"kruh","bread",0,3
18,120,"krumpir","potato",0,4
18,128,"meso","meat",0,3
18,129,"mlijeko","milk",0,7
18,130,"mrkve","carrots",0,4
18,144,"sir","cheese",0,4
18,145,"sladole","ice cream",0,5
18,146,"sok","juice",0,2
18,150,"špinat","spinach",0,1
18,157,"čarapa","sock",0,1
18,158,"čizme","boots",0,3
18,160,"gumb","button",0,6
18,161,"haljina","dress",0,2
18,162,"hlače","pants",0,3
18,164,"jakna","jacket",0,2
18,165,"kapa","hat",1,6
18,166,"kaput","coat",0,3
18,172,"pelena","diaper",0,1
18,173,"pidžama","pajamas",0,1
18,176,"rukavice","gloves",0,2
18,178,"šal","scarf",0,3
18,185,"glava","head",0,3
18,187,"guza","butt",0,2
18,188,"jezik","tongue",0,2
18,189,"koljeno","knee",0,2
18,190,"kosa","hair",0,3
18,191,"lice","face",0,3
18,192,"noga","leg",0,2
18,193,"nos","nose",0,4
18,196,"palac","thumb",0,1
18,198,"prst","finger",0,3
18,201,"ruka","arm",0,3
18,205,"uho","ear",0,3
18,207,"usta","mouth",0,4
18,210,"zub","tooth",0,2
18,212,"boca","bottle",0,2
18,214,"čaša","glass",0,5
18,216,"čekić","hammer",0,1
18,218,"četka","brush",0,2
18,219,"četkica za zube","toothbrush",0,1
18,223,"jastuk","pillow",0,3
18,227,"ključevi","keys",0,2
18,231,"kutija","box",0,3
18,233,"lijek","medicine",0,2
18,237,"metla","broom",0,2
18,238,"naočale","glasses",0,2
18,239,"novac","money",0,0
18,240,"novčanik","purse",0,1
18,241,"nož","knife",0,2
18,242,"papir","paper",0,2
18,243,"radio","radio",0,1
18,244,"ručnik","towel",0,3
18,246,"sapun","soap",0,0
18,247,"sat","clock",0,1
18,249,"smeće","trash",0,1
18,251,"svjetlo","light",0,2
18,252,"šalica","cup",0,5
18,253,"škare","scissors",0,2
18,254,"tanjur","plate",0,6
18,255,"telefon","telephone",0,1
18,256,"usisavač","vacuum",0,0
18,257,"vilica","fork",0,3
18,259,"zvono","bell",0,0
18,260,"žlica","spoon",0,5
18,264,"garaža","garage",0,2
18,265,"hladnjak","refrigerator",0,3
18,267,"kada (object)","bathtub",0,3
18,268,"kauč","couch",0,3
18,271,"krevet","bed",0,2
