"month","item","definition","uni_lemma","learned","value"
18,13,"buba","bug",0,0
18,14,"guska","goose",0,0
18,16,"koka","hen",1,0
18,17,"konj","horse",0,0
18,19,"koza","goat",0,0
18,20,"krava","cow",1,0
18,23,"lav","lion",0,0
18,24,"leptir","butterfly",0,0
18,25,"lisica","fox",0,0
18,26,"mačka","cat",1,0
18,27,"magarac","donkey",0,0
18,28,"majmun","monkey",0,0
18,29,"medo (igračka)","teddybear",1,0
18,31,"miš","mouse",0,0
18,33,"ovca","sheep",0,0
18,34,"pas","dog",0,0
18,35,"patka","duck",0,0
18,36,"pčela","bee",0,0
18,37,"pijetao","rooster",0,0
18,38,"pile","chicken",0,0
18,40,"prase","pig",0,0
18,41,"ptica","bird",1,0
18,43,"riba (animal)","fish",0,0
18,44,"slon","elephant",0,0
18,45,"sova","owl",0,0
18,47,"tigar","tiger",0,0
18,48,"vjeverica","squirrel",0,0
18,49,"vrabac","sparrow",0,0
18,50,"vuk","wolf",0,0
18,52,"zeko","bunny",0,0
18,53,"žaba","frog",0,0
18,55,"životinja","animal",0,0
18,56,"auto","car",1,0
18,57,"autobus","bus",0,0
18,58,"avion","airplane",0,0
18,59,"bicikl","bicycle",0,0
18,60,"brod","boat",0,0
18,62,"kamion","truck",0,0
18,63,"kolica","stroller",0,0
18,64,"motor","motorcycle",0,0
18,66,"traktor","tractor",0,0
18,67,"tramvaj","tram",0,0
18,69,"vlak","train",0,0
18,70,"balon","balloon",0,0
18,74,"igračka","toy",0,0
18,75,"knjiga","book",0,0
18,76,"kocka","block",0,0
18,78,"lopatica","shovel",0,0
18,79,"lopta","ball",0,0
18,80,"lutka","doll",0,0
18,82,"olovka","pen/pencil",0,0
18,88,"banana","banana",1,0
18,90,"bombon","candy",0,0
18,92,"čaj","tea",0,0
18,94,"čokolada","chocolate",0,0
18,95,"čokolino","cheerios",0,0
18,97,"grašak","peas",0,0
18,98,"griz","semolina",0,0
18,104,"jabuka","apple",0,0
18,106,"jaje","egg",1,0
18,107,"jogurt","yogurt",0,0
18,108,"juha","soup",0,0
18,111,"keks","cookie",0,0
18,114,"koka (piletina)","chicken (food)",0,0
18,116,"kolač","cake",0,0
18,119,"kruh","bread",0,0
18,120,"krumpir","potato",0,0
18,128,"meso","meat",0,0
18,129,"mlijeko","milk",0,0
18,130,"mrkve","carrots",0,0
18,131,"naranča","orange (food)",0,0
18,140,"riba (food)","fish (food)",0,0
18,144,"sir","cheese",0,0
18,145,"sladole","ice cream",0,0
18,146,"sok","juice",0,0
18,150,"špinat","spinach",0,0
18,151,"tijesto","pasta",0,0
18,154,"voda (beverage)","water (beverage)",0,0
18,157,"čarapa","sock",0,0
18,158,"čizme","boots",0,0
18,159,"gaćice","underpants",0,0
18,160,"gumb","button",0,0
18,161,"haljina","dress",0,0
18,162,"hlače","pants",0,0
18,164,"jakna","jacket",0,0
18,165,"kapa","hat",1,0
18,166,"kaput","coat",0,0
18,169,"majica","t-shirt",0,0
18,171,"papuče","slipper",0,0
18,172,"pelena","diaper",0,0
18,173,"pidžama","pajamas",0,0
18,175,"rupčić","handkerchief",0,0
18,176,"rukavice","gloves",0,0
18,178,"šal","scarf",0,0
18,185,"glava","head",0,0
18,187,"guza","butt",0,0
18,188,"jezik","tongue",0,0
18,189,"koljeno","knee",0,0
18,190,"kosa","hair",0,0
18,191,"lice","face",0,0
18,192,"noga","leg",0,0
18,193,"nos","nose",0,0
18,196,"palac","thumb",0,0
18,197,"penis","penis",0,0
18,198,"prst","finger",0,0
18,199,"pupak","belly button",0,0
18,201,"ruka","arm",0,0
18,204,"trbuh","tummy",0,0
18,205,"uho","ear",0,0
18,207,"usta","mouth",0,0
18,210,"zub","tooth",0,0
18,212,"boca","bottle",0,0
18,213,"bočica (s dudom)","pacifier",0,0
18,214,"čaša","glass",0,0
18,216,"čekić","hammer",0,0
18,217,"češalj","comb",0,0
18,218,"četka","brush",0,0
18,219,"četkica za zube","toothbrush",0,0
18,223,"jastuk","pillow",0,0
18,227,"ključevi","keys",0,0
18,231,"kutija","box",0,0
18,233,"lijek","medicine",0,0
18,237,"metla","broom",0,0
18,238,"naočale","glasses",0,0
18,239,"novac","money",0,0
18,240,"novčanik","purse",0,0
18,241,"nož","knife",0,0
18,242,"papir","paper",0,0
18,243,"radio","radio",0,0
18,244,"ručnik","towel",0,0
18,246,"sapun","soap",0,0
18,247,"sat","clock",0,0
18,248,"slika","picture",0,0
18,249,"smeće","trash",0,0
18,251,"svjetlo","light",0,0
18,252,"šalica","cup",0,0
18,253,"škare","scissors",0,0
18,254,"tanjur","plate",0,0
18,255,"telefon","telephone",0,0
18,256,"usisavač","vacuum",0,0
18,257,"vilica","fork",0,0
18,259,"zvono","bell",0,0
18,260,"žlica","spoon",0,0
18,264,"garaža","garage",0,0
18,265,"hladnjak","refrigerator",0,0
18,267,"kada (object)","bathtub",0,0
18,268,"kauč","couch",0,0
18,271,"krevet","bed",0,0
18,272,"krevetić","crib",0,0
18,273,"kuhinja","kitchen",0,0
18,274,"kupaonica","bathroom",0,0
18,275,"ladica","drawer",0,0
18,277,"ormar","wardrobe",0,0
18,280,"prozor","window",0,0
18,284,"stol","table",0,0
18,285,"stolica","chair",0,0
18,287,"štednjak","stove",0,0
18,288,"televizor","tv",0,0
18,290,"tuta","potty",0,0
18,292,"vrata","door",0,0
18,295,"cvijeće","flower",0,0
18,296,"drvo","tree",0,0
18,297,"dvorište","backyard",0,0
18,298,"kamen","rock",0,0
18,299,"kiša","rain",0,0
18,301,"lopata","shovel",0,0
18,303,"ljuljačka","swing",0,0
18,304,"mjesec","moon",0,0
18,306,"nebo","sky",0,0
18,309,"park","park",0,0
18,312,"snijeg","snow",0,0
18,315,"sunce","sun",0,0
18,321,"voda (not beverage)","water (not beverage)",0,0
18,322,"vrt","garden",0,0
18,324,"zvijezda","star",0,0
19,13,"buba","bug",0,0
19,14,"guska","goose",0,3
19,17,"konj","horse",0,0
19,19,"koza","goat",0,0
19,23,"lav","lion",0,2
19,24,"leptir","butterfly",0,1
19,25,"lisica","fox",0,0
19,27,"magarac","donkey",0,0
19,28,"majmun","monkey",0,0
19,31,"miš","mouse",0,2
19,33,"ovca","sheep",0,0
19,34,"pas","dog",1,2
19,35,"patka","duck",0,1
19,36,"pčela","bee",0,0
19,37,"pijetao","rooster",0,1
19,38,"pile","chicken",1,0
19,40,"prase","pig",0,0
19,43,"riba (animal)","fish",0,0
19,44,"slon","elephant",0,0
19,45,"sova","owl",0,1
19,47,"tigar","tiger",0,2
19,48,"vjeverica","squirrel",0,0
19,49,"vrabac","sparrow",1,1
19,50,"vuk","wolf",0,2
19,52,"zeko","bunny",1,0
19,53,"žaba","frog",0,0
19,55,"životinja","animal",0,3
19,57,"autobus","bus",0,0
19,58,"avion","airplane",0,1
19,59,"bicikl","bicycle",0,0
19,60,"brod","boat",0,0
19,62,"kamion","truck",0,0
19,63,"kolica","stroller",0,0
19,64,"motor","motorcycle",0,0
19,66,"traktor","tractor",0,0
19,67,"tramvaj","tram",0,0
19,69,"vlak","train",0,0
19,70,"balon","balloon",0,0
19,74,"igračka","toy",0,0
19,75,"knjiga","book",0,0
19,76,"kocka","block",0,0
19,78,"lopatica","shovel",0,0
19,79,"lopta","ball",1,0
19,80,"lutka","doll",0,0
19,82,"olovka","pen/pencil",0,0
19,90,"bombon","candy",1,0
19,92,"čaj","tea",0,0
19,94,"čokolada","chocolate",0,0
19,95,"čokolino","cheerios",0,0
19,97,"grašak","peas",0,0
19,98,"griz","semolina",0,0
19,104,"jabuka","apple",0,0
19,107,"jogurt","yogurt",0,0
19,108,"juha","soup",0,0
19,111,"keks","cookie",0,0
19,114,"koka (piletina)","chicken (food)",1,0
19,116,"kolač","cake",0,0
19,119,"kruh","bread",0,0
19,120,"krumpir","potato",0,0
19,128,"meso","meat",0,0
19,129,"mlijeko","milk",0,0
19,130,"mrkve","carrots",0,0
19,131,"naranča","orange (food)",0,0
19,140,"riba (food)","fish (food)",0,0
19,144,"sir","cheese",0,0
19,145,"sladole","ice cream",0,0
19,146,"sok","juice",1,0
19,150,"špinat","spinach",0,0
19,151,"tijesto","pasta",0,0
19,154,"voda (beverage)","water (beverage)",1,0
19,157,"čarapa","sock",0,0
19,158,"čizme","boots",0,0
19,159,"gaćice","underpants",0,0
19,160,"gumb","button",0,0
19,161,"haljina","dress",0,0
19,162,"hlače","pants",0,0
19,164,"jakna","jacket",0,0
19,166,"kaput","coat",0,0
19,169,"majica","t-shirt",0,0
19,171,"papuče","slipper",0,0
19,172,"pelena","diaper",0,0
19,173,"pidžama","pajamas",0,0
19,175,"rupčić","handkerchief",0,0
19,176,"rukavice","gloves",0,0
19,178,"šal","scarf",0,0
19,185,"glava","head",1,0
19,187,"guza","butt",1,0
19,188,"jezik","tongue",0,0
19,189,"koljeno","knee",0,0
19,190,"kosa","hair",0,0
19,191,"lice","face",0,0
19,192,"noga","leg",1,0
19,193,"nos","nose",1,0
19,196,"palac","thumb",0,0
19,197,"penis","penis",0,0
19,198,"prst","finger",0,1
19,199,"pupak","belly button",1,0
19,201,"ruka","arm",1,0
19,204,"trbuh","tummy",0,0
19,205,"uho","ear",0,0
19,207,"usta","mouth",0,0
19,210,"zub","tooth",0,0
19,212,"boca","bottle",0,0
19,213,"bočica (s dudom)","pacifier",1,0
19,214,"čaša","glass",0,0
19,216,"čekić","hammer",0,0
19,217,"češalj","comb",0,0
19,218,"četka","brush",0,0
19,219,"četkica za zube","toothbrush",0,0
19,223,"jastuk","pillow",0,0
19,227,"ključevi","keys",0,0
19,231,"kutija","box",0,0
19,233,"lijek","medicine",0,0
19,237,"metla","broom",0,0
19,238,"naočale","glasses",0,0
19,239,"novac","money",0,0
19,240,"novčanik","purse",0,0
19,241,"nož","knife",0,0
19,242,"papir","paper",0,0
19,243,"radio","radio",0,0
19,244,"ručnik","towel",0,0
19,246,"sapun","soap",0,0
19,247,"sat","clock",0,0
19,248,"slika","picture",0,0
19,249,"smeće","trash",0,0
19,251,"svjetlo","light",0,0
19,252,"šalica","cup",0,0
19,253,"škare","scissors",0,0
19,254,"tanjur","plate",0,0
19,255,"telefon","telephone",0,0
19,256,"usisavač","vacuum",0,0
19,257,"vilica","fork",0,0
19,259,"zvono","bell",0,0
19,260,"žlica","spoon",0,0
19,264,"garaža","garage",0,0
19,265,"hladnjak","refrigerator",0,0
19,267,"kada (object)","bathtub",0,0
19,268,"kauč","couch",0,0
19,271,"krevet","bed",0,0
19,272,"krevetić","crib",0,0
19,273,"kuhinja","kitchen",0,0
19,274,"kupaonica","bathroom",0,0
19,275,"ladica","drawer",0,0
19,277,"ormar","wardrobe",0,0
19,280,"prozor","window",0,0
19,284,"stol","table",0,0
19,285,"stolica","chair",0,0
19,287,"štednjak","stove",0,0
19,288,"televizor","tv",0,0
19,290,"tuta","potty",0,0
19,292,"vrata","door",0,0
19,295,"cvijeće","flower",0,0
19,296,"drvo","tree",0,2
19,297,"dvorište","backyard",0,0
19,298,"kamen","rock",0,0
19,299,"kiša","rain",0,0
19,301,"lopata","shovel",0,0
19,303,"ljuljačka","swing",0,0
19,304,"mjesec","moon",0,0
19,306,"nebo","sky",0,0
19,309,"park","park",0,0
19,312,"snijeg","snow",0,0
19,315,"sunce","sun",0,0
19,321,"voda (not beverage)","water (not beverage)",1,0
19,322,"vrt","garden",0,0
19,324,"zvijezda","star",0,0
20,13,"buba","bug",0,0
20,14,"guska","goose",0,4
20,17,"konj","horse",1,2
20,19,"koza","goat",0,0
20,23,"lav","lion",0,3
20,24,"leptir","butterfly",0,4
20,25,"lisica","fox",0,2
20,27,"magarac","donkey",0,0
20,28,"majmun","monkey",0,0
20,31,"miš","mouse",1,3
20,33,"ovca","sheep",0,2
20,35,"patka","duck",0,2
20,36,"pčela","bee",0,0
20,37,"pijetao","rooster",0,1
20,40,"prase","pig",0,0
20,43,"riba (animal)","fish",1,0
20,44,"slon","elephant",0,0
20,45,"sova","owl",0,2
20,47,"tigar","tiger",0,4
20,48,"vjeverica","squirrel",0,0
20,50,"vuk","wolf",0,5
20,53,"žaba","frog",0,0
20,55,"životinja","animal",0,7
20,57,"autobus","bus",0,0
20,58,"avion","airplane",0,2
20,59,"bicikl","bicycle",0,0
20,60,"brod","boat",0,0
20,62,"kamion","truck",0,0
20,63,"kolica","stroller",0,0
20,64,"motor","motorcycle",0,0
20,66,"traktor","tractor",0,0
20,67,"tramvaj","tram",0,0
20,69,"vlak","train",0,0
20,70,"balon","balloon",0,0
20,74,"igračka","toy",0,0
20,75,"knjiga","book",1,0
20,76,"kocka","block",1,2
20,78,"lopatica","shovel",0,0
20,80,"lutka","doll",0,0
20,82,"olovka","pen/pencil",0,0
20,92,"čaj","tea",1,0
20,94,"čokolada","chocolate",1,0
20,95,"čokolino","cheerios",0,0
20,97,"grašak","peas",0,0
20,98,"griz","semolina",0,0
20,104,"jabuka","apple",1,0
20,107,"jogurt","yogurt",0,0
20,108,"juha","soup",0,0
20,111,"keks","cookie",1,0
20,116,"kolač","cake",0,0
20,119,"kruh","bread",1,0
20,120,"krumpir","potato",0,2
20,128,"meso","meat",1,0
20,129,"mlijeko","milk",1,0
20,130,"mrkve","carrots",0,0
20,131,"naranča","orange (food)",0,0
20,140,"riba (food)","fish (food)",1,0
