"month","item","definition","uni_lemma","learned","value"
17,13,"buba","bug",0,25.045149729
17,14,"guska","goose",0,19.566195875
17,16,"koka","hen",0,25.409460838
17,17,"konj","horse",0,30.055371311
17,20,"krava","cow",0,26.334133512
17,23,"lav","lion",0,26.783479203
17,24,"leptir","butterfly",0,20.507720712
17,26,"mačka","cat",0,25.038547328
17,27,"magarac","donkey",0,19.665819425
17,28,"majmun","monkey",0,24.170671852
17,29,"medo (igračka)","teddybear",0,12.601810053
17,31,"miš","mouse",0,22.820596858
17,33,"ovca","sheep",0,21.200930107
17,34,"pas","dog",0,27.584576743
17,35,"patka","duck",0,23.465244553
17,36,"pčela","bee",0,20.245643544
17,37,"pijetao","rooster",0,23.812373877
17,40,"prase","pig",0,21.902537207
17,41,"ptica","bird",0,22.749364749
17,44,"slon","elephant",0,19.990424662
17,45,"sova","owl",0,19.530797018
17,47,"tigar","tiger",0,22.355158254
17,48,"vjeverica","squirrel",0,25.157502933
17,50,"vuk","wolf",0,25.088397803
17,52,"zeko","bunny",0,26.525002621
17,53,"žaba","frog",0,28.525059795
17,55,"životinja","animal",0,14.100855846
17,56,"auto","car",0,32.107026429
17,57,"autobus","bus",0,26.413851988
17,58,"avion","airplane",0,24.803663831
17,59,"bicikl","bicycle",0,24.415051817
17,60,"brod","boat",0,32.486352156
17,62,"kamion","truck",0,22.919376314
17,63,"kolica","stroller",0,32.487084859
17,64,"motor","motorcycle",0,29.966050019
17,66,"traktor","tractor",0,27.344394736
17,69,"vlak","train",0,25.15237622
17,70,"balon","balloon",0,26.735135714
17,75,"knjiga","book",0,27.849250327
17,76,"kocka","block",0,21.949869561
17,78,"lopatica","shovel",0,25.440820674
17,79,"lopta","ball",0,28.332385103
17,80,"lutka","doll",0,21.187766905
17,88,"banana","banana",0,19.204746779
17,90,"bombon","candy",0,16.39167322
17,94,"čokolada","chocolate",0,8.164751058
17,95,"čokolino","cheerios",0,12.771273653
17,97,"grašak","peas",0,10.912195075
17,104,"jabuka","apple",0,13.900415125
17,106,"jaje","egg",0,23.446073016
17,107,"jogurt","yogurt",0,18.497122044
17,108,"juha","soup",0,14.104178539
17,111,"keks","cookie",0,21.214917371
17,116,"kolač","cake",0,18.972321487
17,119,"kruh","bread",0,18.745360222
17,120,"krumpir","potato",0,8.587057727
17,128,"meso","meat",0,15.697037853
17,129,"mlijeko","milk",0,18.594311993
17,130,"mrkve","carrots",0,15.816097414
17,144,"sir","cheese",0,13.76995937
17,145,"sladole","ice cream",0,10.819506282
17,146,"sok","juice",0,16.129652462
17,156,"cipela","shoe",1,27.041836163
17,157,"čarapa","sock",0,26.346677072
17,158,"čizme","boots",0,17.822936454
17,159,"gaćice","underpants",0,16.825548949
17,160,"gumb","button",0,25.163443335
17,162,"hlače","pants",0,24.433917265
17,164,"jakna","jacket",0,31.2425574
17,165,"kapa","hat",0,29.543957335
17,166,"kaput","coat",0,30.452432238
17,171,"papuče","slipper",0,21.192045418
17,172,"pelena","diaper",0,27.276010866
17,173,"pidžama","pajamas",0,25.757826268
17,176,"rukavice","gloves",0,17.807281197
17,178,"šal","scarf",0,32.491106841
17,185,"glava","head",0,32.150410929
17,187,"guza","butt",0,25.823455349
17,188,"jezik","tongue",0,28.407084957
17,189,"koljeno","knee",0,23.057303447
17,190,"kosa","hair",0,26.10904402
17,191,"lice","face",0,31.104772755
17,192,"noga","leg",0,30.683611259
17,193,"nos","nose",0,26.302171772
17,195,"oko","eye",1,25.542274165
17,197,"penis","penis",0,32.774576174
17,198,"prst","finger",0,25.899546496
17,199,"pupak","belly button",0,26.313200333
17,201,"ruka","arm",0,29.752619812
17,204,"trbuh","tummy",0,29.222277026
17,205,"uho","ear",0,23.121176939
17,207,"usta","mouth",0,30.195108672
17,210,"zub","tooth",0,24.963705815
17,212,"boca","bottle",0,28.438692767
17,214,"čaša","glass",0,28.069069847
17,216,"čekić","hammer",0,20.995892542
17,219,"četkica za zube","toothbrush",0,31.392514576
17,223,"jastuk","pillow",0,31.12196504
17,227,"ključevi","keys",0,24.447716834
17,231,"kutija","box",0,28.144791795
17,233,"lijek","medicine",0,18.533548816
17,237,"metla","broom",0,27.072079688
17,238,"naočale","glasses",0,26.602253897
17,239,"novac","money",0,19.782622268
17,240,"novčanik","purse",0,30.451917516
