"item","definition","uni_lemma","type","IPA"
1,"av","ouch","word"," ˈɑu"
2,"mjav","meow","word"," mjˈɑʋ"
3,"rap","quack quack","word"," ʁˈɑp"
4,"fut","choo choo","word"," fˈut"
5,"muh","moo","word"," mˈu"
6,"vov","woof woof","word"," ʋˈʌw"
7,"grrrr","grrr","word"," ɡˌeˌɛʁˈɛʁˌɛʁˈɛr"
8,"mæh","baa baa","word"," mˈɛ"
10,"kykliky","cockadoodledoo","word"," kˈyklikˌy"
11,"mm mm","yum yum","word"," ˌɛmˈɛm ˌɛmˈɛm"
12,"årnnn","vroom","word"," ˈʌːnnn"
13,"abe","monkey","word"," ˈæbɜ"
14,"gås","goose","word"," ɡˈɔs"
15,"løve","lion","word"," lˈœʋɜ"
16,"and","duck","word"," ˈæn"
18,"mus","mouse","word"," mˈus"
19,"bamse","teddybear","word"," bˈɑmsɜ"
20,"hest","horse","word"," hˈest"
22,"bi","bee","word"," bˈi"
23,"hjort","deer","word"," jˈʌrt"
25,"bjørn","bear","word"," bjˈœrn"
26,"hvalp","puppy","word"," ʋˈælp"
27,"pingvin","penguin","word"," peŋʋˈin"
28,"dyr","animal","word"," dˈyr"
29,"hund","dog","word"," hˈun"
30,"pony","pony","word"," pˈʌni"
31,"egern","squirrel","word"," ˈejʌrn"
33,"skildpadde","turtle","word"," skˈelpæðɜ"
34,"elefant","elephant","word"," ˌelefˈænt"
35,"kalkun","turkey","word"," kælkˈun"
36,"sommerfugl","butterfly","word"," sˈʌmʌfˌul"
37,"fisk","fish (animal)","word"," fˈesk"
38,"kanin","bunny","word"," kænˈin"
39,"tiger","tiger","word"," tˈiːər"
40,"flue","fly (animal)","word"," flˈuɜ"
41,"kat","cat","word"," kˈæt"
42,"ugle","owl","word"," ˈulɜ"
43,"frø","frog","word"," fʁˈœ"
44,"killing","kitty","word"," kˈileŋ"
46,"fugl","bird","word"," fˈul"
47,"ko","cow","word"," kˈo"
49,"får","sheep","word"," fˈʌː"
51,"æsel","donkey","word"," ˈɛsəl"
52,"giraf","giraffe","word"," ɡiʁˈɑf"
53,"kylling","chicken (animal)","word"," kˈyleŋ"
54,"gris","pig","word"," ɡʁˈis"
55,"lam","lamb","word"," lˈam"
56,"barnevogn","stroller","word"," bˈɑrnɛʋˌʌwn"
57,"flyvemaskine","airplane","word"," flˈyʋɛmˌæskinɜ"
58,"motorcykel","motorcycle","word"," mˈotʌsˌykəl"
59,"bil","car","word"," bˈil"
60,"helikopter","helicopter","word"," hˌɛlikˈʌptʌ"
62,"brandbil","firetruck","word"," bʁˈɑnbil"
63,"klapvogn","stroller","word"," klˈapʋʌwn"
64,"tog","train","word"," tˈow"
65,"bus","bus","word"," bˈus"
67,"traktor","tractor","word"," tʁˈɑktʌ"
68,"cykel","bicycle","word"," sˈykəl"
69,"lastbil","truck","word"," lˈæstbil"
70,"ballon","balloon","word"," bælˈʌŋ"
71,"farveblyant","pen/pencil","word"," fˈɑrʋɛblˌyænt"
72,"legetøj","toy (object)","word"," lˈajetˌœj"
73,"blyant","pen/pencil","word"," blˈyænt"
76,"bog","book","word"," bˈow"
79,"bold","ball","word"," bˈʌld"
80,"klods","block","word"," klˈʌs"
82,"dukke","doll","word"," dˈɔkɜ"
84,"sæbebobler","bubbles","word"," sˈɛbebˌʌblʌ"
86,"kuglepen","pen/pencil","word"," kˈulepˌɛn"
89,"kiks","cracker","word"," kˈiks"
91,"appelsin","orange (food)","word"," ˌapɛlsˈin"
93,"slik","candy","word"," slˈek"
94,"banan","banana","word"," bænˈæn"
95,"kylling","chicken (food)","word"," kˈyleŋ"
97,"boller","bun","word"," bˈʌlʌ"
98,"kød","meat","word"," kˈœð"
99,"smør","butter","word"," smˈœr"
103,"brød","bread","word"," bʁˈœð"
104,"mad","food","word"," mˈæð"
110,"mælk","milk","word"," mˈɛlk"
111,"spaghetti","pasta","word"," spæɡˈɛti"
118,"cornflakes","cheerios","word"," kˈʌːnflɛjɡs"
119,"ost","cheese","word"," ˈost"
124,"fisk","fish (food)","word"," fˈesk"
128,"pasta","pasta","word"," pˈæstæ"
130,"gulerødder","carrots","word"," ɡˈuleʁˌœðʌ"
132,"vand","water (beverage)","word"," ʋˈæn"
134,"pizza","pizza","word"," pˈitsæ"
136,"havregryn","cereal","word"," hˈɑuʁˌeɡʁyn"
139,"is","ice cream","word"," ˈis"
145,"juice","juice","word"," dʒˈuːs"
146,"rosiner","raisin","word"," ʁosˈinʌ"
147,"æble","apple","word"," ˈɛblɜ"
148,"kaffe","coffee","word"," kˈafɜ"
150,"æg","egg","word"," ˈɛɡ"
151,"kage(r)","cake","word"," kˈæːjə ˈɛr"
153,"ærter","peas","word"," ˈɛrtʌ"
156,"ble","diaper","word"," blˈe"
157,"hue","hat","word"," hˈuː"
158,"strømpebukser","tights","word"," stʁˈœmpɛbˌɔksʌ"
159,"bluse","shirt","word"," blˈusə"
160,"jakke","jacket","word"," jˈakɜ"
161,"strømper","sock","word"," stʁˈœmpʌ"
162,"bukser","pants","word"," bˈɔksʌ"
163,"kjole","dress (object)","word"," kjˈolɜ"
164,"støvler","boots","word"," stˈœʋlʌ"
166,"knap","button","word"," knˈɑp"
167,"sut","pacifier","word"," sˈut"
170,"sweater","sweater","word"," swˈeætˌʌ"
171,"frakke","coat","word"," fʁˈɑkɜ"
172,"lynlås","zipper","word"," lˈynlɔs"
173,"t-shirt","t-shirt","word"," tˈiːʃɜːt"
174,"hagesmæk","bib","word"," hˈæːjəsmˌɛk"
175,"nattøj","pajamas","word"," nˈættˌœj"
176,"trusser","underpants","word"," tʁˈusʌ"
177,"halskæde","necklace","word"," hˈælskɛðɜ"
178,"shorts","shorts","word"," ʃˈʌts"
179,"trøje","sweater","word"," tʁˈœjɜ"
181,"sko","shoe","word"," skˈo"
184,"sokker","sock","word"," sˈʌkʌ"
187,"hår","hair","word"," hˈʌːʔ"
188,"sår","owie","word"," sˈʌː"
189,"ansigt","face","word"," ˈænseɡt"
190,"kind","cheek","word"," kˈen"
191,"tænder","tooth","word"," tˈɛnʌ"
192,"arm","arm","word"," ˈɑrm"
193,"knæ","knee","word"," knˈɛ"
194,"tissekone","vagina","word"," tˈisekˌonɜ"
195,"ben","leg","word"," bˈen"
197,"tissemand","penis","word"," tˈisɛmˌæn"
200,"tunge","tongue","word"," tˈɔŋɜ"
201,"finger","finger","word"," fˈeŋʌ"
202,"mund","mouth","word"," mˈɔn"
203,"tå","toe","word"," tˈɔ"
205,"navle","belly button","word"," nˈɑulɜ"
206,"øje","eye","word"," ˈʌjɜ"
209,"øre","ear","word"," ˈœːʁʌ"
210,"hoved","head","word"," hˈoːəð"
211,"næse","nose","word"," nˈɛsɜ"
212,"hånd","hand","word"," hˈʌn"
214,"affald","trash","word"," ˈawfæl"
215,"klokke","clock","word"," klˈʌkɜ"
216,"saks","scissors","word"," sˈaks"
218,"kop","cup","word"," kˈʌp"
220,"billede","picture","word"," bˈeləðə"
221,"kost","broom","word"," kˈost"
222,"ske","spoon","word"," skˈe"
223,"briller","glasses","word"," bʁˈelʌ"
225,"skrald","trash","word"," skʁˈal"
226,"børste","brush (object)","word"," bˈœrstɜ"
228,"skål","bowl","word"," skˈɔl"
230,"krus","cup","word"," kʁˈus"
231,"småpenge","penny","word"," smˈʌpeŋɜ"
232,"dyne","blanket","word"," dˈynɜ"
236,"lampe","lamp","word"," lˈampɜ"
237,"støvsuger","vacuum","word"," stˈœʋsuːˌʌ"
238,"flaske","bottle","word"," flˈæskɜ"
239,"lys","light","word"," lˈys"
240,"sæbe","soap","word"," sˈɛbɜ"
241,"gaffel","fork","word"," ɡˈafəl"
242,"medicin","medicine","word"," mˌedisˈin"
243,"tallerken","plate","word"," tælˈɛrkən"
244,"glas","glass","word"," ɡlˈæs"
245,"nøgler","keys","word"," nˈʌjlʌ"
246,"tandbørste","toothbrush","word"," tˈænbœrstɜ"
248,"papir","paper","word"," pæpˈir"
249,"telefon","telephone","word"," tˌelɜfˈon"
250,"hammer","hammer","word"," hˈamʌ"
251,"penge","money","word"," pˈeŋɜ"
253,"håndklæde","towel","word"," hˈʌnklɛðɜ"
254,"plante","plant","word"," plˈæntɜ"
255,"tæppe","carpet","word"," tˈɛpɜ"
256,"kam","comb (object)","word"," kˈam"
257,"pude","pillow","word"," pˈuðɜ"
258,"ur","watch (object)","word"," ˈur"
260,"pung","purse","word"," pˈɔŋ"
261,"æske","box","word"," ˈɛskɜ"
262,"kasse","box","word"," kˈæsɜ"
263,"radio","radio","word"," ʁˈɑdiˌo"
266,"stue","living room","word"," stˈuə"
267,"badekar","bathtub","word"," bˈæðekˌɑr"
268,"køkken","kitchen","word"," kˈœkən"
