"month","item","definition","uni_lemma","learned","value"
16,13,"abe","monkey",0,3
16,14,"gås","goose",0,5
16,15,"løve","lion",0,4
16,16,"and","duck",0,3
16,18,"mus","mouse",0,2
16,20,"hest","horse",0,7
16,25,"bjørn","bear",0,5
16,26,"hvalp","puppy",0,1
16,27,"pingvin","penguin",0,3
16,28,"dyr","animal",0,7
16,29,"hund","dog",0,3
16,31,"egern","squirrel",0,2
16,33,"skildpadde","turtle",0,3
16,34,"elefant","elephant",0,4
16,36,"sommerfugl","butterfly",0,4
16,38,"kanin","bunny",0,2
16,39,"tiger","tiger",0,4
16,40,"flue","fly",0,3
16,41,"kat","cat",0,2
16,42,"ugle","owl",0,3
16,43,"frø","frog",0,2
16,46,"fugl","bird",0,5
16,47,"ko","cow",0,4
16,49,"får","sheep",0,6
16,51,"æsel","donkey",0,3
16,52,"giraf","giraffe",0,2
16,54,"gris","pig",0,3
16,55,"lam","lamb",0,3
16,57,"flyvemaskine","airplane",0,5
16,58,"motorcykel","motorcycle",0,2
16,59,"bil","car",0,5
16,64,"tog","train",0,2
16,65,"bus","bus",0,1
16,67,"traktor","tractor",0,1
16,68,"cykel","bicycle",0,2
16,69,"lastbil","truck",0,2
16,70,"ballon","balloon",0,3
16,76,"bog","book",0,2
16,79,"bold","ball",0,0
16,80,"klods","block",0,2
16,82,"dukke","doll",0,2
16,89,"kiks","cracker",0,5
16,93,"slik","candy",0,1
16,94,"banan","banana",0,2
16,97,"boller","bun",0,4
16,98,"kød","meat",0,2
16,99,"smør","butter",0,3
16,103,"brød","bread",0,4
16,104,"mad","food",1,2
16,110,"mælk","milk",0,6
16,119,"ost","cheese",0,6
16,130,"gulerødder","carrots",0,3
16,134,"pizza","pizza",0,2
16,136,"havregryn","cereal",0,4
16,139,"is","ice cream",0,3
16,145,"juice","juice",0,2
16,146,"rosiner","raisin",0,3
16,147,"æble","apple",0,3
16,148,"kaffe","coffee",0,4
16,150,"æg","egg",0,1
16,151,"kage(r)","cake",0,2
16,153,"ærter","peas",0,2
16,156,"ble","diaper",0,1
16,157,"hue","hat",0,7
16,159,"bluse","shirt",0,6
16,160,"jakke","jacket",0,5
16,161,"strømper","sock",0,1
16,162,"bukser","pants",0,4
16,163,"kjole","dress",0,2
16,164,"støvler","boots",0,3
16,166,"knap","button",0,8
16,171,"frakke","coat",0,5
16,172,"lynlås","zipper",0,4
16,175,"nattøj","pajamas",0,1
16,178,"shorts","shorts",0,3
16,179,"trøje","sweater",0,3
16,181,"sko","shoe",0,3
16,184,"sokker","sock",0,1
16,187,"hår","hair",0,3
16,189,"ansigt","face",0,4
16,190,"kind","cheek",0,2
16,191,"tænder","tooth",0,2
16,192,"arm","arm",0,4
16,193,"knæ","knee",0,2
16,195,"ben","leg",0,2
16,200,"tunge","tongue",0,2
16,201,"finger","finger",0,4
16,202,"mund","mouth",0,4
16,203,"tå","toe",0,1
16,206,"øje","eye",0,4
16,209,"øre","ear",0,3
16,210,"hoved","head",0,4
16,211,"næse","nose",0,4
16,212,"hånd","hand",0,4
16,214,"affald","trash",0,1
16,215,"klokke","clock",0,1
16,216,"saks","scissors",0,1
16,218,"kop","cup",0,4
16,221,"kost","broom",0,2
16,222,"ske","spoon",0,3
16,223,"briller","glasses",0,2
16,225,"skrald","trash",0,1
16,226,"børste","brush",0,2
16,228,"skål","bowl",0,7
16,230,"krus","cup",0,4
16,232,"dyne","blanket",0,2
16,236,"lampe","lamp",0,2
16,237,"støvsuger","vacuum",0,1
16,238,"flaske","bottle",0,2
16,239,"lys","light",0,2
