"month","item","definition","uni_lemma","learned","value","value2"
16,13,"alligator","alligator",0,0,4.74493212836325
16,15,"ant","ant",0,0,3.52636052461616
16,16,"bear","bear",0,1,6.25766758788264
16,21,"butterfly","butterfly",0,0,4.60517018598809
16,22,"cat","cat",0,5,6.93342302573071
16,23,"chicken","chicken",0,8,6.38012253689976
16,24,"cow","cow",0,4,6.49677499018586
16,25,"deer","deer",0,1,4.27666611901606
16,26,"dog","dog",1,7,7.33236920592906
16,27,"donkey","donkey",0,2,5.01727983681492
16,28,"duck","duck",0,1,6.4118182677099
16,29,"elephant","elephant",0,2,5.91889385427315
16,31,"frog","frog",0,0,5.59098698051086
16,32,"giraffe","giraffe",0,2,4.83628190695148
16,33,"goose","goose",0,1,4.31748811353631
16,35,"horse","horse",0,5,6.84374994900622
16,37,"lamb","lamb",0,1,4.9416424226093
16,38,"lion","lion",0,2,6.00141487796115
16,40,"moose","moose",0,0,2.30258509299405
16,41,"mouse","mouse",0,4,6.08677472691231
16,42,"owl","owl",0,0,4.40671924726425
16,43,"penguin","penguin",0,0,3.73766961828337
16,44,"pig","pig",0,1,6.00388706710654
16,45,"pony","pony",0,1,4.29045944114839
16,47,"rooster","rooster",0,4,4.11087386417331
16,48,"sheep","sheep",0,1,5.25749537202778
16,49,"squirrel","squirrel",0,0,4.4188406077966
16,51,"tiger","tiger",0,3,6.9555926083963
16,52,"turkey","turkey",0,4,4.72738781871234
16,53,"turtle","turtle",0,0,5.49306144334055
16,55,"zebra","zebra",0,0,4.7361984483945
16,56,"airplane","airplane",0,1,5.94542060860658
16,58,"boat","boat",0,4,6.19440539110467
16,59,"bus","bus",0,3,6.20657592672493
16,60,"car","car",0,10,7.7445698093545
16,62,"helicopter","helicopter",0,1,4.47733681447821
16,63,"motorcycle","motorcycle",0,0,4.0943445622221
16,64,"sled","sled",0,0,4.02535169073515
16,66,"tractor","tractor",0,0,5.78074351579233
16,67,"train","train",0,3,6.80682936039218
16,68,"tricycle","tricycle",0,0,3.78418963391826
16,69,"truck","truck",0,3,6.81234509417748
16,70,"ball","ball",1,5,7.02464903045364
16,71,"balloon","balloon",0,0,5.7268477475872
16,74,"book","book",1,1,7.722677516468
16,77,"crayon","crayon",0,0,4.87519732320115
16,78,"doll","doll",0,1,5.79605775076537
16,81,"pen","pen",0,3,5.91350300563827
16,82,"pencil","pencil",0,2,6.15697898558556
16,87,"toy","toy",0,2,6.26149168432104
16,88,"apple","apple",0,2,6.07073772800249
16,90,"banana","banana",1,2,5.02388052084628
16,91,"beans","beans",0,1,5.06890420222023
16,92,"bread","bread",0,4,5.96870755998537
16,94,"cake","cake",0,2,6.58479139238572
16,99,"cheese","cheese",0,2,6.20859002609663
16,100,"chicken","chicken",0,8,6.38012253689976
16,105,"corn","corn",0,1,4.969813299576
16,129,"orange","orange",0,4,6.4118182677099
16,131,"peas","peas",0,1,4.45434729625351
16,133,"pickle","pickle",0,0,3.73766961828337
16,138,"potato","potato",0,1,5.04342511691925
16,141,"pumpkin","pumpkin",0,0,4.60517018598809
16,142,"raisin","raisin",0,0,2.94443897916644
16,149,"strawberry","strawberry",0,1,4.07753744390572
16,157,"belt","belt",0,1,4.33073334028633
16,159,"boots","boots",0,0,5.37527840768417
16,161,"coat","coat",0,2,6.18208490671663
16,163,"dress","dress",0,2,5.82304589548302
16,164,"gloves","gloves",0,0,4.55387689160054
16,166,"jacket","jacket",0,4,5.19295685089021
16,167,"jeans","jeans",0,1,3.29583686600433
16,168,"mittens","mittens",0,0,4.36944785246702
16,169,"necklace","necklace",0,0,3.85014760171006
16,170,"pajamas","pajamas",0,0,4.7361984483945
16,171,"pants","pants",0,5,5.99396142730657
16,173,"shirt","shirt",0,5,6.25958146406492
16,180,"sweater","sweater",0,4,4.83628190695148
16,211,"basket","basket",0,0,5.27299955856375
16,213,"bottle","bottle",0,1,5.95324333428778
16,214,"bowl","bowl",0,5,5.46383180502561
16,215,"box","box",0,2,7.20191631753163
16,216,"broom","broom",0,0,4.76217393479776
16,217,"brush","brush",0,2,5.91620206260743
16,218,"bucket","bucket",0,0,4.77912349311153
16,221,"clock","clock",0,0,5.52545293913178
16,222,"comb","comb",0,1,5.06890420222023
16,223,"cup","cup",0,4,6.74641212857337
16,224,"dish","dish",0,2,4.51085950651685
16,225,"fork","fork",0,5,5.08140436498446
16,229,"hammer","hammer",0,0,4.84418708645859
16,230,"jar","jar",0,2,4.07753744390572
16,232,"knife","knife",0,3,4.9416424226093
16,233,"lamp","lamp",0,0,4.04305126783455
16,239,"napkin","napkin",0,0,4.84418708645859
16,243,"pillow","pillow",0,1,4.78749174278205
16,245,"plate","plate",0,3,5.85220247977447
16,247,"radio","radio",0,1,4.97673374242057
16,248,"scissors","scissors",0,0,5.25749537202778
16,250,"spoon","spoon",0,7,5.9427993751267
16,252,"telephone","telephone",0,0,5.6937321388027
16,263,"bathtub","bathtub",0,0,4.88280192258637
16,264,"bed","bed",0,5,7.4770384723197
16,265,"bedroom","bedroom",0,0,5.4971682252932
16,267,"chair","chair",0,3,7.1770187659099
16,268,"closet","closet",0,1,4.7361984483945
16,269,"couch","couch",0,1,4.94875989037817
16,271,"door","door",0,3,7.20711885620776
16,274,"garage","garage",0,0,5.15905529921453
16,278,"oven","oven",0,1,4.77912349311153
16,286,"sink","sink",0,1,5.04985600724954
16,289,"stove","stove",0,2,4.77068462446567
16,290,"table","table",0,3,7.24921505711439
16,300,"hose","hose",0,0,4.00733318523247
16,306,"rock","rock",0,0,5.04985600724954
16,309,"shovel","shovel",0,0,4.35670882668959
16,317,"stick","stick",0,1,6.20050917404269
17,13,"alligator","alligator",0,0,4.74493212836325
17,15,"ant","ant",0,0,3.52636052461616
17,16,"bear","bear",0,1,6.25766758788264
17,21,"butterfly","butterfly",0,0,4.60517018598809
17,22,"cat","cat",0,5,6.93342302573071
17,23,"chicken","chicken",0,8,6.38012253689976
17,24,"cow","cow",0,4,6.49677499018586
17,25,"deer","deer",0,1,4.27666611901606
17,27,"donkey","donkey",0,2,5.01727983681492
17,28,"duck","duck",1,1,6.4118182677099
17,29,"elephant","elephant",0,2,5.91889385427315
17,31,"frog","frog",0,0,5.59098698051086
17,32,"giraffe","giraffe",0,2,4.83628190695148
17,33,"goose","goose",0,1,4.31748811353631
17,35,"horse","horse",0,5,6.84374994900622
17,37,"lamb","lamb",0,1,4.9416424226093
17,38,"lion","lion",0,2,6.00141487796115
17,40,"moose","moose",0,0,2.30258509299405
17,41,"mouse","mouse",0,4,6.08677472691231
17,42,"owl","owl",0,0,4.40671924726425
17,43,"penguin","penguin",0,0,3.73766961828337
17,44,"pig","pig",0,1,6.00388706710654
17,45,"pony","pony",0,1,4.29045944114839
17,47,"rooster","rooster",0,4,4.11087386417331
17,48,"sheep","sheep",0,1,5.25749537202778
17,49,"squirrel","squirrel",0,0,4.4188406077966
17,51,"tiger","tiger",0,3,6.9555926083963
17,52,"turkey","turkey",0,4,4.72738781871234
17,53,"turtle","turtle",0,0,5.49306144334055
17,55,"zebra","zebra",0,0,4.7361984483945
17,56,"airplane","airplane",0,1,5.94542060860658
17,58,"boat","boat",0,4,6.19440539110467
