"month","item","definition","uni_lemma","learned","value","value2"
16,14,"animal","animal",0,25,284
16,15,"ant","ant",0,1,34
16,16,"bear","bear",0,3,522
16,17,"bee","bee",0,1,109
16,18,"bird","bird",0,12,730
16,19,"bug","bug",0,3,138
16,20,"bunny","bunny",0,1,588
16,21,"butterfly","butterfly",0,0,100
16,22,"cat","cat",0,10,1026
16,23,"chicken","chicken",0,8,590
16,24,"cow","cow",0,5,663
16,25,"deer","deer",0,0,72
16,26,"dog","dog",1,12,1529
16,27,"donkey","donkey",0,1,151
16,28,"duck","duck",0,1,609
16,29,"elephant","elephant",0,1,372
16,30,"fish","fish",0,4,817
16,31,"frog","frog",0,0,268
16,32,"giraffe","giraffe",0,1,126
16,33,"goose","goose",0,1,75
16,35,"horse","horse",0,5,938
16,37,"lamb","lamb",0,1,140
16,38,"lion","lion",0,3,404
16,39,"monkey","monkey",0,2,380
16,41,"mouse","mouse",0,4,440
16,42,"owl","owl",0,0,82
16,43,"penguin","penguin",0,0,42
16,44,"pig","pig",0,2,405
16,45,"pony","pony",0,1,73
16,46,"puppy","puppy",0,2,124
16,47,"rooster","rooster",0,2,61
16,48,"sheep","sheep",0,1,192
16,49,"squirrel","squirrel",0,1,83
16,51,"tiger","tiger",0,3,1049
16,52,"turkey","turkey",0,3,113
16,53,"turtle","turtle",0,0,243
16,54,"wolf","wolf",0,1,107
16,56,"airplane","airplane",0,0,382
16,57,"bicycle","bicycle",0,1,95
16,58,"boat","boat",0,4,490
16,59,"bus","bus",0,3,496
16,60,"car","car",0,12,2309
16,63,"motorcycle","motorcycle",0,1,60
16,66,"tractor","tractor",0,0,324
16,67,"train","train",0,3,904
16,69,"truck","truck",0,3,909
16,70,"ball","ball",1,7,1124
16,71,"balloon","balloon",0,0,307
16,73,"block","block",0,1,272
16,74,"book","book",1,2,2259
16,78,"doll","doll",0,1,329
16,81,"pen","pen",0,3,370
16,84,"present","present",0,1,218
16,87,"toy","toy",0,4,524
16,88,"apple","apple",0,6,433
16,90,"banana","banana",1,2,152
16,91,"beans","beans",0,1,159
16,92,"bread","bread",0,6,391
16,93,"butter","butter",0,7,430
16,94,"cake","cake",0,4,724
16,95,"candy","candy",0,4,250
16,96,"carrots","carrots",0,1,112
16,97,"cereal","cereal",0,4,179
16,99,"cheese","cheese",0,5,497
16,100,"chicken","chicken",0,8,590
16,101,"chocolate","chocolate",0,6,357
16,102,"coffee","coffee",0,2,559
16,104,"cookie","cookie",0,4,390
16,106,"cracker","cracker",0,2,147
16,108,"drink","drink",0,13,1017
16,109,"egg","egg",0,2,375
16,110,"fish","fish",0,4,817
16,111,"food","food",0,34,613
16,121,"juice","juice",0,2,1082
16,122,"lollipop","lollipop",0,0,46
16,123,"meat","meat",0,8,316
16,125,"milk","milk",0,10,1366
16,127,"noodles","pasta",0,0,53
16,129,"orange","orange",0,5,609
16,131,"peas","peas",0,3,86
16,134,"pizza","pizza",0,1,42
16,138,"potato","potato",0,2,155
16,140,"pudding","pudding",0,0,63
16,142,"raisin","raisin",0,0,19
16,144,"sandwich","sandwich",0,5,284
16,145,"sauce","sauce",0,3,81
16,146,"soda","soda",0,3,94
16,147,"soup","soup",0,12,234
16,148,"spaghetti","pasta",0,0,127
16,150,"toast","toast",0,3,222
