"age","item","definition","uni_lemma","learned","value"
"16",13,"alligator","alligator",0,0
"16",14,"animal","animal",0,29
"16",15,"ant","ant",0,1
"16",16,"bear","bear",0,3
"16",17,"bee","bee",0,1
"16",18,"bird","bird",0,15
"16",19,"bug","bug",0,3
"16",20,"bunny","bunny",0,1
"16",21,"butterfly","butterfly",0,0
"16",22,"cat","cat",0,10
"16",23,"chicken (animal)","chicken (animal)",0,16
"16",24,"cow","cow",0,6
"16",25,"deer","deer",0,1
"16",26,"dog","dog",1,12
"16",27,"donkey","donkey",0,2
"16",28,"duck","duck",0,1
"16",29,"elephant","elephant",0,2
"16",30,"fish (animal)","fish (animal)",0,8
"16",31,"frog","frog",0,0
"16",32,"giraffe","giraffe",0,2
"16",33,"goose","goose",0,1
"16",35,"horse","horse",0,7
"16",36,"kitty","kitty",0,0
"16",37,"lamb","lamb",0,1
"16",38,"lion","lion",0,3
"16",39,"monkey","monkey",0,2
"16",40,"moose","moose",0,0
"16",41,"mouse","mouse",0,4
"16",42,"owl","owl",0,0
"16",43,"penguin","penguin",0,0
"16",44,"pig","pig",0,2
"16",45,"pony","pony",0,1
"16",46,"puppy","puppy",0,2
"16",47,"rooster","rooster",0,4
"16",48,"sheep","sheep",0,1
"16",49,"squirrel","squirrel",0,2
"16",51,"tiger","tiger",0,3
"16",52,"turkey","turkey",0,5
"16",53,"turtle","turtle",0,0
"16",54,"wolf","wolf",0,1
"16",55,"zebra","zebra",0,0
"16",56,"airplane","airplane",0,1
"16",57,"bicycle","bicycle",0,3
"16",58,"boat","boat",0,4
"16",59,"bus","bus",0,3
"16",60,"car","car",0,13
"16",62,"helicopter","helicopter",0,1
"16",63,"motorcycle","motorcycle",0,1
"16",64,"sled","sled",0,0
"16",65,"stroller","stroller",0,0
"16",66,"tractor","tractor",0,0
"16",67,"train","train",0,3
"16",68,"tricycle","tricycle",0,1
"16",69,"truck","truck",0,4
"16",70,"ball","ball",1,9
"16",71,"balloon","balloon",0,0
"16",72,"bat","bat",0,2
"16",73,"block","block",0,1
"16",74,"book","book",1,3
"16",75,"bubbles","bubbles",0,0
"16",76,"chalk","chalk",0,0
"16",77,"crayon","crayon",0,1
"16",78,"doll","doll",0,1
"16",79,"game","game",0,5
"16",80,"glue","glue",0,2
"16",81,"pen","pen",0,4
"16",82,"pencil","pencil",0,3
"16",83,"play dough","play dough",0,0
"16",84,"present","present",0,2
"16",85,"puzzle","puzzle",0,0
"16",86,"story","story",0,0
"16",87,"toy (object)","toy (object)",0,5
"16",88,"apple","apple",0,6
"16",90,"banana","banana",1,3
"16",91,"beans","beans",0,1
"16",92,"bread","bread",0,11
"16",93,"butter","butter",0,11
"16",94,"cake","cake",0,6
"16",95,"candy","candy",0,6
"16",96,"carrots","carrots",0,1
"16",97,"cereal","cereal",0,4
"16",98,"cheerios","cheerios",0,0
"16",99,"cheese","cheese",0,6
"16",100,"chicken (food)","chicken (food)",0,16
"16",101,"chocolate","chocolate",0,9
"16",102,"coffee","coffee",0,2
"16",103,"coke","coke",0,6
"16",104,"cookie","cookie",0,6
"16",105,"corn","corn",0,2
"16",106,"cracker","cracker",0,2
"16",107,"donut","donut",0,0
"16",108,"drink (beverage)","drink (beverage)",0,17
"16",109,"egg","egg",0,3
"16",110,"fish (food)","fish (food)",0,8
"16",111,"food","food",0,49
"16",115,"gum","gum",0,2
"16",116,"hamburger","hamburger",0,2
"16",117,"ice","ice",0,8
"16",118,"ice cream","ice cream",0,4
"16",119,"jello","jello",0,1
"16",120,"jelly","jelly",0,5
"16",121,"juice","juice",0,3
"16",122,"lollipop","lollipop",0,0
"16",123,"meat","meat",0,11
"16",125,"milk","milk",0,11
"16",126,"muffin","muffin",0,0
"16",127,"noodles","pasta",0,0
"16",128,"nuts","nuts",0,1
"16",129,"orange (food)","orange (food)",0,6
"16",131,"peas","peas",0,3
"16",132,"peanut butter","peanut butter",0,3
"16",133,"pickle","pickle",0,0
"16",134,"pizza","pizza",0,1
"16",135,"popcorn","popcorn",0,1
"16",137,"potato chip","chips",0,1
"16",138,"potato","potato",0,3
"16",140,"pudding","pudding",0,1
"16",141,"pumpkin","pumpkin",0,0
"16",142,"raisin","raisin",0,1
"16",143,"salt","salt",0,3
"16",144,"sandwich","sandwich",0,11
"16",145,"sauce","sauce",0,5
"16",146,"soda/pop","soda",0,5
"16",147,"soup","soup",0,14
"16",148,"spaghetti","pasta",0,0
"16",149,"strawberry","strawberry",0,3
"16",150,"toast","toast",0,6
"16",154,"water (beverage)","water (beverage)",0,68
"16",155,"yogurt","yogurt",0,1
"16",156,"beads","beads",0,0
"16",157,"belt","belt",0,1
"16",159,"boots","boots",0,0
"16",160,"button","button",0,2
"16",161,"coat","coat",0,5
"16",162,"diaper","diaper",0,0
"16",163,"dress (object)","dress (object)",0,3
"16",164,"gloves","gloves",0,0
"16",165,"hat","hat",0,4
"16",166,"jacket","jacket",0,6
"16",167,"jeans","jeans",0,3
"16",168,"mittens","mittens",0,0
"16",169,"necklace","necklace",0,0
"16",170,"pajamas","pajamas",0,0
"16",171,"pants","pants",0,8
"16",173,"shirt","shirt",0,7
"16",174,"shoe","shoe",1,4
"16",175,"shorts","shorts",0,3
"16",179,"sock","sock",0,1
"16",180,"sweater","sweater",0,4
"16",183,"zipper","zipper",0,2
"16",184,"ankle","ankle",0,1
"16",185,"arm","arm",0,5
"16",187,"buttocks/bottom*","butt",0,1
