"month","item","definition","uni_lemma","learned","value","value2"
16,14,"animal","animal",0,20,284
16,16,"bear","bear",0,3,522
16,18,"bird","bird",0,7,730
16,19,"bug","bug",0,2,138
16,20,"bunny","bunny",0,1,588
16,21,"butterfly","butterfly",0,0,100
16,22,"cat","cat",0,9,1026
16,24,"cow","cow",0,5,663
16,26,"dog","dog",1,10,1529
16,27,"donkey","donkey",0,1,151
16,28,"duck","duck",0,0,609
16,29,"elephant","elephant",0,1,372
16,31,"frog","frog",0,0,268
16,32,"giraffe","giraffe",0,1,126
16,35,"horse","horse",0,4,938
16,37,"lamb","lamb",0,1,140
16,38,"lion","lion",0,3,404
16,39,"monkey","monkey",0,2,380
16,41,"mouse","mouse",0,3,440
16,44,"pig","pig",0,2,405
16,46,"puppy","puppy",0,2,124
16,48,"sheep","sheep",0,1,192
16,51,"tiger","tiger",0,3,1049
16,52,"turkey","turkey",0,1,113
16,53,"turtle","turtle",0,0,243
16,54,"wolf","wolf",0,1,107
16,56,"airplane","airplane",0,0,382
16,58,"boat","boat",0,3,490
16,59,"bus","bus",0,3,496
16,60,"car","car",0,8,2309
16,66,"tractor","tractor",0,0,324
16,67,"train","train",0,2,904
16,69,"truck","truck",0,2,909
16,70,"ball","ball",1,6,1124
16,71,"balloon","balloon",0,0,307
16,73,"block","block",0,1,272
16,74,"book","book",1,2,2259
16,78,"doll","doll",0,0,329
16,81,"pen","pen",0,3,370
16,84,"present","present",0,1,218
16,88,"apple","apple",0,4,433
16,90,"banana","banana",1,2,152
16,91,"beans","beans",0,0,159
16,92,"bread","bread",0,5,391
16,93,"butter","butter",0,6,430
16,94,"cake","cake",0,3,724
16,95,"candy","candy",0,3,250
16,96,"carrots","carrots",0,0,112
16,97,"cereal","cereal",0,3,179
16,99,"cheese","cheese",0,4,497
16,101,"chocolate","chocolate",0,4,357
16,102,"coffee","coffee",0,2,559
16,104,"cookie","cookie",0,3,390
16,106,"cracker","cracker",0,2,147
16,109,"egg","egg",0,1,375
16,111,"food","food",0,21,613
16,121,"juice","juice",0,1,1082
16,123,"meat","meat",0,5,316
16,125,"milk","milk",0,9,1366
16,138,"potato","potato",0,2,155
16,144,"sandwich","sandwich",0,3,284
16,147,"soup","soup",0,8,234
16,150,"toast","toast",0,3,222
16,159,"boots","boots",0,0,216
16,160,"button","button",0,1,332
16,161,"coat","coat",0,5,484
16,162,"diaper","diaper",0,0,162
16,165,"hat","hat",0,3,967
16,166,"jacket","jacket",0,4,180
16,170,"pajamas","pajamas",0,0,114
16,171,"pants","pants",0,3,401
16,173,"shirt","shirt",0,4,523
16,174,"shoe","shoe",1,3,345
16,180,"sweater","sweater",0,4,126
16,185,"arm","arm",0,4,268
16,190,"ear","ear",0,3,225
16,191,"eye","eye",0,5,296
16,192,"face","face",0,5,683
16,193,"finger","finger",0,3,503
16,194,"foot","foot",0,5,547
16,195,"hair","hair",0,3,1305
16,196,"hand","hand",0,4,1291
16,197,"head","head",0,8,1282
16,198,"knee","knee",0,1,172
16,199,"leg","leg",0,5,276
16,201,"mouth","mouth",0,3,1081
16,202,"nose","nose",0,7,897
16,206,"toe","toe",0,3,101
16,207,"tongue","tongue",0,1,208
16,212,"blanket","blanket",0,2,140
16,213,"bottle","bottle",0,2,385
16,214,"bowl","bowl",0,4,236
16,215,"box","box",0,6,1342
16,216,"broom","broom",0,0,117
16,219,"camera","camera",0,1,107
16,221,"clock","clock",0,0,251
16,223,"cup","cup",0,4,851
16,225,"fork","fork",0,3,161
16,227,"glass","glass",0,4,292
16,228,"glasses","glasses",0,1,177
16,229,"hammer","hammer",0,0,127
16,231,"keys","keys",0,0,160
16,232,"knife","knife",0,5,140
16,234,"light","light",0,4,569
16,235,"medicine","medicine",0,1,128
16,236,"money","money",0,5,628
16,240,"paper","paper",0,7,1065
16,241,"penny","penny",0,0,129
16,242,"picture","picture",0,1,881
16,243,"pillow","pillow",0,2,120
16,244,"plant","plant",0,2,118
16,245,"plate","plate",0,1,348
16,247,"radio","radio",0,1,145
16,248,"scissors","scissors",0,0,192
16,249,"soap","soap",0,3,119
16,250,"spoon","spoon",0,6,381
16,252,"telephone","telephone",0,0,297
16,253,"tissue","tissue",0,0,104
16,255,"towel","towel",0,1,138
16,262,"bathroom","bathroom",0,5,340
16,263,"bathtub","bathtub",0,1,132
16,264,"bed","bed",0,7,1767
16,265,"bedroom","bedroom",0,3,244
16,267,"chair","chair",0,4,1309
16,268,"closet","closet",0,3,114
16,269,"couch","couch",0,1,141
