"item","definition","uni_lemma","type","IPA"
1,"organo genitale femminile","vagina","word"," ˈɔrɡano dʒˌenitˈaːle fˌemminˈiːle"
2,"orecchio","ear","word"," orˈekːio"
3,"ombelico","belly button","word"," ˌombelˈiːko"
4,"occhio","eye","word"," ˈɔkːio"
5,"naso","nose","word"," nˈaːzo"
6,"mano","hand","word"," mˈaːno"
7,"lingua","tongue","word"," lˈiŋɡwa"
12,"gambe","leg","word"," ɡˈambe"
13,"faccia","face","word"," fˈatʃːa"
14,"dito","finger","word"," dˈiːto"
15,"denti","tooth","word"," dˈɛntɪ"
17,"capelli","hair","word"," kapˈɛllɪ"
18,"braccio","arm","word"," brˈatʃːo"
19,"bocca","mouth","word"," bˈokːa"
20,"vestito","dress (object)","word"," vestˈiːto"
21,"tuta","tracksuit","word"," tˈuːta"
23,"sciarpa","scarf","word"," ʃˈaːrpa"
24,"scarpe","shoe","word"," skˈaːrpe"
25,"pigiama","pajamas","word"," pidʒˈaːma"
27,"pantaloni","pants","word"," pˌantalˈoːnɪ"
28,"pannolino","diaper","word"," pˌannolˈiːno"
29,"occhiali","glasses","word"," okːjˈaːlɪ"
30,"mutande","underpants","word"," mʊtˈande"
31,"maglione","sweater","word"," maʎˈoːne"
33,"guanti","gloves","word"," ɡwˈantɪ"
35,"gonna","skirt","word"," ɡˈonna"
36,"giacca","jacket","word"," dʒˈakːa"
37,"collana","necklace","word"," kollˈaːna"
39,"cappotto","coat","word"," kapːˈɔtːo"
40,"cappello","hat","word"," kapːˈɛllo"
43,"calze","sock","word"," kˈaltse"
45,"bottone","button","word"," botːˈoːne"
49,"zucchero","sugar","word"," tsˈukːero"
50,"yogurt","yogurt","word"," jˈɔːɡʊrt"
53,"uva","grapes","word"," ˈuːva"
54,"uovo","egg","word"," wˈɔːvo"
56,"torta","cake","word"," tˈɔːrta"
59,"sugo","sauce","word"," sˈuːɡo"
64,"riso","rice","word"," rˈiːzo"
66,"polpette","meatball","word"," polpˈetːe"
67,"pollo","chicken (food)","word"," pˈollo"
69,"piselli","peas","word"," pizˈɛllɪ"
70,"pesca","peach","word"," pˈɛska"
71,"pera","pear","word"," pˈɛːra"
72,"patatine","chips","word"," patˈatine"
73,"patate","potato","word"," patˈaːte"
74,"pasta","pasta","word"," pˈasta"
75,"pappa","baby food","word"," pˈapːa"
78,"pane","bread","word"," pˈaːne"
82,"miele","honey","word"," mjˈɛːle"
84,"mela","apple","word"," mˈɛːla"
88,"latte","milk","word"," lˈatːe"
92,"gelato","ice cream","word"," dʒelˈaːto"
94,"formaggio","cheese","word"," formˈadʒːo"
98,"cracker","cracker","word"," krˈakker"
101,"cioccolata","chocolate","word"," tʃˌɔkːolˈaːta"
103,"carote","carrots","word"," karˈɔːte"
104,"carne","meat","word"," karnˈɛ"
105,"caramella","candy","word"," kˌaramˈɛlla"
111,"biscotti","cookie","word"," biskˈɔtːɪ"
112,"banana","banana","word"," banˈaːna"
114,"arancia","orange (food)","word"," arˈantʃa"
115,"acqua","water (beverage)","word"," ˈakkwa"
116,"trottola","top","word"," trˈɔtːola"
121,"secchiello","bucket","word"," sekːjˈɛllo"
123,"pistola","gun","word"," pˈistola"
125,"palla","ball","word"," pˈalla"
126,"paletta","spade","word"," palˈetːa"
127,"giocattolo","toy (object)","word"," dʒokˈatːolo"
128,"favola","book","word"," fˈavola"
129,"cubi","block","word"," kˈuːbɪ"
133,"bambola","doll","word"," bˈambola"
134,"treno","train","word"," trˈɛːno"
135,"trattore","tractor","word"," tratːˈoːre"
137,"passeggino","stroller","word"," pˌassedʒːˈiːno"
138,"motocicletta","motorcycle","word"," mˌototʃiklˈetːa"
139,"jeep","jeep","word"," jˈɛːep"
140,"gru","crane","word"," ɡrˈu"
142,"camion","truck","word"," kˈamion"
143,"bicicletta","bicycle","word"," bˌitʃiklˈetːa"
144,"barca","boat","word"," bˈaːrka"
145,"automobile","car","word"," ˌaʊtomˈɔbile"
146,"autobus","bus","word"," ˈaʊtˌobʊs"
147,"aereo","airplane","word"," aˈɛreo"
149,"zanzara","mosquito","word"," tsantsˈaːra"
150,"uccellino","bird","word"," ˌʊtʃːellˈiːno"
151,"topo","mouse","word"," tˈɔːpo"
152,"tigre","tiger","word"," tiɡrˈɛ"
153,"tartaruga","turtle","word"," tˌartarˈuːɡa"
156,"scimmia","monkey","word"," ʃˈimmia"
157,"rana","frog","word"," rˈaːna"
158,"pulcino","chick","word"," pʊltʃˈiːno"
159,"pinguino","penguin","word"," piŋɡwˈiːno"
160,"pesciolino","fish (animal)","word"," pˌeʃolˈiːno"
161,"pecora","sheep","word"," pˈɛkora"
162,"papera","duck","word"," pˈapera"
163,"orso","bear","word"," ˈoːrso"
164,"oca","goose","word"," ˈɔːka"
165,"mucca","cow","word"," mˈukːa"
166,"mosca","fly (animal)","word"," mˈoska"
167,"maiale","pig","word"," majˈaːle"
168,"lupo","wolf","word"," lˈuːpo"
169,"leone","lion","word"," leˈoːne"
170,"ippopotamo","hippopotamus","word"," ˌipːopˈɔtamo"
172,"giraffa","giraffe","word"," dʒirˈaffa"
173,"gatto","cat","word"," ɡˈatːo"
174,"gallo","rooster","word"," ɡˈallo"
175,"gallina","hen","word"," ɡallˈiːna"
176,"formica","ant","word"," formˈiːka"
178,"farfalla","butterfly","word"," farfˈalla"
179,"elefante","elephant","word"," ˌɛlefˈante"
181,"coniglio","bunny","word"," konˈiːʎo"
182,"coccodrillo","crocodile","word"," kˌokːodrˈillo"
183,"cerbiatto","fawn","word"," tʃerbjˈatːo"
184,"cavallo","horse","word"," kavˈallo"
185,"capra","goat","word"," kˈaːpra"
186,"cane","dog","word"," kˈaːne"
