"month","item","definition","uni_lemma","learned","value"
18,20,"vestito","dress",0,21
18,23,"sciarpa","scarf",0,29
18,25,"pigiama","pajamas",0,20
18,27,"pantaloni","pants",0,37
18,31,"maglione","sweater",0,17
18,33,"guanti","gloves",0,10
18,35,"gonna","skirt",0,21
18,36,"giacca","jacket",0,20
18,37,"collana","necklace",0,11
18,39,"cappotto","coat",0,24
18,56,"torta","cake",0,15
18,64,"riso","rice",0,40
18,69,"piselli","peas",0,40
18,70,"pesca","peach",0,31
18,71,"pera","pear",0,37
18,73,"patate","potato",0,20
18,78,"pane","bread",1,31
18,84,"mela","apple",0,28
18,94,"formaggio","cheese",0,35
18,112,"banana","banana",0,44
18,121,"secchiello","bucket",0,31
18,123,"pistola","gun",0,29
18,125,"palla","ball",1,30
18,126,"paletta","spade",0,25
18,127,"giocattolo","toy",0,4
18,128,"favola/storia","book",0,1
18,133,"bambola","doll",0,6
18,134,"treno","train",0,24
18,135,"trattore","tractor",0,43
18,138,"motocicletta","motorcycle",0,21
18,139,"jeep","jeep",0,15
18,142,"camion","truck",0,24
18,144,"barca","boat",0,28
18,145,"automobile","car",0,28
18,146,"autobus","bus",0,31
18,147,"aereo","airplane",0,38
18,151,"topo","mouse",0,36
18,152,"tigre","tiger",0,40
18,153,"tartaruga","turtle",0,46
18,157,"rana","frog",0,33
18,159,"pinguino","penguin",0,39
18,161,"pecora","sheep",0,35
18,162,"papera","duck",0,33
18,163,"orso","bear",0,46
18,164,"oca","goose",0,42
18,165,"mucca","cow",0,43
18,167,"maiale","pig",0,36
18,169,"leone","lion",0,36
18,172,"giraffa","giraffe",0,38
18,173,"gatto","cat",0,26
18,174,"gallo","rooster",0,38
18,176,"formica","ant",0,23
18,178,"farfalla","butterfly",0,31
18,179,"elefante","elephant",0,35
18,182,"coccodrillo","crocodile",0,52
18,183,"cerbiatto","fawn",0,51
18,184,"cavallo","horse",0,41
18,185,"capra","goat",0,32
18,186,"cane","dog",0,29
18,187,"asino","donkey",0,31
18,190,"agnello","lamb",0,43
18,213,"biberon","bottle",0,22
18,215,"bottiglia","bottle",0,22
18,221,"coltello","knife",0,27
18,224,"cucchiaio","spoon",0,27
18,225,"cuscino","pillow",0,23
18,229,"forbici","scissors",0,27
18,230,"forchetta","fork",0,23
18,234,"libro","book",0,1
18,235,"martello","hammer",0,29
18,239,"ombrello","umbrella",0,56
18,240,"orologio","clock",0,15
18,241,"pentola","pot",0,33
18,242,"pettine","comb",0,50
18,244,"piatto","dish",0,35
18,247,"scatola","box",0,41
18,248,"scopa","broom",0,29
18,253,"specchio","mirror",0,14
18,256,"tazza","cup",0,32
18,257,"telefono","telephone",0,18
18,261,"armadio","closet",0,18
18,269,"divano","couch",0,47
18,276,"lavandino","sink",0,22
18,278,"letto","bed",0,20
18,281,"porta","door",0,23
18,287,"sedia","chair",0,30
18,289,"tappeto","carpet",0,29
18,290,"tavolo","table",0,42
18,293,"vasca da bagno","bathtub",0,36
18,296,"ascensore","elevator",0,30
18,306,"garage","garage",0,26
18,315,"sasso","stone",0,31
19,20,"vestito","dress",0,21
19,23,"sciarpa","scarf",0,29
19,25,"pigiama","pajamas",0,20
19,27,"pantaloni","pants",0,37
19,31,"maglione","sweater",0,17
19,33,"guanti","gloves",0,10
19,35,"gonna","skirt",0,21
19,36,"giacca","jacket",0,20
19,37,"collana","necklace",0,11
19,39,"cappotto","coat",0,24
19,56,"torta","cake",0,15
19,64,"riso","rice",0,40
19,69,"piselli","peas",0,40
19,70,"pesca","peach",0,31
19,71,"pera","pear",0,37
19,73,"patate","potato",0,20
19,84,"mela","apple",0,28
19,94,"formaggio","cheese",0,35
19,112,"banana","banana",0,44
19,121,"secchiello","bucket",0,31
19,123,"pistola","gun",0,29
19,126,"paletta","spade",0,25
19,127,"giocattolo","toy",0,4
19,128,"favola/storia","book",0,1
19,133,"bambola","doll",0,6
19,134,"treno","train",0,24
19,135,"trattore","tractor",0,43
19,138,"motocicletta","motorcycle",0,21
19,139,"jeep","jeep",0,15
19,142,"camion","truck",0,24
19,144,"barca","boat",0,28
19,145,"automobile","car",0,28
19,146,"autobus","bus",0,31
19,147,"aereo","airplane",0,38
19,151,"topo","mouse",0,36
19,152,"tigre","tiger",0,40
19,153,"tartaruga","turtle",0,46
19,157,"rana","frog",0,33
19,159,"pinguino","penguin",0,39
19,161,"pecora","sheep",0,35
19,162,"papera","duck",0,33
19,163,"orso","bear",0,46
19,164,"oca","goose",0,42
19,165,"mucca","cow",0,43
