"age","item","definition","uni_lemma","learned","value"
"18",23,"sciarpa","scarf",0,27
"18",25,"pigiama","pajamas",0,19
"18",27,"pantaloni","pants",0,35
"18",31,"maglione","sweater",0,15
"18",33,"guanti","gloves",0,9
"18",35,"gonna","skirt",0,19
"18",36,"giacca","jacket",0,18
"18",37,"collana","necklace",0,9
"18",39,"cappotto","coat",0,22
"18",56,"torta","cake",0,15
"18",64,"riso","rice",0,39
"18",69,"piselli","peas",0,39
"18",70,"pesca","peach",0,31
"18",71,"pera","pear",0,37
"18",73,"patate","potato",0,20
"18",78,"pane","bread",1,31
"18",84,"mela","apple",0,28
"18",94,"formaggio","cheese",0,35
"18",112,"banana","banana",0,43
"18",121,"secchiello","bucket",0,30
"18",123,"pistola","gun",0,28
"18",125,"palla","ball",1,27
"18",126,"paletta","spade",0,24
"18",128,"favola/storia","book",0,1
"18",133,"bambola","doll",0,5
"18",134,"treno","train",0,23
"18",135,"trattore","tractor",0,42
"18",138,"motocicletta","motorcycle",0,20
"18",139,"jeep","jeep",0,15
"18",142,"camion","truck",0,24
"18",144,"barca","boat",0,27
"18",145,"automobile","car",0,26
"18",146,"autobus","bus",0,31
"18",147,"aereo","airplane",0,37
"18",151,"topo","mouse",0,35
"18",152,"tigre","tiger",0,39
"18",153,"tartaruga","turtle",0,45
"18",157,"rana","frog",0,33
"18",159,"pinguino","penguin",0,38
"18",161,"pecora","sheep",0,35
"18",162,"papera","duck",0,33
"18",163,"orso","bear",0,45
"18",164,"oca","goose",0,42
"18",165,"mucca","cow",0,43
"18",167,"maiale","pig",0,36
"18",169,"leone","lion",0,35
"18",172,"giraffa","giraffe",0,38
"18",173,"gatto","cat",0,26
"18",174,"gallo","rooster",0,38
"18",176,"formica","ant",0,22
"18",178,"farfalla","butterfly",0,29
"18",179,"elefante","elephant",0,35
"18",182,"coccodrillo","crocodile",0,50
"18",183,"cerbiatto","fawn",0,50
"18",184,"cavallo","horse",0,41
"18",185,"capra","goat",0,32
"18",186,"cane","dog",0,29
"18",187,"asino","donkey",0,31
"18",190,"agnello","lamb",0,43
"18",213,"biberon","bottle",0,21
"18",215,"bottiglia","bottle",0,21
"18",221,"coltello","knife",0,26
"18",224,"cucchiaio","spoon",0,26
"18",225,"cuscino","pillow",0,23
"18",229,"forbici","scissors",0,26
"18",230,"forchetta","fork",0,22
"18",234,"libro","book",0,1
"18",235,"martello","hammer",0,28
"18",239,"ombrello","umbrella",0,54
"18",240,"orologio","clock",0,15
"18",241,"pentola","pot",0,32
"18",244,"piatto","dish",0,33
"18",247,"scatola","box",0,40
"18",248,"scopa","broom",0,27
