"month","item","definition","uni_lemma","learned","value"
18,2,"orecchio","ear",0,3
18,4,"occhio","eye",0,4
18,5,"naso","nose",0,4
18,6,"mano","hand",1,4
18,7,"lingua","tongue",0,1
18,12,"gambe","leg",0,1
18,13,"faccia","face",0,5
18,14,"dito","finger",0,3
18,15,"denti","tooth",0,1
18,17,"capelli","hair",0,2
18,18,"braccio","arm",0,4
18,19,"bocca","mouth",0,3
18,20,"vestito","dress",0,2
18,23,"sciarpa","scarf",0,4
18,24,"scarpe","shoe",1,2
18,25,"pigiama","pajamas",0,1
18,27,"pantaloni","pants",0,3
18,28,"pannolino","diaper",0,1
18,29,"occhiali","glasses",0,2
18,31,"maglione","sweater",0,2
18,33,"guanti","gloves",0,2
18,35,"gonna","skirt",0,3
18,36,"giacca","jacket",0,3
18,39,"cappotto","coat",0,5
18,40,"cappello","hat",0,8
18,43,"calze","sock",0,1
18,45,"bottone","button",0,6
18,49,"zucchero","sugar",0,2
18,50,"yogurt","yogurt",0,3
18,54,"uovo","egg",0,2
18,56,"torta","cake",0,3
18,59,"sugo","sauce",0,3
18,64,"riso","rice",0,1
18,69,"piselli","peas",0,2
18,70,"pesca","peach",0,3
18,71,"pera","pear",0,3
18,73,"patate","potato",0,3
18,74,"pasta","pasta",0,1
18,78,"pane","bread",1,2
18,82,"miele","honey",0,3
18,84,"mela","apple",0,4
18,88,"latte","milk",1,7
18,92,"gelato","ice cream",0,4
18,94,"formaggio","cheese",0,5
18,98,"cracker","cracker",0,4
18,101,"cioccolata","chocolate",0,4
18,103,"carote","carrots",0,2
18,104,"carne","meat",0,2
18,105,"caramella","candy",0,3
18,111,"biscotti","cookie",1,5
18,112,"banana","banana",0,2
18,116,"trottola","top",0,3
18,125,"palla","ball",1,0
18,126,"paletta","spade",0,1
18,128,"favola/storia","book",0,2
18,129,"cubi","block",0,2
18,133,"bambola","doll",0,2
18,134,"treno","train",0,2
18,135,"trattore","tractor",0,1
18,138,"motocicletta","motorcycle",0,2
18,139,"jeep","jeep",0,2
18,142,"camion","truck",0,2
18,143,"bicicletta","bicycle",0,2
18,144,"barca","boat",0,0
18,145,"automobile","car",0,7
18,146,"autobus","bus",0,1
18,147,"aereo","airplane",0,6
18,149,"zanzara","mosquito",0,1
18,150,"uccellino","bird",0,5
18,151,"topo","mouse",0,2
18,152,"tigre","tiger",0,4
18,153,"tartaruga","turtle",0,2
18,156,"scimmia","monkey",0,3
18,157,"rana","frog",0,2
18,158,"pulcino","chick",0,4
18,159,"pinguino","penguin",0,3
18,161,"pecora","sheep",0,6
18,162,"papera","duck",0,3
18,163,"orso","bear",0,6
18,164,"oca","goose",0,6
18,165,"mucca","cow",0,4
18,166,"mosca","fly",0,4
18,167,"maiale","pig",0,3
18,168,"lupo","wolf",0,5
18,169,"leone","lion",0,4
18,172,"giraffa","giraffe",0,2
18,173,"gatto","cat",0,2
18,174,"gallo","rooster",0,1
18,175,"gallina","hen",0,5
18,178,"farfalla","butterfly",0,4
18,179,"elefante","elephant",0,4
18,181,"coniglio","bunny",0,2
18,182,"coccodrillo","crocodile",0,1
18,183,"cerbiatto","fawn",0,1
18,184,"cavallo","horse",0,6
18,185,"capra","goat",0,5
18,186,"cane","dog",0,2
18,187,"asino","donkey",0,3
18,189,"animale","animal",0,7
18,190,"agnello","lamb",0,5
18,205,"piede","feet",0,1
18,206,"sederino","butt",0,2
18,207,"seno","breast",0,1
18,209,"testa","head",0,6
18,213,"biberon","bottle",0,3
18,214,"bicchiere","glass",0,6
18,215,"bottiglia","bottle",0,3
18,218,"chiave","keys",0,2
18,221,"coltello","knife",0,2
18,222,"coperchio","cover",0,6
18,223,"coperta","blanket",0,3
18,224,"cucchiaio","spoon",0,3
18,225,"cuscino","pillow",0,3
18,228,"fazzoletto","tissue",0,2
18,229,"forbici","scissors",0,2
18,230,"forchetta","fork",0,2
18,232,"giornale","paper",0,3
18,233,"luce","light",0,1
18,234,"libro","book",0,2
18,235,"martello","hammer",0,1
18,238,"musica","music",0,0
18,239,"ombrello","umbrella",0,2
18,241,"pentola","pot",0,3
18,243,"pianta","plant",0,4
18,244,"piatto","dish",0,4
18,246,"sapone","soap",0,2
18,247,"scatola","box",0,3
18,248,"scopa","broom",0,1
18,251,"soldi","money",0,0
18,253,"specchio","mirror",0,2
18,255,"tappo","cap",0,4
18,256,"tazza","cup",0,2
18,257,"telefono","telephone",0,2
18,261,"armadio","closet",0,3
18,262,"bagno","bathroom",0,5
18,264,"camera","room",0,4
18,266,"cassetto","drawer",0,1
18,267,"cucina","kitchen",0,8
18,268,"culla","crib",0,1
18,269,"divano","couch",0,3
18,270,"doccia","shower",0,5
18,272,"finestra","window",0,3
18,276,"lavandino","sink",0,3
18,278,"letto","bed",0,2
18,281,"porta","door",0,2
18,285,"salotto","living room",0,4
18,286,"scala","stairs",0,1
18,287,"sedia","chair",0,5
18,290,"tavolo","table",0,2
18,292,"terrazza","porch",0,4
18,293,"vasca da bagno","bathtub",0,4
18,294,"albero","tree",0,3
18,296,"ascensore","elevator",0,5
18,300,"cielo","sky",0,3
18,302,"fiore","flower",0,5
18,306,"garage","garage",0,2
18,307,"luna","moon",0,3
18,309,"neve","snow",0,2
18,310,"nuvola","cloud",0,2
18,311,"pioggia","rain",0,6
