"age","item","definition","uni_lemma","learned","value"
"18",1,"organo genitale femminile","vagina",0,0
"18",2,"orecchio","ear",0,3
"18",4,"occhio","eye",0,4
"18",5,"naso","nose",0,7
"18",6,"mano","hand",1,4
"18",7,"lingua","tongue",0,1
"18",12,"gambe","leg",0,6
"18",13,"faccia","face",0,8
"18",14,"dito","finger",0,2
"18",15,"denti","tooth",0,0
"18",17,"capelli","hair",0,5
"18",18,"braccio","arm",0,3
"18",19,"bocca","mouth",0,3
"18",20,"vestito","dress (object)",0,5
"18",23,"sciarpa","scarf",0,1
"18",24,"scarpe","shoe",1,3
"18",25,"pigiama","pajamas",0,0
"18",27,"pantaloni","pants",0,4
"18",28,"pannolino","diaper",0,0
"18",29,"occhiali","glasses",0,1
"18",31,"maglione","sweater",0,3
"18",33,"guanti","gloves",0,0
"18",35,"gonna","skirt",0,2
"18",36,"giacca","jacket",0,3
"18",37,"collana","necklace",0,0
"18",39,"cappotto","coat",0,5
"18",40,"cappello","hat",0,7
"18",43,"calze","sock",0,1
"18",45,"bottone","button",0,1
"18",49,"zucchero","sugar",0,4
"18",50,"yogurt","yogurt",0,1
"18",54,"uovo","egg",0,3
"18",56,"torta","cake",0,3
"18",59,"sugo","sauce",0,1
"18",64,"riso","rice",0,0
"18",66,"polpette","meatball",0,0
"18",67,"pollo","chicken (food)",0,9
"18",69,"piselli","peas",0,1
"18",70,"pesca","peach",0,2
"18",71,"pera","pear",0,2
"18",72,"patatine","chips",0,0
"18",73,"patate","potato",0,4
"18",74,"pasta","pasta",0,0
"18",75,"pappa","baby food",1,0
"18",78,"pane","bread",1,2
"18",82,"miele","honey",0,2
"18",84,"mela","apple",0,6
"18",88,"latte","milk",1,9
"18",92,"gelato","ice cream",0,4
"18",94,"formaggio","cheese",0,5
"18",98,"cracker","cracker",0,1
"18",101,"cioccolata","chocolate",0,7
"18",103,"carote","carrots",0,1
"18",104,"carne","meat",0,5
"18",105,"caramella","candy",0,4
"18",111,"biscotti","cookie",1,5
"18",112,"banana","banana",0,2
"18",114,"arancia","orange (food)",0,4
"18",115,"acqua","water (beverage)",1,25
"18",116,"trottola","top",0,11
"18",121,"secchiello","bucket",0,0
"18",123,"pistola","gun",0,4
"18",125,"palla","ball",1,3
"18",126,"paletta","spade",0,0
"18",127,"giocattolo","toy (object)",0,4
"18",128,"favola/storia","book",0,6
"18",129,"cubi","block",0,1
"18",133,"bambola","doll",0,1
"18",134,"treno","train",0,3
