"month","item","definition","uni_lemma","learned","value"
18,1,"organo genitale femminile","vagina",0,26.966862187
18,2,"orecchio","ear",0,24.036359482
18,3,"ombelico","belly button",0,27.210946981
18,4,"occhio","eye",0,26.903961796
18,5,"naso","nose",0,28.163289724
18,6,"mano","hand",1,31.774195114
18,7,"lingua","tongue",0,29.371886929
18,12,"gambe","leg",0,32.562187822
18,13,"faccia","face",0,32.318065728
18,14,"dito","finger",0,26.118681613
18,15,"denti","tooth",0,26.393505463
18,17,"capelli","hair",0,26.422644188
18,18,"braccio","arm",0,31.043276647
18,19,"bocca","mouth",0,31.399156929
18,23,"sciarpa","scarf",0,33.67980843
18,24,"scarpe","shoe",1,26.622654357
18,25,"pigiama","pajamas",0,26.379539462
18,27,"pantaloni","pants",0,25.367434186
18,28,"pannolino","diaper",0,28.093999208
18,29,"occhiali","glasses",0,26.575582706
18,30,"mutande","underpants",0,16.731924003
18,31,"maglione","sweater",0,36.678490404
18,33,"guanti","gloves",0,18.240523964
18,36,"giacca","jacket",0,32.544869317
18,37,"collana","necklace",0,31.030877011
18,39,"cappotto","coat",0,30.96366229
18,40,"cappello","hat",0,30.492257794
18,43,"calze","sock",0,27.308205227
18,45,"bottone","button",0,25.849908006
18,50,"yogurt","yogurt",0,19.211949238
18,53,"uva","grapes",0,12.555768019
18,54,"uovo","egg",0,24.258718438
18,56,"torta","cake",0,19.359904441
18,59,"sugo","sauce",0,11.125598604
18,69,"piselli","peas",0,10.931381897
18,73,"patate","potato",0,9.031855487
18,78,"pane","bread",1,18.922924526
18,84,"mela","apple",0,13.559471765
18,88,"latte","milk",1,18.928083253
18,92,"gelato","ice cream",0,10.853217331
18,94,"formaggio","cheese",0,14.065784809
18,98,"cracker","cracker",0,21.737775701
18,101,"cioccolata","chocolate",0,7.926793131
18,103,"carote","carrots",0,15.315905143
18,104,"carne","meat",0,16.742341777
18,105,"caramella","candy",0,16.292520665
18,111,"biscotti","cookie",1,21.577873047
18,112,"banana","banana",0,19.734110326
18,121,"secchiello","bucket",0,27.233733768
18,125,"palla","ball",1,28.595759746
18,128,"favola/storia","book",0,29.653106187
18,129,"cubi","block",0,24.368631208
18,133,"bambola","doll",0,22.617735143
18,134,"treno","train",0,26.675452432
18,135,"trattore","tractor",0,27.636621055
18,137,"passeggino","stroller",0,34.705525503
18,138,"motocicletta","motorcycle",0,30.937296086
18,142,"camion","truck",0,23.041500849
18,143,"bicicletta","bicycle",0,24.730708306
18,144,"barca","boat",0,34.071386707
18,145,"automobile","car",0,33.050923927
18,146,"autobus","bus",0,27.830270584
18,147,"aereo","airplane",0,25.893901899
18,150,"uccellino","bird",0,24.009001842
18,151,"topo","mouse",0,25.307787941
18,152,"tigre","tiger",0,23.945883311
18,153,"tartaruga","turtle",0,24.26009407
18,156,"scimmia","monkey",0,26.158090106
18,157,"rana","frog",0,29.6613781
18,159,"pinguino","penguin",0,23.3535273
18,161,"pecora","sheep",0,23.50752251
18,162,"papera","duck",0,23.740411661
18,163,"orso","bear",0,21.12090331
18,164,"oca","goose",0,20.206799902
18,165,"mucca","cow",0,28.65854389
18,167,"maiale","pig",0,23.425275484
18,168,"lupo","wolf",0,27.236987955
18,169,"leone","lion",0,29.22850371
18,172,"giraffa","giraffe",0,24.731892581
18,173,"gatto","cat",0,26.504847101
18,174,"gallo","rooster",0,24.184264027
18,175,"gallina","hen",0,26.495741468
18,176,"formica","ant",0,17.888339012
18,178,"farfalla","butterfly",0,21.28442479
18,179,"elefante","elephant",0,21.305925703
18,181,"coniglio","bunny",0,27.64368102
