"month","item","definition","uni_lemma","learned","value"
18,12,"기차","train",0,19
18,13,"배","boat",0,29
18,14,"버스","bus",0,27
18,15,"비행기","airplane",0,35
18,18,"오토바이","motorcycle",0,20
18,21,"차/자동차","car",0,27
18,23,"트럭","truck",0,21
18,25,"공","ball",1,30
18,31,"인형","doll",1,8
18,32,"장난감","toy",0,6
18,34,"책","book",0,2
18,36,"크레용/크레파스","crayon",0,19
18,38,"풍선","balloon",0,47
18,39,"개","dog",1,31
18,40,"개구리","frog",0,35
18,41,"개미","ant",0,22
18,42,"거북이","turtle",0,47
18,43,"거위","goose",0,47
18,44,"고양이","cat",0,29
18,45,"곰","bear",1,48
18,47,"기린","giraffe",0,38
18,48,"나비","butterfly",1,36
18,49,"다람쥐","squirrel",0,44
18,50,"닭","chicken",0,45
18,51,"당나귀","donkey",0,35
18,53,"돼지","pig",1,39
18,54,"말","horse",0,42
18,60,"부엉이","owl",0,33
18,62,"사슴","deer",0,44
18,63,"사자","lion",1,38
18,65,"소","cow",0,45
18,66,"송아지","calf",0,45
18,67,"악어","crocodile",0,52
18,68,"양","sheep",1,37
18,69,"여우","fox",0,44
18,70,"염소","goat",0,36
18,71,"오리","duck",1,38
18,73,"쥐","mouse",0,41
18,74,"참새","sparrow",1,36
18,75,"코끼리","elephant",0,37
18,77,"펭귄","penguin",0,42
18,79,"호랑이","tiger",1,41
18,80,"가방","bag",0,25
18,85,"목걸이","necklace",0,11
18,86,"바지","pants",1,39
18,87,"목도리","scarf",0,27
18,90,"옷/꼬까","dress",1,22
18,92,"잠바","jacket",0,20
18,93,"잠옷","pajamas",0,15
18,94,"장갑","gloves",0,8
18,96,"치마","skirt",0,22
18,102,"목욕탕","bathtub",0,32
18,103,"문","door",0,14
18,105,"베개","pillow",1,20
18,109,"소파","couch",0,47
18,110,"옷장","closet",0,18
18,112,"의자","chair",0,30
18,117,"침대","bed",0,14
18,122,"감자","potato",0,23
18,144,"바나나","banana",1,40
18,146,"배추","cabbage",0,35
18,147,"복숭아","peach",0,30
18,148,"빵","bread",1,34
18,149,"사과","apple",1,25
18,157,"쌀","rice",0,44
18,167,"치즈","cheese",1,35
18,169,"케이크","cake",0,16
18,171,"콩","beans",1,38
18,172,"토마토","tomato",0,29
18,210,"가위","scissors",0,22
18,212,"그릇","bowl",0,32
18,215,"라디오","radio",0,2
18,216,"망치","hammer",0,21
18,218,"병","bottle",0,22
18,220,"빗","comb",0,46
18,221,"빗자루","broom",0,26
18,222,"상자","box",0,42
18,224,"숟가락","spoon",0,20
18,225,"시계","clock",0,14
18,232,"우산","umbrella",0,49
18,234,"전화","telephone",1,17
18,235,"접시","plate",0,37
18,242,"칼","knife",0,19
18,243,"컵","cup",1,27
18,244,"포크","fork",0,18
18,255,"돌","stone",0,34
19,12,"기차","train",0,19
19,13,"배","boat",0,29
19,14,"버스","bus",0,27
19,15,"비행기","airplane",0,35
19,18,"오토바이","motorcycle",0,20
19,21,"차/자동차","car",1,27
19,23,"트럭","truck",0,21
19,32,"장난감","toy",0,6
19,34,"책","book",1,2
19,36,"크레용/크레파스","crayon",0,19
19,38,"풍선","balloon",1,47
19,40,"개구리","frog",0,35
19,41,"개미","ant",0,22
19,42,"거북이","turtle",0,47
19,43,"거위","goose",0,47
19,44,"고양이","cat",0,29
19,47,"기린","giraffe",0,38
19,49,"다람쥐","squirrel",0,44
19,50,"닭","chicken",0,45
19,51,"당나귀","donkey",0,35
19,54,"말","horse",0,42
19,60,"부엉이","owl",0,33
19,62,"사슴","deer",0,44
19,65,"소","cow",0,45
19,66,"송아지","calf",0,45
19,67,"악어","crocodile",0,52
19,69,"여우","fox",0,44
19,70,"염소","goat",0,36
19,73,"쥐","mouse",0,41
19,75,"코끼리","elephant",0,37
19,77,"펭귄","penguin",0,42
19,80,"가방","bag",0,25
19,85,"목걸이","necklace",0,11
19,87,"목도리","scarf",0,27
19,92,"잠바","jacket",0,20
19,93,"잠옷","pajamas",0,15
19,94,"장갑","gloves",0,8
19,96,"치마","skirt",0,22
