"month","item","definition","uni_lemma","learned","value"
18,12,"기차","train",0,2
18,13,"배","boat",0,2
18,14,"버스","bus",0,3
18,15,"비행기","airplane",0,0
18,18,"오토바이","motorcycle",0,1
18,20,"자전거","bicycle",0,1
18,21,"차/자동차","car",0,10
18,23,"트럭","truck",0,2
18,25,"공","ball",1,5
18,27,"블록","block",0,1
18,29,"선물","present",0,1
18,31,"인형","doll",1,1
18,33,"종이","paper",0,8
18,34,"책","book",0,2
18,38,"풍선","balloon",0,0
18,39,"개","dog",1,8
18,40,"개구리","frog",0,0
18,41,"개미","ant",0,1
18,42,"거북이","turtle",0,0
18,43,"거위","goose",0,1
18,44,"고양이","cat",0,8
18,45,"곰","bear",1,2
18,47,"기린","giraffe",0,1
18,48,"나비","butterfly",1,0
18,49,"다람쥐","squirrel",0,1
18,51,"당나귀","donkey",0,1
18,52,"동물","animal",0,26
18,53,"돼지","pig",1,2
18,54,"말","horse",0,3
18,56,"뱀","snake",0,0
18,57,"벌","bee",0,1
18,58,"벌레","bug",0,3
18,59,"병아리","chick",0,0
18,60,"부엉이","owl",0,0
18,62,"사슴","deer",0,0
18,63,"사자","lion",1,3
18,64,"새","bird",1,11
18,65,"소","cow",0,7
18,66,"송아지","calf",0,2
18,67,"악어","crocodile",0,0
18,68,"양","sheep",1,1
18,69,"여우","fox",0,0
18,70,"염소","goat",0,1
18,71,"오리","duck",1,2
18,72,"원숭이","monkey",0,2
18,73,"쥐","mouse",0,4
18,74,"참새","sparrow",1,0
18,75,"코끼리","elephant",0,2
18,77,"펭귄","penguin",0,0
18,79,"호랑이","tiger",1,2
18,80,"가방","bag",0,2
18,82,"기저귀","diaper",1,0
18,83,"단추","button",1,0
18,84,"모자","hat",1,5
18,85,"목걸이","necklace",0,1
18,86,"바지","pants",1,4
18,87,"목도리","scarf",0,1
18,88,"신/신발","shoe",1,4
18,89,"양말","sock",1,1
18,90,"옷/꼬까","dress",1,5
18,92,"잠바","jacket",0,2
18,93,"잠옷","pajamas",0,0
18,94,"장갑","gloves",0,0
18,96,"치마","skirt",0,2
18,100,"계단","stairs",0,0
18,101,"냉장고","refrigerator",0,0
18,102,"목욕탕","bathtub",0,1
18,103,"문","door",0,5
18,104,"방","room",0,5
18,105,"베개","pillow",1,2
18,106,"부엌","kitchen",0,0
18,107,"서랍","drawer",0,1
18,109,"소파","couch",0,1
18,110,"옷장","closet",0,3
18,111,"유리","glass",0,4
18,112,"의자","chair",0,4
18,113,"이불","blanket",0,2
18,116,"창문","window",0,2
18,117,"침대","bed",0,6
18,120,"화장실","bathroom",0,3
18,122,"감자","potato",0,4
18,123,"계란/달걀","egg",0,3
