"month","item","definition","uni_lemma","learned","value"
18,12,"기차","train",0,2
18,13,"배","boat",0,0
18,14,"버스","bus",0,1
18,15,"비행기","airplane",0,5
18,18,"오토바이","motorcycle",0,2
18,20,"자전거","bicycle",0,2
18,21,"차/자동차","car",0,7
18,23,"트럭","truck",0,2
18,25,"공","ball",1,0
18,27,"블록","block",0,2
18,29,"선물","present",0,1
18,31,"인형","doll",1,3
18,33,"종이","paper",0,3
18,34,"책","book",0,2
18,38,"풍선","balloon",0,2
18,39,"개","dog",1,2
18,40,"개구리","frog",0,1
18,41,"개미","ant",0,3
18,42,"거북이","turtle",0,4
18,43,"거위","goose",0,5
18,44,"고양이","cat",0,2
18,45,"곰","bear",1,5
18,47,"기린","giraffe",0,3
18,48,"나비","butterfly",1,4
18,49,"다람쥐","squirrel",0,2
18,51,"당나귀","donkey",0,3
18,52,"동물","animal",0,7
18,53,"돼지","pig",1,3
18,54,"말","horse",0,6
18,56,"뱀","snake",0,2
18,57,"벌","bee",0,0
18,58,"벌레","bug",0,1
18,59,"병아리","chick",0,3
18,60,"부엉이","owl",0,3
18,62,"사슴","deer",0,2
18,63,"사자","lion",1,4
18,64,"새","bird",1,4
18,65,"소","cow",0,5
18,66,"송아지","calf",0,3
18,67,"악어","crocodile",0,1
18,68,"양","sheep",1,4
18,69,"여우","fox",0,3
18,70,"염소","goat",0,5
18,71,"오리","duck",1,4
18,72,"원숭이","monkey",0,4
18,73,"쥐","mouse",0,2
18,74,"참새","sparrow",1,1
18,75,"코끼리","elephant",0,5
18,77,"펭귄","penguin",0,3
18,79,"호랑이","tiger",1,4
18,80,"가방","bag",0,4
18,82,"기저귀","diaper",1,1
18,83,"단추","button",1,5
18,84,"모자","hat",1,6
18,85,"목걸이","necklace",0,1
18,86,"바지","pants",1,2
18,87,"목도리","scarf",0,5
18,88,"신/신발","shoe",1,3
18,89,"양말","sock",1,2
18,90,"옷/꼬까","dress",1,2
18,92,"잠바","jacket",0,2
18,93,"잠옷","pajamas",0,1
18,94,"장갑","gloves",0,2
18,96,"치마","skirt",0,2
18,100,"계단","stairs",0,1
18,101,"냉장고","refrigerator",0,1
18,102,"목욕탕","bathtub",0,2
18,103,"문","door",0,2
18,104,"방","room",0,3
18,105,"베개","pillow",1,3
18,106,"부엌","kitchen",0,5
18,107,"서랍","drawer",0,1
18,109,"소파","couch",0,3
18,110,"옷장","closet",0,3
18,111,"유리","glass",0,5
18,112,"의자","chair",0,4
18,113,"이불","blanket",0,2
18,116,"창문","window",0,2
18,117,"침대","bed",0,3
18,120,"화장실","bathroom",0,3
18,122,"감자","potato",0,5
18,123,"계란/달걀","egg",0,1
18,125,"고기","meat",1,3
18,126,"과일","fruit",0,6
18,127,"과자/까까","cracker",1,5
18,128,"국","soup",0,6
18,129,"국수","noodles",0,5
18,138,"땅콩","peanut",0,1
18,144,"바나나","banana",1,3
18,146,"배추","cabbage",0,3
18,147,"복숭아","peach",0,3
18,148,"빵","bread",1,3
18,149,"사과","apple",1,5
18,151,"사탕","candy",1,3
18,153,"설탕","sugar",0,2
18,156,"스파게티","spaghetti",0,3
18,157,"쌀","rice",0,3
18,158,"아이스크림","ice cream",1,5
18,162,"요구르트","yogurt",0,5
18,163,"우유","milk",1,5
18,164,"음식","food",0,3
18,165,"주스","juice",0,3
18,166,"초콜렛","chocolate",0,4
18,167,"치즈","cheese",1,5
18,168,"커피","coffee",0,3
18,169,"케이크","cake",0,3
18,171,"콩","beans",1,3
18,172,"토마토","tomato",0,5
18,174,"피자","pizza",0,2
18,180,"귀","ear",1,3
18,181,"눈","eye",1,4
18,182,"다리","leg",1,3
18,183,"등","back",0,1
18,185,"머리","head",1,4
18,186,"머리카락","hair",0,2
18,187,"목","neck",0,5
18,189,"무릎","knee",0,4
18,190,"발","foot",1,4
18,195,"뺨","cheek",0,2
18,196,"손","hand",1,5
18,197,"손가락","finger",0,3
18,199,"얼굴","face",0,4
18,201,"이/이빨","tooth",0,1
18,202,"입","mouth",0,4
18,204,"코","nose",1,4
18,206,"팔","arm",0,4
18,209,"혀","tongue",0,2
18,210,"가위","scissors",0,2
18,211,"걸레","rag",0,2
18,212,"그릇","bowl",0,7
18,213,"그림","picture",0,1
18,214,"돈","money",0,0
18,215,"라디오","radio",0,1
18,216,"망치","hammer",0,1
18,218,"병","bottle",0,2
18,219,"비누","soap",0,0
18,221,"빗자루","broom",0,2
18,222,"상자","box",0,4
18,223,"수건","towel",0,4
18,224,"숟가락","spoon",0,5
18,225,"시계","clock",0,1
18,226,"쓰레기","trash",0,2
18,228,"안경","glasses",0,2
18,229,"약","medicine",1,2
18,230,"열쇠","keys",0,2
18,232,"우산","umbrella",0,1
18,234,"전화","telephone",1,1
18,235,"접시","plate",0,6
18,237,"지갑","purse",0,1
18,238,"청소기","vacuum",0,1
18,241,"카메라","camera",0,2
18,242,"칼","knife",0,2
18,243,"컵","cup",1,5
18,244,"포크","fork",0,3
18,245,"휴지","tissue",1,2
18,246,"구름","cloud",0,2
18,248,"길","street",0,2
18,250,"꽃","flower",1,3
18,251,"나무","tree",1,3
18,252,"눈","snow",0,2
18,254,"달","moon",1,3
18,255,"돌","stone",0,1
18,256,"땅","ground",0,3
18,257,"모래","sand",0,0
18,259,"바람","wind",0,2
18,261,"별","star",0,3
18,262,"불","fire",0,2
18,263,"비","rain",0,5
18,264,"사다리","ladder",0,1
18,267,"지붕","roof",0,1
18,268,"풀","grass",0,1
18,269,"하늘","sky",0,4
18,270,"해/햇빛","sun",1,2
19,12,"기차","train",0,2
19,13,"배","boat",0,0
19,14,"버스","bus",0,1
19,15,"비행기","airplane",0,5
19,18,"오토바이","motorcycle",0,2
19,20,"자전거","bicycle",0,2
19,21,"차/자동차","car",1,7
19,23,"트럭","truck",0,2
19,27,"블록","block",0,2
19,29,"선물","present",0,1
19,33,"종이","paper",0,3
19,34,"책","book",1,2
19,38,"풍선","balloon",1,2
19,40,"개구리","frog",0,1
19,41,"개미","ant",0,3
19,42,"거북이","turtle",0,4
19,43,"거위","goose",0,5
19,44,"고양이","cat",0,2
19,47,"기린","giraffe",0,3
19,49,"다람쥐","squirrel",0,2
19,51,"당나귀","donkey",0,3
19,52,"동물","animal",0,7
19,54,"말","horse",0,6
19,56,"뱀","snake",0,2
19,57,"벌","bee",0,0
19,58,"벌레","bug",0,1
19,59,"병아리","chick",0,3
19,60,"부엉이","owl",0,3
19,62,"사슴","deer",0,2
19,65,"소","cow",0,5
19,66,"송아지","calf",0,3
19,67,"악어","crocodile",0,1
19,69,"여우","fox",0,3
19,70,"염소","goat",0,5
19,72,"원숭이","monkey",0,4
19,73,"쥐","mouse",0,2
19,75,"코끼리","elephant",0,5
19,77,"펭귄","penguin",0,3
19,80,"가방","bag",0,4
19,85,"목걸이","necklace",0,1
19,87,"목도리","scarf",0,5
19,92,"잠바","jacket",0,2
19,93,"잠옷","pajamas",0,1
19,94,"장갑","gloves",0,2
19,96,"치마","skirt",0,2
19,100,"계단","stairs",0,1
19,101,"냉장고","refrigerator",0,1
19,102,"목욕탕","bathtub",0,2
19,103,"문","door",0,2
19,104,"방","room",0,3
19,106,"부엌","kitchen",0,5
19,107,"서랍","drawer",0,1
19,109,"소파","couch",0,3
19,110,"옷장","closet",0,3
19,111,"유리","glass",0,5
19,112,"의자","chair",0,4
19,113,"이불","blanket",0,2
19,116,"창문","window",0,2
