"month","item","definition","uni_lemma","learned","value"
18,12,"기차","train",0,27.051190782
18,13,"배","boat",0,35.092814581
18,14,"버스","bus",0,27.466705666
18,15,"비행기","airplane",0,27.002272764
18,16,"불자동차/소방차","firetruck",0,29.244096875
18,18,"오토바이","motorcycle",0,31.13072317
18,19,"유모차","stroller",0,34.541433075
18,20,"자전거","bicycle",0,24.891481363
18,21,"차/자동차","car",0,33.065826705
18,23,"트럭","truck",0,24.287651271
18,25,"공","ball",1,29.982398967
18,27,"블록","block",0,24.23095072
18,28,"비누방울","bubbles",0,16.039766965
18,29,"선물","present",0,27.576406545
18,31,"인형","doll",1,23.3028966
18,33,"종이","paper",0,30.4815178
18,34,"책","book",0,30.664252624
18,36,"크레용/크레파스","crayon",0,30.301366317
18,38,"풍선","balloon",0,29.011353585
18,39,"개","dog",1,28.977145671
18,40,"개구리","frog",0,30.510683398
18,41,"개미","ant",0,17.643240172
18,42,"거북이","turtle",0,25.660459128
18,43,"거위","goose",0,20.338371997
18,44,"고양이","cat",0,25.865098434
18,45,"곰","bear",1,20.821356762
18,47,"기린","giraffe",0,25.208555903
18,48,"나비","butterfly",1,22.930398087
18,49,"다람쥐","squirrel",0,27.282632792
18,51,"당나귀","donkey",0,20.487276162
18,52,"동물","animal",0,16.61526022
18,53,"돼지","pig",1,23.25365209
18,54,"말","horse",0,31.644591558
18,57,"벌","bee",0,20.474269011
18,58,"벌레","bug",0,27.173213416
18,60,"부엉이","owl",0,21.001791963
18,62,"사슴","deer",0,19.114536521
18,63,"사자","lion",1,30.589025719
18,64,"새","bird",1,23.876241457
18,65,"소","cow",0,28.774520213
18,68,"양","sheep",1,22.204652404
18,71,"오리","duck",1,23.146530554
18,72,"원숭이","monkey",0,27.059840849
18,73,"쥐","mouse",0,24.301755613
18,75,"코끼리","elephant",0,22.346366362
18,77,"펭귄","penguin",0,24.51931393
18,79,"호랑이","tiger",1,25.102262326
18,82,"기저귀","diaper",1,28.567394464
18,83,"단추","button",1,26.084037352
18,84,"모자","hat",1,30.570468384
18,85,"목걸이","necklace",0,32.124492944
18,86,"바지","pants",1,25.208116551
18,87,"목도리","scarf",0,34.020998877
18,88,"신/신발","shoe",1,27.684818177
18,89,"양말","sock",1,28.552715879
18,92,"잠바","jacket",0,32.831936329
18,93,"잠옷","pajamas",0,25.882491079
18,94,"장갑","gloves",0,18.51323681
18,98,"팬티","underpants",1,16.938311676
18,100,"계단","stairs",0,21.660785094
18,101,"냉장고","refrigerator",0,40.89301249
18,102,"목욕탕","bathtub",0,35.966130615
18,103,"문","door",0,28.198934349
18,104,"방","room",0,29.103451042
18,105,"베개","pillow",1,34.094024281
18,106,"부엌","kitchen",0,33.710182648
18,107,"서랍","drawer",0,30.898929349
18,108,"세탁기","washing machine",0,15.331791723
18,109,"소파","couch",0,35.509489257
18,110,"옷장","closet",0,31.523613012
18,111,"유리","glass",0,29.490046301
18,112,"의자","chair",0,34.705395049
18,113,"이불","blanket",0,36.75171765
18,116,"창문","window",0,33.314271068
18,117,"침대","bed",0,32.113205413
18,120,"화장실","bathroom",0,33.158556974
18,122,"감자","potato",0,8.575391844
18,123,"계란/달걀","egg",0,25.152949016
18,125,"고기","meat",1,17.19772632
18,127,"과자/까까","cracker",1,22.663904624
18,128,"국","soup",0,14.51169307
18,144,"바나나","banana",1,19.861167035
18,148,"빵","bread",1,19.954701816
18,149,"사과","apple",1,14.139549797
18,151,"사탕","candy",1,17.604719226
18,158,"아이스크림","ice cream",1,11.958586658
18,162,"요구르트","yogurt",0,21.002575349
18,163,"우유","milk",1,18.84746601
18,164,"음식","food",0,21.733246645
18,165,"주스","juice",0,16.342762959
18,166,"초콜렛","chocolate",0,8.656261743
18,167,"치즈","cheese",1,15.312477959
18,168,"커피","coffee",0,18.698885565
18,169,"케이크","cake",0,20.610963005
18,171,"콩","beans",1,12.424915824
18,173,"포도","grapes",1,13.636937819
18,174,"피자","pizza",0,17.987009035
18,179,"고추","penis",0,35.090361991
18,180,"귀","ear",1,25.740990867
18,181,"눈","eye",1,28.460053944
18,182,"다리","leg",1,33.845040839
18,185,"머리","head",1,34.108479261
18,186,"머리카락","hair",0,28.203128578
18,189,"무릎","knee",0,25.332428361
18,190,"발","foot",1,31.240604712
18,193,"배","tummy",1,31.423256916
18,194,"배꼽","belly button",1,27.918182547
18,195,"뺨","cheek",0,26.337341632
18,196,"손","hand",1,33.567407664
18,197,"손가락","finger",0,28.678875437
18,199,"얼굴","face",0,33.452784692
18,201,"이/이빨","tooth",0,27.234735709
18,202,"입","mouth",0,32.665372175
18,204,"코","nose",1,29.928248382
18,205,"턱","chin",0,25.834335877
18,206,"팔","arm",0,32.454768756
18,209,"혀","tongue",0,31.189948178
18,210,"가위","scissors",0,25.385351299
18,212,"그릇","bowl",0,34.642196171
18,213,"그림","picture",0,30.431097911
18,214,"돈","money",0,21.734813035
18,215,"라디오","radio",0,33.908247838
18,216,"망치","hammer",0,22.78524312
18,218,"병","bottle",0,29.337665374
18,219,"비누","soap",0,24.602445952
18,221,"빗자루","broom",0,28.43488094
18,222,"상자","box",0,30.019644423
18,223,"수건","towel",0,28.11363735
18,224,"숟가락","spoon",0,35.947444071
18,225,"시계","clock",0,21.833366244
18,226,"쓰레기","trash",0,24.253395106
18,228,"안경","glasses",0,26.952002969
18,229,"약","medicine",1,20.349791484
18,230,"열쇠","keys",0,24.066682473
18,234,"전화","telephone",1,27.585590234
18,235,"접시","plate",0,38.161495505
18,237,"지갑","purse",0,31.630486271
18,238,"청소기","vacuum",0,15.954145763
18,240,"칫솔","toothbrush",0,33.422261023
18,241,"카메라","camera",0,26.257102325
18,242,"칼","knife",0,32.114700962
18,243,"컵","cup",1,33.23391606
18,244,"포크","fork",0,32.992289145
18,245,"휴지","tissue",1,26.699382543
18,246,"구름","cloud",0,24.587667992
18,248,"길","street",0,26.128446078
18,250,"꽃","flower",1,24.19183917
18,251,"나무","tree",1,29.136255502
18,252,"눈","snow",0,20.673192443
18,254,"달","moon",1,25.812947712
18,255,"돌","stone",0,21.430908385
18,259,"바람","wind",0,20.679294402
18,261,"별","star",0,20.461143058
18,263,"비","rain",0,17.142513252
18,264,"사다리","ladder",0,28.820430663
18,267,"지붕","roof",0,30.999334144
18,268,"풀","grass",0,23.40571911
18,269,"하늘","sky",0,27.505668382
18,270,"해/햇빛","sun",1,24.339559883
19,12,"기차","train",0,27.051190782
19,13,"배","boat",0,35.092814581
19,14,"버스","bus",0,27.466705666
19,15,"비행기","airplane",0,27.002272764
19,16,"불자동차/소방차","firetruck",0,29.244096875
19,18,"오토바이","motorcycle",0,31.13072317
19,19,"유모차","stroller",0,34.541433075
19,20,"자전거","bicycle",0,24.891481363
19,21,"차/자동차","car",1,33.065826705
19,23,"트럭","truck",0,24.287651271
19,27,"블록","block",0,24.23095072
19,28,"비누방울","bubbles",0,16.039766965
19,29,"선물","present",0,27.576406545
19,33,"종이","paper",0,30.4815178
19,34,"책","book",1,30.664252624
19,36,"크레용/크레파스","crayon",0,30.301366317
19,38,"풍선","balloon",1,29.011353585
19,40,"개구리","frog",0,30.510683398
19,41,"개미","ant",0,17.643240172
19,42,"거북이","turtle",0,25.660459128
19,43,"거위","goose",0,20.338371997
19,44,"고양이","cat",0,25.865098434
19,47,"기린","giraffe",0,25.208555903
19,49,"다람쥐","squirrel",0,27.282632792
19,51,"당나귀","donkey",0,20.487276162
19,52,"동물","animal",0,16.61526022
19,54,"말","horse",0,31.644591558
19,57,"벌","bee",0,20.474269011
19,58,"벌레","bug",0,27.173213416
19,60,"부엉이","owl",0,21.001791963
19,62,"사슴","deer",0,19.114536521
19,65,"소","cow",0,28.774520213
19,72,"원숭이","monkey",0,27.059840849
19,73,"쥐","mouse",0,24.301755613
19,75,"코끼리","elephant",0,22.346366362
19,77,"펭귄","penguin",0,24.51931393
19,85,"목걸이","necklace",0,32.124492944
19,87,"목도리","scarf",0,34.020998877
19,92,"잠바","jacket",0,32.831936329
19,93,"잠옷","pajamas",0,25.882491079
19,94,"장갑","gloves",0,18.51323681
19,100,"계단","stairs",0,21.660785094
19,101,"냉장고","refrigerator",0,40.89301249
19,102,"목욕탕","bathtub",0,35.966130615
19,103,"문","door",0,28.198934349
19,104,"방","room",0,29.103451042
19,106,"부엌","kitchen",0,33.710182648
19,107,"서랍","drawer",0,30.898929349
19,108,"세탁기","washing machine",0,15.331791723
19,109,"소파","couch",0,35.509489257
19,110,"옷장","closet",0,31.523613012
19,111,"유리","glass",0,29.490046301
19,112,"의자","chair",0,34.705395049
19,113,"이불","blanket",0,36.75171765
19,116,"창문","window",0,33.314271068
19,117,"침대","bed",0,32.113205413
19,120,"화장실","bathroom",0,33.158556974
19,122,"감자","potato",0,8.575391844
19,123,"계란/달걀","egg",0,25.152949016
19,128,"국","soup",0,14.51169307
19,162,"요구르트","yogurt",0,21.002575349
19,164,"음식","food",0,21.733246645
19,165,"주스","juice",0,16.342762959
19,166,"초콜렛","chocolate",0,8.656261743
19,168,"커피","coffee",0,18.698885565
19,169,"케이크","cake",0,20.610963005
19,174,"피자","pizza",0,17.987009035
19,179,"고추","penis",0,35.090361991
19,186,"머리카락","hair",0,28.203128578
19,189,"무릎","knee",0,25.332428361
19,195,"뺨","cheek",0,26.337341632
19,197,"손가락","finger",0,28.678875437
19,199,"얼굴","face",0,33.452784692
19,201,"이/이빨","tooth",0,27.234735709
19,202,"입","mouth",0,32.665372175
19,205,"턱","chin",0,25.834335877
19,206,"팔","arm",0,32.454768756
19,209,"혀","tongue",0,31.189948178
19,210,"가위","scissors",0,25.385351299
19,212,"그릇","bowl",0,34.642196171
19,213,"그림","picture",0,30.431097911
19,214,"돈","money",0,21.734813035
19,215,"라디오","radio",0,33.908247838
19,216,"망치","hammer",0,22.78524312
19,218,"병","bottle",0,29.337665374
19,219,"비누","soap",0,24.602445952
19,221,"빗자루","broom",0,28.43488094
19,222,"상자","box",0,30.019644423
19,223,"수건","towel",0,28.11363735
19,224,"숟가락","spoon",0,35.947444071
19,225,"시계","clock",0,21.833366244
19,226,"쓰레기","trash",0,24.253395106
19,228,"안경","glasses",0,26.952002969
19,230,"열쇠","keys",0,24.066682473
19,235,"접시","plate",0,38.161495505
19,237,"지갑","purse",0,31.630486271
19,238,"청소기","vacuum",0,15.954145763
19,240,"칫솔","toothbrush",0,33.422261023
19,241,"카메라","camera",0,26.257102325
19,242,"칼","knife",0,32.114700962
19,244,"포크","fork",0,32.992289145
19,246,"구름","cloud",0,24.587667992
19,248,"길","street",0,26.128446078
19,252,"눈","snow",0,20.673192443
19,255,"돌","stone",0,21.430908385
19,259,"바람","wind",0,20.679294402
19,261,"별","star",0,20.461143058
19,263,"비","rain",0,17.142513252
19,264,"사다리","ladder",0,28.820430663
19,267,"지붕","roof",0,30.999334144
19,268,"풀","grass",0,23.40571911
19,269,"하늘","sky",0,27.505668382
20,12,"기차","train",0,27.051190782
20,13,"배","boat",0,35.092814581
20,14,"버스","bus",1,27.466705666
20,15,"비행기","airplane",0,27.002272764
20,16,"불자동차/소방차","firetruck",0,29.244096875
20,18,"오토바이","motorcycle",1,31.13072317
20,19,"유모차","stroller",1,34.541433075
20,20,"자전거","bicycle",1,24.891481363
20,23,"트럭","truck",0,24.287651271
20,27,"블록","block",0,24.23095072
20,28,"비누방울","bubbles",0,16.039766965
20,29,"선물","present",0,27.576406545
20,33,"종이","paper",0,30.4815178
