"item","definition","uni_lemma","type","IPA"
1,"au","ouch","word"," ˈaʊ"
2,"bææ","baa baa","word"," bˈɛːɛː"
3,"brrr","vroom","word"," bˌeːˌɛːrˌɛːrˈɛːr"
4,"gakk gakk","quack quack","word"," ɡˈɑkː ɡˈɑkː"
5,"grr","grrr","word"," ɡˌeːˌɛːrˈɛːr"
6,"kykeliky","cockadoodledoo","word"," xˈyːkeːlˌiːxyː"
7,"mjau","meow","word"," mjˈaʊ"
8,"møø","moo","word"," mˈøːøː"
9,"nam - nam","yum yum","word"," nˈam nˈam"
11,"tøff-tøff","choo choo","word"," tˈœfftˈœff"
12,"voff voff","woof woof","word"," vˈɔff vˈɔff"
13,"(meite)mark","worm","word"," mˈaɪta mˈɑrk"
14,"and","duck","word"," ˈand"
15,"apekatt","monkey","word"," ˈapeːkˌɑtː"
16,"bjørn","bear","word"," bjˈœrn"
17,"dyr","animal","word"," dˈyːr"
18,"ekorn","squirrel","word"," ˈeːkɔrn"
19,"elefant","elephant","word"," ˈeːleːfˌɑnt"
20,"elg","moose","word"," ˈɛlɡ"
22,"fisk","fish (animal)","word"," fˈɪsk"
23,"flue","fly (animal)","word"," flˈʉːa"
24,"frosk","frog","word"," frˈɔsk"
25,"fugl","bird","word"," fˈʉɡl"
26,"gås","goose","word"," ɡˈoːs"
27,"gris","pig","word"," ɡrˈiːs"
29,"hest","horse","word"," hˈɛst"
31,"hund","dog","word"," hˈʉnn"
32,"kanin","bunny","word"," kˈaniːn"
33,"katt","cat","word"," kˈɑtː"
34,"kattunge","kitty","word"," kˈɑtːʉŋa"
36,"ku","cow","word"," kˈʉː"
37,"kylling","chicken (animal)","word"," xˈyllɪŋ"
38,"lam","lamb","word"," lˈam"
39,"(leke)bamse","teddybear","word"," lˈeːka bˈɑmsa"
40,"løve","lion","word"," lˈøːva"
42,"mus","mouse","word"," mˈʉːs"
44,"pingvin","penguin","word"," pˈɪŋviːn"
46,"reinsdyr","deer","word"," rˈaɪnsdyːr"
47,"sau","sheep","word"," sˈaʊ"
49,"sjiraff","giraffe","word"," ʃˈiːrɑff"
50,"skilpadde","turtle","word"," ʃˈɪlpɑdːa"
51,"sommerfugl","butterfly","word"," sˈɔmmarfˌʉɡl"
52,"tiger","tiger","word"," tˈiːɡər"
53,"ugle","owl","word"," ˈʉɡla"
55,"valp","puppy","word"," vˈɑlp"
56,"veps","bee","word"," vˈɛps"
58,"barnevogn","stroller","word"," bˈɑrneːvˌɔŋn"
59,"bil","car","word"," bˈiːl"
60,"brannbil","firetruck","word"," brˈɑnbiːl"
62,"buss","bus","word"," bˈʉs"
63,"fly","airplane","word"," flˈyː"
64,"helikopter","helicopter","word"," hˈeːliːkˌɔptər"
65,"lastebil","truck","word"," lˈɑsteːbˌiːl"
66,"motorsykkel","motorcycle","word"," mˈuːtɔrʃˌykːəl"
67,"sykkel","bicycle","word"," sˈykːəl"
68,"tog","train","word"," tˈuːɡ"
69,"traktor","tractor","word"," trˈɑktuːr"
71,"ball","ball","word"," bˈɑl"
72,"ballong","balloon","word"," bˈɑllɔŋ"
73,"blyant","pen/pencil","word"," blˈyːɑnt"
74,"bok","book","word"," bˈuːk"
75,"klosser","block","word"," klˈɔssər"
76,"dukke","doll","word"," dˈʉkːa"
79,"fargeblyant","pen/pencil","word"," fˈɑrɡəblˌyːɑnt"
82,"leke","toy (object)","word"," lˈeːka"
88,"såpebobler","bubbles","word"," sˈoːpeːbˌɔblər"
91,"appelsin","orange (food)","word"," ˈɑpːəlsˌiːn"
92,"banan","banana","word"," bˈanan"
93,"boller","bun","word"," bˈɔllər"
95,"brød","bread","word"," brˈøːd"
98,"corn flakes","cheerios","word"," kˈɔrn flˈakəs"
100,"drikke","drink (beverage)","word"," drˈɪkːa"
102,"egg","egg","word"," ˈɛɡː"
103,"eple","apple","word"," ˈɛpla"
105,"fisk","fish (food)","word"," fˈɪsk"
106,"frokostblanding","cereal","word"," frˈuːkʊstblˌɑnnɪŋ"
110,"gulrot","carrots","word"," ɡˈʉlruːt"
112,"is","ice cream","word"," ˈiːs"
114,"juice","juice","word"," jˈʉɪka"
115,"kaffe","coffee","word"," kˈɑffa"
116,"kake","cake","word"," kˈaka"
117,"kjeks","cracker","word"," xˈɛks"
118,"kjøtt","meat","word"," xˈœtː"
121,"kylling","chicken (food)","word"," xˈyllɪŋ"
123,"mat","food","word"," mˈat"
125,"melk","milk","word"," mˈɛlk"
129,"ost","cheese","word"," ˈʊst"
131,"pasta","pasta","word"," pˈɑstɑ"
132,"pizza","pizza","word"," pˈɪzɑ"
140,"rosiner","raisin","word"," rˈuːsiːnər"
146,"smør","butter","word"," smˈøːr"
147,"spagetti","pasta","word"," spˈaɡətːˌiː"
148,"sukkertøy","candy","word"," sˈʉkːartˌøy"
155,"vann","water (beverage)","word"," vˈɑn"
158,"bleie","diaper","word"," blˈaɪa"
159,"bukse","pants","word"," bˈʉksa"
161,"genser","sweater","word"," ɡˈɛnsər"
162,"glidelås","zipper","word"," ɡlˈiːdeːlˌoːs"
163,"halskjede","necklace","word"," hˈɑlʃeːda"
165,"jakke","jacket","word"," jˈɑkːa"
167,"kjole","dress (object)","word"," xˈuːla"
168,"knapper","button","word"," knˈɑpːər"
169,"lue","hat","word"," lˈʉːa"
170,"pysjamas","pajamas","word"," pˈyʃamˌas"
171,"regntøy","coat","word"," rˈɛŋntøy"
173,"shorts","shorts","word"," shˈʊrts"
174,"skjerf","scarf","word"," ʃˈarf"
176,"sko","shoe","word"," skˈuː"
177,"smekke","bib","word"," smˈɛkːa"
178,"smokk","pacifier","word"," smˈɔkː"
179,"sokker","sock","word"," sˈɔkːər"
180,"støvler","boots","word"," stˈœvlər"
181,"strømpebukse","tights","word"," strˈœmpeːbˌʉksa"
183,"t-skjorte","t-shirt","word"," tˈeːʃˈʊrta"
186,"votter","mittens","word"," vˈɔtːər"
188,"ansikt","face","word"," ˈɑnsɪkt"
189,"arm","arm","word"," ˈɑrm"
190,"bein","leg","word"," bəˈiːn"
191,"finger","finger","word"," fˈɪŋər"
192,"fot","foot","word"," fˈuːt"
194,"hånd","hand","word"," hˈɔnn"
195,"hår","hair","word"," hˈoːr"
196,"hode","head","word"," hˈuːda"
197,"kinn","cheek","word"," xˈɪn"
198,"kne","knee","word"," knˈeː"
200,"mage","tummy","word"," mˈaɡa"
201,"munn","mouth","word"," mˈʉn"
202,"navle","belly button","word"," nˈɑvla"
203,"nese","nose","word"," nˈeːsa"
204,"øre","ear","word"," ˈøːra"
205,"øye","eye","word"," ˈøya"
210,"tenner","tooth","word"," tˈɛnnər"
211,"tiss","penis","word"," tˈɪs"
212,"tunge","tongue","word"," tˈʉŋa"
213,"tå","toe","word"," tˈoː"
214,"bilde","picture","word"," bˈɪlla"
216,"børste","brush (object)","word"," bˈœrʃta"
219,"briller","glasses","word"," brˈɪllər"
221,"dyne","blanket","word"," dˈyːna"
222,"eske","box","word"," ˈɛska"
224,"flaske","bottle","word"," flˈɑska"
226,"gaffel","fork","word"," ɡˈɑffəl"
227,"glass","glass","word"," ɡlˈɑs"
228,"hammer","hammer","word"," hˈɑmmər"
229,"håndkle","towel","word"," hˈɔnnkla"
230,"kam","comb (object)","word"," kˈam"
234,"klokke","clock","word"," klˈɔkːa"
235,"kniv","knife","word"," knˈiːv"
