"month","item","definition","uni_lemma","learned","value"
20,38,"бабочка","butterfly",0,47
20,39,"баран","sheep",0,47
20,41,"белка","squirrel",0,57
20,43,"воробей","sparrow",0,41
20,44,"ворона","crow",0,39
20,45,"голубь","pigeon",0,30
20,46,"гусь","goose",0,58
20,48,"жираф","giraffe",0,53
20,53,"коза","goat",0,42
20,56,"корова","cow",0,57
20,57,"кошка","cat",0,33
20,58,"крокодил","alligator",0,53
20,59,"курица (animal)","chicken",0,57
20,60,"лев","lion",0,41
20,61,"лиса","fox",0,53
20,62,"лошадь","horse",0,48
20,63,"лягушка","frog",0,42
20,64,"медведь","bear",0,60
20,66,"мышка","mouse",0,49
20,68,"овечка","sheep",0,47
20,69,"ослик","donkey",0,44
20,70,"петух","rooster",0,53
20,74,"свинка","pig",0,52
20,75,"слон","elephant",0,43
20,76,"собака","dog",0,33
20,77,"сова","owl",0,39
20,78,"тигр","tiger",0,48
20,79,"утка","duck",0,47
20,81,"черепаха","turtle",0,60
20,82,"автобус","bus",0,33
20,84,"вертолет","helicopter",0,31
20,85,"грузовик","truck",0,23
20,87,"кораблик","boat",0,39
20,88,"машина","car",0,32
20,90,"поезд","train",0,32
20,92,"самолет","airplane",0,49
20,93,"санки","sled",0,58
20,94,"трактор","tractor",0,56
20,96,"ведро","bucket",0,46
20,97,"грабли","rake",0,49
20,98,"игрушка","toy",0,4
20,100,"кисточка","brush",0,36
20,102,"книга","book",0,1
20,105,"кукла","doll",0,10
20,106,"лопатка","shovel",0,27
20,108,"мяч","ball",1,41
20,112,"совок","spade",0,37
20,117,"шарик","balloon",0,65
20,121,"банан","banana",0,58
20,128,"груша","pear",0,48
20,129,"горох","peas",0,49
20,132,"изюм","raisin",0,51
20,134,"капуста","cabbage",0,46
20,135,"картошка","potato",0,36
20,144,"кукуруза","corn",0,30
20,148,"малина","raspberry",0,36
20,149,"мандарин","tangerine",0,38
20,156,"огурец","cucumber",0,43
20,159,"пирог","cake",0,24
20,160,"помидор","tomato",0,39
20,162,"рис","rice",0,57
20,166,"слива","plum",0,43
20,172,"сыр","cheese",0,49
20,174,"торт","cake",0,24
20,175,"тыква","pumpkin",0,41
20,176,"фасоль","beans",0,50
20,178,"хлеб","bread",0,47
20,180,"черника","blueberry",0,42
20,184,"яблоко","apple",0,37
20,187,"босоножки","sandals",0,39
20,188,"ботинки","boots",0,42
20,189,"брюки","pants",0,52
20,191,"валенки","boots",0,42
20,192,"варежки/рукавицы","mittens",0,18
20,195,"кофта","sweater",0,27
20,197,"куртка","coat",0,37
20,198,"майка","shirt",0,29
20,202,"пальто","coat",0,37
20,203,"перчатки","gloves",0,18
20,204,"пижама","pajamas",0,25
20,205,"платье","dress",0,33
20,207,"рубашка","shirt",0,29
20,208,"сапоги","boots",0,42
20,209,"свитер","sweater",0,27
20,214,"шарф","scarf",0,38
20,216,"штаны","pants",0,52
20,242,"банка","jar",0,20
20,244,"бутылочка","bottle",0,32
20,245,"веник","broom",0,42
20,246,"вилка","fork",0,34
20,251,"кастрюля","pot",0,47
20,255,"корзина","basket",0,23
20,256,"коробка","box",0,56
20,258,"кружка","cup",0,47
20,259,"лампа","lamp",0,10
20,261,"ложка","spoon",0,39
20,263,"молоток","hammer",0,39
20,267,"нож","knife",0,37
20,268,"ножницы","scissors",0,37
20,271,"плита","stove",0,30
20,272,"подушка","pillow",0,24
20,274,"посуда","dish",0,50
20,276,"радио","radio",0,4
20,277,"расческа","comb",0,70
20,285,"таз","sink",0,31
20,286,"тарелка","plate",0,53
20,288,"телефон","telephone",0,27
20,295,"чашка","cup",0,47
20,299,"ванна","bathtub",0,44
20,300,"дверь","door",0,32
20,301,"диван","couch",0,56
20,303,"зеркало","mirror",0,16
20,304,"ковер","carpet",0,34
20,307,"кран","faucet",0,30
20,309,"кровать","bed",0,21
20,312,"лифт","elevator",0,41
20,316,"печка","oven",0,32
20,318,"стол","table",0,57
20,319,"стул","chair",0,38
20,322,"шкаф","closet",0,22
20,323,"береза","birch",0,20
20,332,"камень","rock",0,15
20,340,"палка","stick",0,32
20,343,"скамейка","bench",0,73
21,38,"бабочка","butterfly",1,47
21,39,"баран","sheep",0,47
21,41,"белка","squirrel",0,57
21,43,"воробей","sparrow",0,41
21,44,"ворона","crow",0,39
21,45,"голубь","pigeon",0,30
21,46,"гусь","goose",0,58
21,48,"жираф","giraffe",0,53
21,53,"коза","goat",0,42
21,56,"корова","cow",0,57
21,57,"кошка","cat",1,33
21,58,"крокодил","alligator",0,53
21,59,"курица (animal)","chicken",0,57
21,60,"лев","lion",0,41
21,61,"лиса","fox",0,53
21,62,"лошадь","horse",0,48
21,63,"лягушка","frog",0,42
21,64,"медведь","bear",0,60
21,66,"мышка","mouse",0,49
21,68,"овечка","sheep",0,47
21,69,"ослик","donkey",0,44
21,70,"петух","rooster",0,53
21,74,"свинка","pig",0,52
21,75,"слон","elephant",0,43
21,76,"собака","dog",0,33
21,77,"сова","owl",0,39
21,78,"тигр","tiger",0,48
21,79,"утка","duck",0,47
21,81,"черепаха","turtle",0,60
21,82,"автобус","bus",0,33
21,84,"вертолет","helicopter",0,31
21,85,"грузовик","truck",0,23
21,87,"кораблик","boat",0,39
21,88,"машина","car",0,32
21,90,"поезд","train",0,32
21,92,"самолет","airplane",0,49
21,93,"санки","sled",0,58
21,94,"трактор","tractor",0,56
21,96,"ведро","bucket",0,46
21,97,"грабли","rake",0,49
21,98,"игрушка","toy",0,4
21,100,"кисточка","brush",0,36
21,102,"книга","book",1,1
21,105,"кукла","doll",1,10
21,106,"лопатка","shovel",1,27
21,112,"совок","spade",0,37
21,117,"шарик","balloon",1,65
21,121,"банан","banana",1,58
21,128,"груша","pear",0,48
21,129,"горох","peas",0,49
21,132,"изюм","raisin",0,51
21,134,"капуста","cabbage",0,46
21,135,"картошка","potato",0,36
21,144,"кукуруза","corn",0,30
21,148,"малина","raspberry",0,36
21,149,"мандарин","tangerine",0,38
21,156,"огурец","cucumber",0,43
21,159,"пирог","cake",0,24
21,160,"помидор","tomato",0,39
21,162,"рис","rice",0,57
21,166,"слива","plum",0,43
21,172,"сыр","cheese",1,49
21,174,"торт","cake",0,24
21,175,"тыква","pumpkin",0,41
21,176,"фасоль","beans",0,50
21,178,"хлеб","bread",0,47
21,180,"черника","blueberry",0,42
21,184,"яблоко","apple",1,37
21,187,"босоножки","sandals",0,39
21,188,"ботинки","boots",0,42
21,189,"брюки","pants",0,52
21,191,"валенки","boots",0,42
21,192,"варежки/рукавицы","mittens",0,18
21,195,"кофта","sweater",0,27
21,197,"куртка","coat",0,37
21,198,"майка","shirt",0,29
21,202,"пальто","coat",0,37
21,203,"перчатки","gloves",0,18
21,204,"пижама","pajamas",0,25
21,205,"платье","dress",0,33
21,207,"рубашка","shirt",0,29
21,208,"сапоги","boots",0,42
21,209,"свитер","sweater",0,27
21,214,"шарф","scarf",0,38
21,216,"штаны","pants",0,52
21,242,"банка","jar",0,20
21,244,"бутылочка","bottle",0,32
21,245,"веник","broom",0,42
21,246,"вилка","fork",0,34
21,251,"кастрюля","pot",0,47
21,255,"корзина","basket",0,23
21,256,"коробка","box",0,56
21,258,"кружка","cup",0,47
21,259,"лампа","lamp",1,10
21,261,"ложка","spoon",0,39
21,263,"молоток","hammer",0,39
21,267,"нож","knife",0,37
21,268,"ножницы","scissors",0,37
21,271,"плита","stove",0,30
21,272,"подушка","pillow",0,24
21,274,"посуда","dish",0,50
21,276,"радио","radio",0,4
21,277,"расческа","comb",0,70
21,285,"таз","sink",0,31
21,286,"тарелка","plate",0,53
21,288,"телефон","telephone",0,27
21,295,"чашка","cup",0,47
