"month","item","definition","uni_lemma","learned","value"
20,38,"бабочка","butterfly",0,5
20,39,"баран","sheep",0,6
20,41,"белка","squirrel",0,2
20,42,"волк","wolf",0,6
20,43,"воробей","sparrow",0,1
20,44,"ворона","crow",0,3
20,46,"гусь","goose",0,6
20,48,"жираф","giraffe",0,3
20,49,"жук","bug",0,2
20,50,"заяц","bunny",0,2
20,51,"звери","animal",0,7
20,52,"змея","snake",0,2
20,53,"коза","goat",0,6
20,54,"комар","mosquito",0,2
20,56,"корова","cow",0,4
20,57,"кошка","cat",0,2
20,60,"лев","lion",0,4
20,61,"лиса","fox",0,5
20,62,"лошадь","horse",0,8
20,63,"лягушка","frog",0,2
20,64,"медведь","bear",0,6
20,65,"муха","fly",0,6
20,66,"мышка","mouse",0,2
20,67,"обезьяна","monkey",0,4
20,68,"овечка","sheep",0,6
20,69,"ослик","donkey",0,3
20,70,"петух","rooster",0,1
20,72,"птичка","bird",0,5
20,74,"свинка","pig",0,4
20,75,"слон","elephant",0,4
20,76,"собака","dog",0,2
20,77,"сова","owl",0,3
20,78,"тигр","tiger",0,4
20,79,"утка","duck",0,4
20,80,"цыпленок","chick",0,3
20,81,"черепаха","turtle",0,4
20,82,"автобус","bus",0,1
20,83,"велосипед","bicycle",0,1
20,85,"грузовик","truck",0,3
20,87,"кораблик","boat",0,0
20,88,"машина","car",0,7
20,90,"поезд","train",0,2
20,92,"самолет","airplane",0,6
20,94,"трактор","tractor",0,2
20,96,"ведро","bucket",0,2
20,100,"кисточка","brush",0,3
20,102,"книга","book",0,2
20,103,"краски","paint",0,3
20,104,"кубики","block",0,2
20,105,"кукла","doll",0,3
20,106,"лопатка","shovel",0,5
20,108,"мяч","ball",1,0
20,112,"совок","spade",0,2
20,116,"фотографии","picture",0,2
20,117,"шарик","balloon",0,3
20,118,"юла","top",0,4
20,121,"банан","banana",0,3
20,123,"булка","bun",0,4
20,124,"варенье","jam",0,2
20,128,"груша","pear",0,3
20,129,"горох","peas",0,5
20,131,"еда","food",0,3
20,132,"изюм","raisin",0,4
20,133,"йогурт","yogurt",0,5
20,134,"капуста","cabbage",0,3
20,135,"картошка","potato",0,6
20,136,"каша","cereal",1,2
20,141,"конфета","candy",0,3
20,143,"кофе","coffee",0,6
20,147,"макароны","pasta",0,0
20,150,"масло","butter",0,4
20,151,"мед","honey",0,4
20,152,"молоко","milk",0,10
20,153,"морковка","carrots",0,3
20,154,"мороженое","ice cream",0,5
20,155,"мясо","meat",0,3
20,156,"огурец","cucumber",0,1
20,158,"печенье","cookie",0,8
20,159,"пирог","cake",0,5
20,160,"помидор","tomato",0,5
20,161,"пряник","cookie",0,8
20,162,"рис","rice",0,3
20,164,"сахар","sugar",0,5
20,168,"сок","juice",1,3
20,171,"суп","soup",1,3
20,172,"сыр","cheese",0,6
20,174,"торт","cake",0,5
20,176,"фасоль","beans",0,4
20,177,"фрукт","fruit",0,9
20,178,"хлеб","bread",0,4
20,179,"чай","tea",1,4
20,182,"чупа-чупс","lollipop",0,2
20,183,"шоколад","chocolate",0,5
20,184,"яблоко","apple",0,6
20,185,"ягода","berry",0,3
20,186,"яйцо","egg",0,1
20,187,"босоножки","sandals",0,1
20,188,"ботинки","boots",0,4
20,189,"брюки","pants",0,5
20,191,"валенки","boots",0,4
20,195,"кофта","sweater",0,4
20,196,"кроссовки","shoe",0,3
20,197,"куртка","coat",0,5
20,198,"майка","shirt",0,8
20,199,"носки","sock",0,3
20,200,"обувь","shoe",0,3
20,202,"пальто","coat",0,5
20,203,"перчатки","gloves",0,2
20,204,"пижама","pajamas",0,2
20,205,"платье","dress",0,4
20,206,"пуговица","button",0,9
20,207,"рубашка","shirt",0,8
20,208,"сапоги","boots",0,4
20,209,"свитер","sweater",0,4
20,211,"трусы","underwear",0,2
20,212,"туфли","shoe",0,3
20,213,"шапка","hat",0,8
20,214,"шарф","scarf",0,5
20,215,"шорты","shorts",0,6
20,216,"штаны","pants",0,5
