"month","item","definition","uni_lemma","learned","value"
20,38,"бабочка","butterfly",0,27.682887609
20,39,"баран","sheep",0,27.270412194
20,41,"белка","squirrel",0,34.26065338
20,42,"волк","wolf",0,32.978945253
20,46,"гусь","goose",0,27.05062911
20,48,"жираф","giraffe",0,29.916162853
20,49,"жук","bug",0,33.906896069
20,50,"заяц","bunny",0,35.099064315
20,51,"звери","animal",0,20.580806099
20,56,"корова","cow",0,34.850756583
20,57,"кошка","cat",0,33.182564236
20,58,"крокодил","alligator",0,29.417520368
20,60,"лев","lion",0,36.632980049
20,62,"лошадь","horse",0,39.302897602
20,63,"лягушка","frog",0,38.537056518
20,64,"медведь","bear",0,25.16321985
20,66,"мышка","mouse",0,32.328478023
20,67,"обезьяна","monkey",0,34.03898736
20,68,"овечка","sheep",0,27.270412194
20,69,"ослик","donkey",0,26.585651777
20,70,"петух","rooster",0,30.375335737
20,72,"птичка","bird",0,29.910144633
20,74,"свинка","pig",0,28.087313724
20,75,"слон","elephant",0,27.451172454
20,76,"собака","dog",0,36.832006924
20,77,"сова","owl",0,25.547104731
20,78,"тигр","tiger",0,29.741091085
20,79,"утка","duck",0,29.848625099
20,81,"черепаха","turtle",0,31.31103554
20,82,"автобус","bus",0,34.919734573
20,83,"велосипед","bicycle",0,32.724214073
20,84,"вертолет","helicopter",0,32.343885435
20,85,"грузовик","truck",0,30.988426171
20,86,"коляска","stroller",0,86.445811884
20,253,"коляска","stroller",0,86.445811884
20,87,"кораблик","boat",0,43.49446431
20,88,"машина","car",0,42.647985757
20,90,"поезд","train",0,33.78140592
20,91,"пожарная машина","firetruck",0,36.592856985
20,92,"самолет","airplane",0,33.056351482
20,93,"санки","sled",0,32.902418611
20,94,"трактор","tractor",0,36.241433242
20,96,"ведро","bucket",0,36.406401056
20,101,"клей","glue",0,15.91354233
20,102,"книга","book",0,40.137111401
20,104,"кубики","block",0,30.45479735
20,105,"кукла","doll",0,28.549203254
20,106,"лопатка","shovel",0,35.767177682
20,107,"мозаика/пазл","puzzle",0,35.466427153
