"item","definition","uni_lemma","type","IPA"
1,"tutú","choo choo","word"," tutˈu"
2,"quiquiriquí","cockadoodledoo","word"," kˌikiɾikˈi"
3,"¡pum!","bang","word"," pˈun"
4,"pipí","honk honk","word"," pipˈi"
5,"pío pío","tweet tweet","word"," pˈio pˈio"
6,"muu","moo","word"," mwˈu"
7,"miau","meow","word"," mjˈaʊ"
8,"guaguá","woof woof","word"," ɣwaɣwˈa"
9,"cuacuá","quack quack","word"," kwakwˈa"
10,"bee","baa baa","word"," βˈee"
11,"¡am!","yum yum","word"," ˈan"
12,"¡ay!","ouch","word"," ˈaɪ"
14,"venado","deer","word"," βenˈaðo"
15,"vaca","cow","word"," βˈaka"
16,"tortuga","turtle","word"," tɔɾtˈuɣa"
17,"tigre","tiger","word"," tˈiɣɾe"
18,"ratón","mouse","word"," ratˈɔn"
19,"rana","frog","word"," rˈana"
20,"puerco","pig","word"," pwˈɛrko"
21,"pollito","chick","word"," pɔʝˈito"
22,"pingüino","penguin","word"," pˌiŋɡuˈino"
23,"pescado","fish (animal)","word"," pɛskˈaðo"
24,"perro","dog","word"," pˈɛro"
25,"pato","duck","word"," pˈato"
26,"pájaro","bird","word"," pˈaxaɾɔ"
27,"oso","bear","word"," ˈoso"
29,"mosca","fly (animal)","word"," mˈɔska"
30,"mono","monkey","word"," mˈono"
31,"mariposa","butterfly","word"," mˌaɾipˈosa"
32,"lobo","wolf","word"," lˈoβo"
33,"león","lion","word"," leˈɔn"
34,"jirafa","giraffe","word"," xiɾˈafa"
35,"hormiga","ant","word"," ɔrmˈiɣa"
36,"hipopótamo","hippopotamus","word"," ˌipopˈɔtamo"
37,"guajolote","turkey","word"," ɣwˌaxolˈote"
38,"gato","cat","word"," ɣˈato"
40,"gallina","hen","word"," ɣaʝˈina"
42,"elefante","elephant","word"," ˌelefˈante"
43,"conejo","bunny","word"," konˈexo"
46,"caballo","horse","word"," kaβˈaʝo"
47,"burro","donkey","word"," βˈuro"
48,"búho","owl","word"," βˈuo"
49,"buey","ox","word"," bwˈeɪ"
50,"borrego","lamb","word"," βɔrˈeɣo"
52,"ardilla","squirrel","word"," ardˈiʝa"
53,"araña","spider","word"," aɾˈaɲa"
54,"animal","animal","word"," ˌanimˈal"
55,"abeja","bee","word"," aβˈexa"
58,"tren","train","word"," tɾˈɛn"
59,"tractor","tractor","word"," tɾaktˈɔɾ"
60,"moto","motorcycle","word"," mˈoto"
61,"helicóptero","helicopter","word"," ˌelikˈɔpːtɛɾɔ"
62,"carro","car","word"," kˈaro"
63,"carreola","stroller","word"," kˌareˈola"
64,"camión","truck","word"," kamjˈɔn"
65,"camión de bombero","firetruck","word"," kamjˈɔn ðe βɔmbˈɛɾɔ"
66,"bicicleta","bicycle","word"," βˌiθiklˈeta"
67,"barco","boat","word"," βˈarko"
68,"avión","airplane","word"," abjˈɔn"
70,"agua","water (beverage)","word"," ˈaɣwa"
71,"arroz","rice","word"," arˈɔθ"
72,"atole","atole","word"," atˈole"
75,"café","coffee","word"," kafˈɛ"
77,"carne","meat","word"," kˈarne"
78,"cereal","cereal","word"," θˌɛɾɛˈal"
81,"chile","chili","word"," tʃˈile"
83,"comida","food","word"," komˈiða"
84,"dulce","candy","word"," ðˈulθe"
90,"frijoles","beans","word"," fɾixˈoles"
91,"galleta","cookie","word"," ɣaʝˈeta"
94,"helado","ice cream","word"," elˈaðo"
97,"huevo","egg","word"," wˈeβo"
98,"jamón","ham","word"," xamˈɔn"
99,"jugo","juice","word"," xˈuɣo"
100,"leche","milk","word"," lˈetʃe"
105,"manzana","apple","word"," manθˈana"
108,"naranja","orange (food)","word"," naɾˈaŋxa"
109,"paleta","lollipop","word"," palˈeta"
111,"pan","bread","word"," pˈan"
116,"pastel","cake","word"," pastˈɛl"
119,"plátano","banana","word"," plˈatano"
120,"pollo","chicken (food)","word"," pˈɔʝo"
121,"quesadilla","quesadilla","word"," kˌesaðˈiʝa"
122,"queso","cheese","word"," kˈeso"
124,"salchicha","hot dog","word"," saltʃˈitʃa"
127,"soda","soda","word"," sˈoða"
128,"sopa","soup","word"," sˈopa"
132,"tortilla","tortilla","word"," tɔɾtˈiʝa"
133,"uvas","grapes","word"," ˈuβas"
138,"botón","button","word"," βotˈɔn"
140,"calcetín","sock","word"," kˌalθetˈin"
141,"calzón","underpants","word"," kalθˈɔn"
144,"cierre","zipper","word"," θjˈɛre"
145,"collar","necklace","word"," kɔʝˈaɾ"
146,"falda","skirt","word"," fˈalda"
149,"lentes","glasses","word"," lˈɛntes"
150,"medias","tights","word"," mˈeðjas"
151,"pañal","diaper","word"," paɲˈal"
152,"pantalón","pants","word"," pˌantalˈɔn"
153,"pijama","pajamas","word"," pixˈama"
154,"playera","t-shirt","word"," plaʝˈɛɾa"
156,"shorts","shorts","word"," ʃˈɔɾts"
157,"sombrero","hat","word"," sɔmbɾˈɛɾɔ"
158,"suéter","sweater","word"," swˈɛtɛɾ"
159,"vestido","dress (object)","word"," βɛstˈiðo"
160,"zapato","shoe","word"," θapˈato"
162,"bigote","moustache","word"," βiɣˈote"
163,"boca","mouth","word"," βˈoka"
164,"brazo","arm","word"," bɾˈaθo"
165,"cabeza","head","word"," kaβˈeθa"
166,"cachete","cheek","word"," katʃˈete"
167,"cara","face","word"," kˈaɾa"
