"age","item","definition","uni_lemma","learned","value"
"16",15,"vaca","cow",0,4
"16",16,"tortuga","turtle",0,0
"16",18,"ratón","mouse",0,4
"16",19,"rana","frog",0,0
"16",20,"puerco","pig",0,3
"16",21,"pollito","chick",0,1
"16",24,"perro","dog",0,7
"16",25,"pato","duck",0,1
"16",26,"pájaro","bird",0,7
"16",27,"oso","bear",0,3
"16",30,"mono","monkey",0,3
"16",31,"mariposa","butterfly",0,0
"16",32,"lobo","wolf",0,1
"16",33,"león","lion",0,2
"16",34,"jirafa","giraffe",0,1
"16",35,"hormiga","ant",0,0
"16",38,"gato","cat",0,8
"16",40,"gallina","hen",0,2
"16",42,"elefante","elephant",0,1
"16",43,"conejo","bunny",0,0
"16",46,"caballo","horse",0,4
"16",47,"burro","donkey",0,1
"16",50,"borrego","lamb",0,0
"16",53,"araña","spider",0,1
"16",54,"animal","animal",0,18
"16",55,"abeja","bee",0,1
"16",58,"tren","train",0,2
"16",60,"moto","motorcycle",0,1
"16",61,"helicóptero","helicopter",0,1
"16",62,"carro/coche","car",0,7
"16",64,"camión/troca","truck",0,1
"16",66,"bicicleta","bicycle",0,1
"16",67,"barco","boat",0,2
"16",68,"avión","airplane",0,1
"16",71,"arroz","rice",0,1
"16",75,"café","coffee",0,1
"16",77,"carne","meat",0,3
"16",81,"chile","chili",0,1
"16",83,"comida","food",0,19
"16",84,"dulce","candy",0,3
"16",90,"frijoles","beans",0,2
"16",91,"galleta","cookie",0,2
"16",94,"helado/nieve","ice cream",0,2
"16",97,"huevo","egg",0,2
"16",98,"jamón","ham",0,3
"16",99,"jugo","juice",0,1
"16",100,"leche","milk",1,8
"16",105,"manzana","apple",0,4
"16",109,"paleta","lollipop",0,0
"16",111,"pan","bread",1,2
"16",116,"pastel","cake",0,2
"16",119,"plátano/banana","banana",0,2
"16",122,"queso","cheese",0,4
"16",127,"soda/refresco","soda",0,1
"16",128,"sopa","soup",0,6
"16",132,"tortilla","tortilla",0,0
"16",138,"botón","button",0,0
"16",140,"calcetín","sock",0,1
"16",146,"falda","skirt",0,2
"16",149,"lentes","glasses",0,1
"16",151,"pañal","diaper",0,0
"16",152,"pantalón","pants",0,4
"16",153,"pijama","pajamas",0,0
"16",154,"playera","t-shirt",0,0
"16",156,"shorts","shorts",0,2
"16",157,"sombrero","hat",0,2
"16",158,"suéter","sweater",0,0
"16",160,"zapato","shoe",1,4
"16",163,"boca","mouth",0,5
"16",164,"brazo","arm",0,4
"16",165,"cabeza","head",0,6
"16",166,"cachete","cheek",0,1
"16",167,"cara","face",0,6
