"age","item","definition","uni_lemma","learned","value"
"16",15,"vaca","cow",0,10
"16",16,"tortuga","turtle",0,1
"16",18,"ratón","mouse",0,4
"16",19,"rana","frog",0,12
"16",20,"puerco","pig",0,1
"16",21,"pollito","chick",0,1
"16",23,"pescado","fish (animal)",0,0
"16",24,"perro","dog",0,6
"16",25,"pato","duck",0,11
"16",26,"pájaro","bird",0,0
"16",27,"oso","bear",0,6
"16",29,"mosca","fly (animal)",0,1
"16",30,"mono","monkey",0,4
"16",31,"mariposa","butterfly",0,0
"16",32,"lobo","wolf",0,6
"16",33,"león","lion",0,0
"16",34,"jirafa","giraffe",0,0
"16",35,"hormiga","ant",0,0
"16",38,"gato","cat",0,6
"16",40,"gallina","hen",0,1
"16",42,"elefante","elephant",0,0
"16",43,"conejo","bunny",0,0
"16",46,"caballo","horse",0,0
"16",47,"burro","donkey",0,5
"16",50,"borrego","lamb",0,0
"16",53,"araña","spider",0,0
"16",54,"animal","animal",0,0
"16",55,"abeja","bee",0,2
"16",58,"tren","train",0,0
"16",60,"moto","motorcycle",0,7
"16",61,"helicóptero","helicopter",0,0
"16",62,"carro/coche","car",0,13
"16",64,"camión/troca","truck",0,4
"16",66,"bicicleta","bicycle",0,0
"16",67,"barco","boat",0,4
"16",68,"avión","airplane",0,1
"16",70,"agua","water (beverage)",1,0
"16",71,"arroz","rice",0,1
"16",72,"atole","atole",0,0
"16",75,"café","coffee",0,4
"16",77,"carne","meat",0,1
"16",81,"chile","chili",0,0
"16",83,"comida","food",0,2
"16",84,"dulce","candy",0,0
"16",90,"frijoles","beans",0,0
"16",91,"galleta","cookie",0,2
"16",94,"helado/nieve","ice cream",0,1
"16",97,"huevo","egg",0,4
"16",98,"jamón","ham",0,4
"16",99,"jugo","juice",0,1
"16",100,"leche","milk",1,1
"16",105,"manzana","apple",0,0
"16",108,"naranja","orange (food)",0,0
"16",109,"paleta","lollipop",0,2
"16",111,"pan","bread",1,5
"16",116,"pastel","cake",0,1
"16",119,"plátano/banana","banana",0,1
"16",120,"pollo","chicken (food)",0,4
"16",121,"quesadilla","quesadilla",0,0
"16",122,"queso","cheese",0,6
"16",124,"salchicha","hot dog",0,0
"16",127,"soda/refresco","soda",0,4
"16",128,"sopa","soup",0,4
"16",132,"tortilla","tortilla",0,1
"16",133,"uvas","grapes",0,0
"16",138,"botón","button",0,2
"16",140,"calcetín","sock",0,0
"16",141,"calzón","underpants",0,2
"16",146,"falda","skirt",0,1
"16",149,"lentes","glasses",0,1
"16",151,"pañal","diaper",0,1
"16",152,"pantalón","pants",0,0
"16",153,"pijama","pajamas",0,0
"16",154,"playera","t-shirt",0,0
"16",156,"shorts","shorts",0,0
"16",157,"sombrero","hat",0,0
"16",158,"suéter","sweater",0,0
"16",159,"vestido","dress (object)",0,0
"16",160,"zapato","shoe",1,1
"16",162,"bigote","moustache",0,0
"16",163,"boca","mouth",0,5
"16",164,"brazo","arm",0,1
"16",165,"cabeza","head",0,1
"16",166,"cachete","cheek",0,0
"16",167,"cara","face",0,9
"16",168,"chichi/pecho","breast",0,0
"16",169,"dedo","finger",0,3
"16",170,"dientes","tooth",0,1
"16",174,"lengua","tongue",0,0
"16",175,"mano","hand",0,8
"16",177,"nariz","nose",0,1
"16",178,"ojos","eye",0,2
"16",179,"ombligo","belly button",0,0
"16",180,"oreja","ear",0,0
"16",181,"panza","tummy",0,4
"16",182,"pelo","hair",0,10
"16",183,"pene","penis",0,3
"16",184,"piernas","leg",0,0
"16",185,"pies","foot",0,0
"16",186,"rodilla","knee",0,0
"16",192,"globo/bomba","balloon",0,1
"16",194,"juguete","toy (object)",0,0
"16",195,"lápiz","pen/pencil",0,1
"16",196,"libro","book",0,1
"16",197,"muñeca","doll",0,0
"16",198,"osito","teddybear",0,1
"16",200,"pelota","ball",1,2
"16",204,"tambor","drum",0,0
"16",206,"botas","boots",0,3
"16",207,"bolsa (clothing)","purse",0,1
"16",208,"babero","bib",0,0
"16",209,"aretes","earrings",0,0
"16",211,"almohada","pillow",0,0
"16",213,"basura","trash",0,0
"16",215,"botella/mamila","bottle",0,0
"16",216,"caja","box",0,10
"16",220,"cepillo de dientes","toothbrush",0,0
"16",221,"cepillo","brush (object)",0,0
"16",223,"chupón/chupete","pacifier",0,0
"16",224,"cigarros","cigarette",0,0
"16",226,"cobija","blanket",0,2
"16",229,"cuchara","spoon",0,0
"16",230,"cuchillo","knife",0,0
"16",231,"dinero","money",0,0
"16",232,"escoba","broom",0,0
"16",233,"espejo","mirror",0,0
"16",234,"fotos","photos",0,3
"16",235,"jabón","soap",0,3
"16",237,"llave","keys",0,1
"16",238,"luz","light",0,1
"16",240,"medicina","medicine",0,0
"16",243,"papel","paper",0,2
"16",245,"peine","comb (object)",0,1
"16",248,"plato","plate",0,5
"16",249,"radio","radio",0,0
"16",250,"reloj","watch (object)",0,0
"16",253,"taza","cup",0,9
"16",254,"teléfono","telephone",0,0
"16",255,"tenedor","fork",0,0
"16",256,"tijeras","scissors",0,0
"16",257,"toalla","towel",0,1
"16",258,"trapo","cloth",0,1
"16",259,"vasos","glass",0,1
"16",260,"vela","candle",0,7
"16",262,"árbol","tree",0,1
"16",264,"cielo","sky",0,1
"16",266,"columpio","swing (object)",0,0
"16",267,"estrella","star",0,0
"16",268,"flor","flower",0,0
"16",272,"lluvia","rain",0,0
"16",273,"luna","moon",0,4
"16",278,"nube","cloud",0,1
"16",282,"piedra","rock (object)",0,0
"16",283,"planta","plant",0,2
"16",285,"resbaladilla","slide (object)",0,0
"16",286,"sol","sun",0,1
"16",288,"techo","roof",0,1
"16",292,"bacinica","potty",0,0
"16",294,"baño","bathroom",0,8
"16",295,"cajón","drawer",0,6
"16",296,"cama","bed",0,9
"16",299,"cocina","kitchen",0,2
"16",301,"cuarto","room",0,0
"16",302,"cuna","crib",0,6
"16",303,"escaleras","stairs",0,0
"16",304,"estufa","stove",0,0
"16",309,"mesa","table",0,3
"16",312,"puerta","door",0,0
"16",314,"refrigerador","refrigerator",0,0
"16",315,"regadera/ducha","shower",0,0
"16",317,"sala","living room",0,12
"16",319,"silla","chair",0,4
"16",322,"televisión","tv",0,0
"16",323,"tina","bathtub",0,5
"16",324,"ventana","window",0,0
"18",15,"vaca","cow",0,10
"18",16,"tortuga","turtle",0,1
"18",18,"ratón","mouse",0,4
"18",19,"rana","frog",0,12
"18",20,"puerco","pig",0,1
"18",21,"pollito","chick",0,1
"18",23,"pescado","fish (animal)",0,0
"18",24,"perro","dog",1,6
"18",25,"pato","duck",0,11
"18",26,"pájaro","bird",0,0
"18",27,"oso","bear",0,6
"18",29,"mosca","fly (animal)",0,1
"18",30,"mono","monkey",0,4
"18",31,"mariposa","butterfly",0,0
"18",32,"lobo","wolf",0,6
"18",33,"león","lion",0,0
"18",34,"jirafa","giraffe",0,0
"18",35,"hormiga","ant",0,0
"18",38,"gato","cat",0,6
"18",40,"gallina","hen",0,1
"18",42,"elefante","elephant",0,0
"18",43,"conejo","bunny",0,0
