"item","definition","uni_lemma","type","IPA"
1,"Cee","peekaboo","word"," dʒeˈɛ"
2,"Cıss","don't","word"," dʒˈɯss"
4,"Düt","vroom","word"," dˈøt"
5,"Ham","yum yum","word"," hˈam"
6,"Havhav","woof woof","word"," havhˈav"
7,"Hop","up","word"," hˈɔp"
8,"Mee","baa baa","word"," mˈeɛ"
9,"Pisi-pisi","meow","word"," pisˈipisˈɪ"
11,"Uf","ouch","word"," ˈʊf"
13,"Vınn","vroom","word"," vˈɯnn"
14,"Arı","bee","word"," arˈɯ"
16,"At","horse","word"," ˈat"
17,"Ayı","bear","word"," ajˈɯ"
18,"Balık","fish (animal)","word"," balˈɯk"
20,"Böcek","bug","word"," bœdʒˈɛk"
23,"Eşek","donkey","word"," eʃˈɛk"
29,"İnek","cow","word"," inˈɛk"
35,"Kedi","cat","word"," cedˈɪ"
37,"Köpek","dog","word"," cœpˈɛk"
38,"Kurbağa","frog","word"," kʊrbaː ˈa"
39,"Kuş","bird","word"," kˈʊʃ"
42,"Maymun","monkey","word"," majmˈʊn"
43,"Ördek","duck","word"," œrdˈɛk"
48,"Tavşan","bunny","word"," tavʃˈan"
49,"Tavuk","chicken (animal)","word"," tavˈʊk"
54,"Kuzu","lamb","word"," kuzˈʊ"
55,"Ambulans","ambulance","word"," ambulˈans"
56,"Araba","car","word"," aɾabˈa"
57,"Bisiklet","bicycle","word"," bisɪklˈɛt"
58,"Gemi","boat","word"," ɟemˈɪ"
59,"Helikopter","helicopter","word"," helikɔptˈɛr"
60,"İtfaiye","firetruck","word"," ɪtfaijˈɛ"
61,"Kamyon","truck","word"," kamjˈɔn"
63,"Motosiklet","motorcycle","word"," motosɪklˈɛt"
64,"Otobüs","bus","word"," otobˈøs"
65,"Traktör","tractor","word"," traktˈœr"
66,"Tren","train","word"," trˈɛn"
67,"Uçak","airplane","word"," utʃˈak"
69,"Balon","balloon","word"," balˈɔn"
70,"Bebek","doll","word"," bebˈɛk"
72,"Boya","crayon","word"," bojˈa"
76,"Kalem","pen/pencil","word"," kalˈɛm"
77,"Kitap","book","word"," citˈap"
78,"Kova","bucket","word"," kovˈa"
83,"Oyuncak","toy (object)","word"," ojʊndʒˈak"
85,"Robot","robot","word"," robˈɔt"
86,"Top","ball","word"," tˈɔp"
87,"Tüfek","gun","word"," tyfˈɛk"
89,"Armut","pear","word"," armˈʊt"
90,"Ayran","yogurt drink","word"," ajrˈan"
91,"Bal","honey","word"," bˈal"
92,"Balık","fish (food)","word"," balˈɯk"
93,"Bisküvi","cracker","word"," bɪscyvˈɪ"
94,"Börek","pastry","word"," bœɾˈɛk"
96,"Çay","tea","word"," tʃˈaj"
97,"Çikolata","chocolate","word"," tʃikˈolata"
99,"Çorba","soup","word"," tʃɔrbˈa"
101,"Domates","tomato","word"," domatˈɛs"
102,"Dondurma","ice cream","word"," dˈɔndʊrma"
103,"Ekmek","bread","word"," ɛkmˈɛk"
104,"Elma","apple","word"," ˈɛlma"
105,"Et","meat","word"," ˈɛt"
107,"Fıstık","peanut","word"," fɯstˈɯk"
111,"Karpuz","watermelon","word"," kˈarpʊz"
113,"Kek","cake","word"," cˈɛk"
116,"Kola","soda","word"," kˈola"
117,"Köfte","meatball","word"," cœftˈɛ"
118,"Kurabiye","cookie","word"," kuɾabijˈɛ"
119,"Limon","lemon","word"," limˈɔn"
121,"Makarna","pasta","word"," makarnˈa"
123,"Meyve","fruit","word"," mɛjvˈɛ"
125,"Muhallebi","pudding","word"," muhallebˈɪ"
126,"Muz","banana","word"," mˈʊz"
129,"Pasta","cake","word"," pastˈa"
130,"Patates","potato","word"," patatˈɛs"
131,"Peynir","cheese","word"," pɛjnˈɪr"
132,"Pilav","rice","word"," pilˈav"
135,"Portakal","orange (food)","word"," pɔrtakˈal"
136,"Reçel","jam","word"," retʃˈɛl"
140,"Simit","pretzel","word"," simˈɪt"
143,"Su","water (beverage)","word"," sˈʊ"
145,"Süt","milk","word"," sˈøt"
146,"Şeker","candy","word"," ʃecˈɛr"
147,"Tarhana","tarhana","word"," tarhanˈa"
148,"Tost","toast","word"," tˈɔst"
151,"Yemek","food","word"," jemˈɛk"
152,"Yoğurt","yogurt","word"," jɔː ˈʊrt"
153,"Yumurta","egg","word"," jumʊrtˈa"
154,"Zeytin","olive","word"," zɛjtˈɪn"
155,"Ayakkabı","shoe","word"," ajakkabˈɯ"
156,"Bez","diaper","word"," bˈɛz"
157,"Bilezik","bracelet","word"," bilezˈɪk"
160,"Ceket","jacket","word"," dʒecˈɛt"
163,"Çorap","sock","word"," tʃoɾˈap"
164,"Don","underpants","word"," dˈɔn"
165,"Elbise","dress (object)","word"," ɛlbˈisɛ"
168,"Etek","skirt","word"," etˈɛk"
171,"Gözlük","glasses","word"," ɟœzlˈøk"
172,"Kazak","sweater","word"," kazˈak"
174,"Küpe","earrings","word"," cypˈɛ"
176,"Önlük","bib","word"," œnlˈøk"
177,"Palto","coat","word"," paltˈɔ"
178,"Pantolon","pants","word"," pantolˈɔn"
179,"Pijama","pajamas","word"," piʒˈama"
180,"Şapka","hat","word"," ʃapkˈa"
182,"Taç","headband","word"," tˈatʃ"
183,"Tayt","tights","word"," tˈajt"
184,"Terlik","slipper","word"," tɛrlˈɪk"
185,"Tişört","t-shirt","word"," tiʃˈœrt"
186,"Toka","hairpin","word"," tokˈa"
187,"Ağız","mouth","word"," ˈaː ɯz"
188,"Ayak","foot","word"," ajˈak"
189,"Bacak","leg","word"," badʒˈak"
190,"Baş","head","word"," bˈaʃ"
194,"Burun","nose","word"," burˈʊn"
196,"Dil","tongue","word"," dˈɪl"
197,"Diş","tooth","word"," dˈɪʃ"
198,"Diz","knee","word"," dˈɪz"
199,"El","hand","word"," ˈɛl"
200,"Göbek","tummy","word"," ɟœbˈɛk"
201,"Göz","eye","word"," ɟˈœz"
206,"Kulak","ear","word"," kulˈak"
207,"Parmak","finger","word"," parmˈak"
208,"Popo","butt","word"," popˈɔ"
209,"Saç","hair","word"," sˈatʃ"
212,"Yanak","cheek","word"," janˈak"
