"age","item","definition","uni_lemma","learned","value"
"16",16,"At (animal)","horse",0,23
"16",17,"Ayı","bear",0,28
"16",23,"Eşek","donkey",0,14
"16",29,"İnek","cow",0,27
"16",35,"Kedi","cat",0,11
"16",37,"Köpek","dog",0,14
"16",38,"Kurbağa","frog",0,17
"16",43,"Ördek","duck",0,19
"16",54,"Kuzu","lamb",0,26
"16",55,"Ambulans","ambulance",0,26
"16",56,"Araba","car",0,20
"16",58,"Gemi/Vapur","boat",0,20
"16",59,"Helikopter","helicopter",0,19
"16",61,"Kamyon","truck",0,15
"16",63,"Motosiklet","motorcycle",0,15
"16",64,"Otobüs","bus",0,22
"16",65,"Traktör","tractor",0,29
"16",66,"Tren","train",0,19
"16",67,"Uçak","airplane",0,23
"16",69,"Balon","balloon",0,32
"16",70,"Bebek (object)","doll",1,5
"16",72,"Boya (object)","crayon",0,12
"16",77,"Kitap","book",0,1
"16",78,"Kova","bucket",0,23
"16",86,"Top","ball",1,20
"16",87,"Tüfek","gun",0,21
"16",89,"Armut","pear",0,24
"16",101,"Domates","tomato",0,24
"16",103,"Ekmek","bread",0,20
"16",104,"Elma","apple",0,23
"16",113,"Kek","cake",0,12
"16",119,"Limon","lemon",0,9
"16",126,"Muz","banana",0,31
"16",129,"Pasta","cake",0,12
"16",130,"Patates","potato",0,16
"16",131,"Peynir","cheese",0,23
"16",132,"Pilav","rice",0,26
"16",154,"Zeytin","olive",0,22
"16",157,"Bilezik","bracelet",0,22
"16",160,"Ceket","jacket",0,11
"16",168,"Etek","skirt",0,11
"16",172,"Kazak","sweater",0,10
"16",177,"Palto","coat",0,13
"16",178,"Pantolon","pants",0,20
"16",179,"Pijama","pajamas",0,13
"16",215,"Ayna","mirror",0,7
"16",220,"Biberon","bottle",0,14
"16",222,"Çatal","fork",0,16
"16",224,"Çekiç","hammer",0,21
"16",230,"Kaşık","spoon",0,21
"16",232,"Lamba/Işık","lamp",0,7
"16",237,"Radyo","radio",0,3
"16",239,"Saat","clock",0,14
"16",243,"Tabak","plate",0,31
"16",245,"Telefon","telephone",0,14
"16",251,"Dolap","cupboard",0,12
"16",253,"Fırın","oven",0,17
"16",256,"Kapı","door",0,17
"16",259,"Masa","table",0,30
"16",266,"Sandalye/İskemle","chair",0,22
"16",270,"Yatak","bed",0,15
"16",271,"Yastık","pillow",0,13
"16",286,"Duvar","wall",0,13
"16",296,"Köprü","bridge",0,30
"18",16,"At (animal)","horse",0,23
"18",17,"Ayı","bear",0,28
"18",23,"Eşek","donkey",0,14
"18",29,"İnek","cow",0,27
"18",35,"Kedi","cat",0,11
"18",37,"Köpek","dog",0,14
"18",38,"Kurbağa","frog",0,17
"18",43,"Ördek","duck",0,19
"18",54,"Kuzu","lamb",0,26
"18",55,"Ambulans","ambulance",0,26
"18",56,"Araba","car",1,20
"18",58,"Gemi/Vapur","boat",0,20
"18",59,"Helikopter","helicopter",0,19
"18",61,"Kamyon","truck",0,15
"18",63,"Motosiklet","motorcycle",0,15
"18",64,"Otobüs","bus",0,22
"18",65,"Traktör","tractor",0,29
"18",66,"Tren","train",0,19
"18",67,"Uçak","airplane",0,23
"18",69,"Balon","balloon",0,32
"18",72,"Boya (object)","crayon",0,12
"18",77,"Kitap","book",0,1
"18",78,"Kova","bucket",0,23
"18",87,"Tüfek","gun",0,21
"18",89,"Armut","pear",0,24
"18",101,"Domates","tomato",0,24
"18",103,"Ekmek","bread",0,20
"18",104,"Elma","apple",0,23
"18",113,"Kek","cake",0,12
"18",119,"Limon","lemon",0,9
"18",126,"Muz","banana",0,31
"18",129,"Pasta","cake",0,12
"18",130,"Patates","potato",0,16
"18",131,"Peynir","cheese",0,23
"18",132,"Pilav","rice",0,26
"18",154,"Zeytin","olive",0,22
"18",157,"Bilezik","bracelet",0,22
"18",160,"Ceket","jacket",0,11
"18",168,"Etek","skirt",0,11
"18",172,"Kazak","sweater",0,10
"18",177,"Palto","coat",0,13
"18",178,"Pantolon","pants",0,20
"18",179,"Pijama","pajamas",0,13
"18",215,"Ayna","mirror",0,7
"18",220,"Biberon","bottle",0,14
"18",222,"Çatal","fork",0,16
"18",224,"Çekiç","hammer",0,21
"18",230,"Kaşık","spoon",0,21
"18",232,"Lamba/Işık","lamp",0,7
"18",237,"Radyo","radio",0,3
"18",239,"Saat","clock",0,14
"18",243,"Tabak","plate",0,31
"18",245,"Telefon","telephone",0,14
"18",251,"Dolap","cupboard",0,12
"18",253,"Fırın","oven",0,17
"18",256,"Kapı","door",0,17
"18",259,"Masa","table",0,30
"18",266,"Sandalye/İskemle","chair",0,22
"18",270,"Yatak","bed",0,15
"18",271,"Yastık","pillow",0,13
"18",286,"Duvar","wall",0,13
"18",296,"Köprü","bridge",0,30
"19",16,"At (animal)","horse",0,23
"19",17,"Ayı","bear",0,28
"19",23,"Eşek","donkey",0,14
"19",29,"İnek","cow",0,27
"19",35,"Kedi","cat",1,11
"19",37,"Köpek","dog",0,14
