"month","item","definition","uni_lemma","learned","value"
18,14,"guska","goose",0,0
18,17,"konj","horse",0,0
18,19,"koza","goat",0,0
18,20,"krava","cow",1,0
18,23,"lav","lion",0,0
18,24,"leptir","butterfly",0,0
18,25,"lisica","fox",0,0
18,26,"mačka","cat",1,0
18,27,"magarac","donkey",0,0
18,31,"miš","mouse",0,0
18,33,"ovca","sheep",0,0
18,34,"pas","dog",0,0
18,35,"patka","duck",0,0
18,37,"pijetao","rooster",0,0
18,38,"pile","chicken",0,0
18,40,"prase","pig",0,0
18,44,"slon","elephant",0,0
18,45,"sova","owl",0,0
18,47,"tigar","tiger",0,0
18,48,"vjeverica","squirrel",0,0
18,49,"vrabac","sparrow",0,0
18,53,"žaba","frog",0,0
18,56,"auto","car",1,0
18,57,"autobus","bus",0,0
18,58,"avion","airplane",0,0
18,60,"brod","boat",0,0
18,62,"kamion","truck",0,0
18,64,"motor","motorcycle",0,0
18,66,"traktor","tractor",0,0
18,69,"vlak","train",0,0
18,70,"balon","balloon",0,0
18,74,"igračka","toy",0,0
18,75,"knjiga","book",0,0
18,78,"lopatica","shovel",0,0
18,79,"lopta","ball",0,0
18,80,"lutka","doll",0,0
18,88,"banana","banana",1,0
18,97,"grašak","peas",0,0
18,104,"jabuka","apple",0,0
18,114,"koka","chicken",0,0
18,116,"kolač","cake",0,0
18,119,"kruh","bread",0,0
18,120,"krumpir","potato",0,0
18,131,"naranča","orange",0,0
18,144,"sir","cheese",0,0
18,150,"špinat","spinach",0,0
18,158,"čizme","boots",0,0
18,161,"haljina","dress",0,0
18,162,"hlače","pants",0,0
18,164,"jakna","jacket",0,0
18,166,"kaput","coat",0,0
18,173,"pidžama","pajamas",0,0
18,176,"rukavice","gloves",0,0
18,178,"šal","scarf",0,0
18,212,"boca","bottle",0,0
18,216,"čekić","hammer",0,0
18,217,"češalj","comb",0,0
18,218,"četka","brush",0,0
18,223,"jastuk","pillow",0,0
18,231,"kutija","box",0,0
18,237,"metla","broom",0,0
18,241,"nož","knife",0,0
18,243,"radio","radio",0,0
18,247,"sat","clock",0,0
18,252,"šalica","cup",0,0
18,253,"škare","scissors",0,0
18,254,"tanjur","plate",0,0
18,255,"telefon","telephone",0,0
18,257,"vilica","fork",0,0
18,260,"žlica","spoon",0,0
18,264,"garaža","garage",0,0
18,267,"kada","bathtub",0,0
18,268,"kauč","couch",0,0
18,271,"krevet","bed",0,0
18,284,"stol","table",0,0
18,285,"stolica","chair",0,0
18,287,"štednjak","stove",0,0
18,292,"vrata","door",0,0
18,298,"kamen","rock",0,0
18,301,"lopata","shovel",0,0
19,14,"guska","goose",0,2
19,17,"konj","horse",0,2
19,19,"koza","goat",0,2
19,23,"lav","lion",0,2
19,24,"leptir","butterfly",0,0
19,25,"lisica","fox",0,2
19,27,"magarac","donkey",0,2
19,31,"miš","mouse",0,2
19,33,"ovca","sheep",0,2
19,34,"pas","dog",1,2
19,35,"patka","duck",0,2
19,37,"pijetao","rooster",0,2
19,38,"pile","chicken",1,2
19,40,"prase","pig",0,2
19,44,"slon","elephant",0,2
19,45,"sova","owl",0,2
19,47,"tigar","tiger",0,2
19,48,"vjeverica","squirrel",0,2
19,49,"vrabac","sparrow",1,2
19,53,"žaba","frog",0,2
19,57,"autobus","bus",0,1
19,58,"avion","airplane",0,1
19,60,"brod","boat",0,0
19,62,"kamion","truck",0,1
19,64,"motor","motorcycle",0,0
19,66,"traktor","tractor",0,1
19,69,"vlak","train",0,0
19,70,"balon","balloon",0,1
19,74,"igračka","toy",0,0
19,75,"knjiga","book",0,0
19,78,"lopatica","shovel",0,0
19,79,"lopta","ball",1,0
19,80,"lutka","doll",0,0
19,97,"grašak","peas",0,0
19,104,"jabuka","apple",0,0
19,114,"koka","chicken",1,2
19,116,"kolač","cake",0,0
19,119,"kruh","bread",0,1
19,120,"krumpir","potato",0,1
19,131,"naranča","orange",0,0
19,144,"sir","cheese",0,1
19,150,"špinat","spinach",0,0
19,158,"čizme","boots",0,1
19,161,"haljina","dress",0,0
19,162,"hlače","pants",0,2
19,164,"jakna","jacket",0,0
19,166,"kaput","coat",0,0
19,173,"pidžama","pajamas",0,0
19,176,"rukavice","gloves",0,0
19,178,"šal","scarf",0,0
19,212,"boca","bottle",0,0
19,216,"čekić","hammer",0,0
19,217,"češalj","comb",0,0
19,218,"četka","brush",0,0
19,223,"jastuk","pillow",0,1
19,231,"kutija","box",0,1
19,237,"metla","broom",0,0
19,241,"nož","knife",0,0
19,243,"radio","radio",0,0
19,247,"sat","clock",0,0
19,252,"šalica","cup",0,0
19,253,"škare","scissors",0,0
19,254,"tanjur","plate",0,1
19,255,"telefon","telephone",0,0
19,257,"vilica","fork",0,0
19,260,"žlica","spoon",0,0
19,264,"garaža","garage",0,1
19,267,"kada","bathtub",0,1
19,268,"kauč","couch",0,2
19,271,"krevet","bed",0,0
19,284,"stol","table",0,2
19,285,"stolica","chair",0,2
19,287,"štednjak","stove",0,0
19,292,"vrata","door",0,0
19,298,"kamen","rock",0,0
19,301,"lopata","shovel",0,0
20,14,"guska","goose",0,35
20,17,"konj","horse",1,33
20,19,"koza","goat",0,32
20,23,"lav","lion",0,32
20,24,"leptir","butterfly",0,20
20,25,"lisica","fox",0,33
20,27,"magarac","donkey",0,32
20,31,"miš","mouse",1,32
20,33,"ovca","sheep",0,32
20,35,"patka","duck",0,35
20,37,"pijetao","rooster",0,35
20,40,"prase","pig",0,35
20,44,"slon","elephant",0,32
20,45,"sova","owl",0,32
20,47,"tigar","tiger",0,32
20,48,"vjeverica","squirrel",0,33
20,53,"žaba","frog",0,35
20,57,"autobus","bus",0,21
20,58,"avion","airplane",0,23
20,60,"brod","boat",0,6
20,62,"kamion","truck",0,6
20,64,"motor","motorcycle",0,15
20,66,"traktor","tractor",0,21
20,69,"vlak","train",0,13
20,70,"balon","balloon",0,11
20,74,"igračka","toy",0,2
20,75,"knjiga","book",1,0
20,78,"lopatica","shovel",0,0
20,80,"lutka","doll",0,7
20,97,"grašak","peas",0,22
20,104,"jabuka","apple",1,5
20,116,"kolač","cake",0,15
20,119,"kruh","bread",1,20
20,120,"krumpir","potato",0,20
20,131,"naranča","orange",0,5
20,144,"sir","cheese",0,22
20,150,"špinat","spinach",0,15
20,158,"čizme","boots",0,8
20,161,"haljina","dress",0,6
20,162,"hlače","pants",0,33
20,164,"jakna","jacket",1,3
20,166,"kaput","coat",0,6
20,173,"pidžama","pajamas",0,3
20,176,"rukavice","gloves",0,0
20,178,"šal","scarf",0,6
20,212,"boca","bottle",0,3
20,216,"čekić","hammer",0,12
20,217,"češalj","comb",0,8
20,218,"četka","brush",0,0
20,223,"jastuk","pillow",0,8
20,231,"kutija","box",0,10
20,237,"metla","broom",0,3
20,241,"nož","knife",0,0
20,243,"radio","radio",0,0
20,247,"sat","clock",1,5
20,252,"šalica","cup",0,3
20,253,"škare","scissors",0,0
20,254,"tanjur","plate",0,10
20,255,"telefon","telephone",1,0
20,257,"vilica","fork",0,0
20,260,"žlica","spoon",1,0
20,264,"garaža","garage",0,6
20,267,"kada","bathtub",0,7
20,268,"kauč","couch",0,30
20,271,"krevet","bed",0,3
20,284,"stol","table",0,32
20,285,"stolica","chair",0,27
20,287,"štednjak","stove",0,0
20,292,"vrata","door",1,0
20,298,"kamen","rock",0,2
20,301,"lopata","shovel",0,0
21,14,"guska","goose",0,75
21,19,"koza","goat",0,69
21,23,"lav","lion",0,63
21,24,"leptir","butterfly",0,52
21,25,"lisica","fox",0,70
21,27,"magarac","donkey",0,69
21,33,"ovca","sheep",0,69
21,35,"patka","duck",1,75
21,37,"pijetao","rooster",0,79
21,40,"prase","pig",0,75
21,44,"slon","elephant",0,63
21,45,"sova","owl",0,69
21,47,"tigar","tiger",0,63
21,48,"vjeverica","squirrel",0,72
21,53,"žaba","frog",0,73
21,57,"autobus","bus",0,47
21,58,"avion","airplane",0,47
21,60,"brod","boat",0,29
21,62,"kamion","truck",0,19
21,64,"motor","motorcycle",0,34
21,66,"traktor","tractor",0,50
21,69,"vlak","train",0,32
21,70,"balon","balloon",1,46
21,74,"igračka","toy",0,5
21,78,"lopatica","shovel",0,3
21,80,"lutka","doll",0,12
21,97,"grašak","peas",0,58
21,116,"kolač","cake",0,34
21,120,"krumpir","potato",0,42
21,131,"naranča","orange",0,19
21,144,"sir","cheese",0,55
21,150,"špinat","spinach",0,34
21,158,"čizme","boots",0,23
21,161,"haljina","dress",0,17
21,162,"hlače","pants",0,68
21,166,"kaput","coat",0,20
21,173,"pidžama","pajamas",0,15
21,176,"rukavice","gloves",0,3
21,178,"šal","scarf",0,23
21,212,"boca","bottle",0,15
21,216,"čekić","hammer",0,21
21,217,"češalj","comb",0,32
21,218,"četka","brush",0,6
21,223,"jastuk","pillow",0,28
21,231,"kutija","box",0,40
21,237,"metla","broom",0,12
21,241,"nož","knife",0,3
21,243,"radio","radio",0,7
21,252,"šalica","cup",0,17
21,253,"škare","scissors",0,6
21,254,"tanjur","plate",0,46
21,257,"vilica","fork",0,6
21,264,"garaža","garage",0,22
21,267,"kada","bathtub",0,35
21,268,"kauč","couch",0,63
21,271,"krevet","bed",0,15
21,284,"stol","table",0,70
21,285,"stolica","chair",0,51
21,287,"štednjak","stove",0,7
21,298,"kamen","rock",0,13
21,301,"lopata","shovel",0,3
22,14,"guska","goose",0,108
22,19,"koza","goat",0,90
22,23,"lav","lion",0,93
22,24,"leptir","butterfly",0,81
22,25,"lisica","fox",0,92
22,27,"magarac","donkey",0,90
22,33,"ovca","sheep",0,90
22,37,"pijetao","rooster",0,103
22,40,"prase","pig",0,98
22,44,"slon","elephant",0,93
22,45,"sova","owl",0,90
22,47,"tigar","tiger",0,93
22,48,"vjeverica","squirrel",0,94
22,53,"žaba","frog",0,96
22,57,"autobus","bus",0,67
22,58,"avion","airplane",1,76
22,60,"brod","boat",0,45
22,62,"kamion","truck",0,34
22,64,"motor","motorcycle",0,40
22,66,"traktor","tractor",1,71
22,69,"vlak","train",0,38
22,74,"igračka","toy",0,16
22,78,"lopatica","shovel",0,4
22,80,"lutka","doll",1,24
22,97,"grašak","peas",0,88
22,116,"kolač","cake",0,50
22,120,"krumpir","potato",0,60
22,131,"naranča","orange",0,34
22,144,"sir","cheese",0,75
22,150,"špinat","spinach",0,50
22,158,"čizme","boots",0,39
22,161,"haljina","dress",0,32
22,162,"hlače","pants",0,92
22,166,"kaput","coat",0,36
22,173,"pidžama","pajamas",0,19
22,176,"rukavice","gloves",0,4
22,178,"šal","scarf",0,39
22,212,"boca","bottle",0,30
22,216,"čekić","hammer",0,24
22,217,"češalj","comb",0,49
22,218,"četka","brush",0,18
22,223,"jastuk","pillow",0,34
22,231,"kutija","box",0,58
22,237,"metla","broom",0,26
22,241,"nož","knife",0,4
22,243,"radio","radio",0,9
22,252,"šalica","cup",0,32
22,253,"škare","scissors",0,18
22,254,"tanjur","plate",0,67
22,257,"vilica","fork",0,18
22,264,"garaža","garage",0,38
22,267,"kada","bathtub",1,52
22,268,"kauč","couch",0,85
22,271,"krevet","bed",1,19
22,284,"stol","table",1,94
22,285,"stolica","chair",1,60
22,287,"štednjak","stove",0,9
22,298,"kamen","rock",0,15
22,301,"lopata","shovel",0,4
23,14,"guska","goose",1,177
23,19,"koza","goat",0,152
23,23,"lav","lion",1,157
23,24,"leptir","butterfly",0,123
23,25,"lisica","fox",0,173
23,27,"magarac","donkey",0,144
23,33,"ovca","sheep",0,152
23,37,"pijetao","rooster",0,169
23,40,"prase","pig",1,155
23,44,"slon","elephant",0,183
23,45,"sova","owl",0,130
23,47,"tigar","tiger",0,157
23,48,"vjeverica","squirrel",0,162
23,53,"žaba","frog",1,153
23,57,"autobus","bus",0,130
23,60,"brod","boat",1,113
23,62,"kamion","truck",1,84
23,64,"motor","motorcycle",1,83
23,69,"vlak","train",1,86
23,74,"igračka","toy",0,27
23,78,"lopatica","shovel",0,37
23,97,"grašak","peas",0,143
23,116,"kolač","cake",1,66
23,120,"krumpir","potato",0,81
23,131,"naranča","orange",1,63
23,144,"sir","cheese",1,126
23,150,"špinat","spinach",0,66
23,158,"čizme","boots",0,55
23,161,"haljina","dress",0,46
23,162,"hlače","pants",1,155
23,166,"kaput","coat",0,55
23,173,"pidžama","pajamas",0,41
23,176,"rukavice","gloves",0,5
23,178,"šal","scarf",1,60
23,212,"boca","bottle",1,44
23,216,"čekić","hammer",0,91
23,217,"češalj","comb",0,103
23,218,"četka","brush",0,64
23,223,"jastuk","pillow",0,69
23,231,"kutija","box",0,144
23,237,"metla","broom",1,68
23,241,"nož","knife",1,52
23,243,"radio","radio",0,10
23,252,"šalica","cup",0,77
23,253,"škare","scissors",1,56
23,254,"tanjur","plate",0,124
23,257,"vilica","fork",0,56
23,264,"garaža","garage",0,122
23,268,"kauč","couch",0,183
23,287,"štednjak","stove",1,58
23,298,"kamen","rock",0,27
23,301,"lopata","shovel",0,37
24,19,"koza","goat",1,349
24,24,"leptir","butterfly",1,263
24,25,"lisica","fox",1,414
24,27,"magarac","donkey",0,319
24,33,"ovca","sheep",1,349
24,37,"pijetao","rooster",0,378
24,44,"slon","elephant",1,398
24,45,"sova","owl",0,283
24,47,"tigar","tiger",0,403
24,48,"vjeverica","squirrel",0,394
24,57,"autobus","bus",1,330
24,74,"igračka","toy",0,55
24,78,"lopatica","shovel",0,128
24,97,"grašak","peas",0,348
24,120,"krumpir","potato",1,199
24,150,"špinat","spinach",0,203
24,158,"čizme","boots",1,130
24,161,"haljina","dress",0,120
24,166,"kaput","coat",0,135
24,173,"pidžama","pajamas",1,110
24,176,"rukavice","gloves",1,35
24,216,"čekić","hammer",0,253
24,217,"češalj","comb",1,308
24,218,"četka","brush",0,197
24,223,"jastuk","pillow",1,157
24,231,"kutija","box",0,324
24,243,"radio","radio",1,25
24,252,"šalica","cup",1,212
24,254,"tanjur","plate",1,300
24,257,"vilica","fork",1,169
24,264,"garaža","garage",0,284
24,268,"kauč","couch",0,427
24,298,"kamen","rock",1,83
24,301,"lopata","shovel",0,128
25,27,"magarac","donkey",0,564
25,37,"pijetao","rooster",0,683
25,45,"sova","owl",0,524
25,47,"tigar","tiger",0,697
25,48,"vjeverica","squirrel",0,706
25,74,"igračka","toy",1,73
25,78,"lopatica","shovel",0,232
25,97,"grašak","peas",0,596
25,150,"špinat","spinach",0,283
25,161,"haljina","dress",1,267
25,166,"kaput","coat",0,290
25,216,"čekić","hammer",1,418
25,218,"četka","brush",0,360
25,231,"kutija","box",1,582
