"month","item","definition","uni_lemma","learned","value"
17,13,"buba","bug",0,2
17,14,"guska","goose",0,2
17,16,"koka","hen",0,7
17,17,"konj","horse",0,4
17,19,"koza","goat",0,1
17,20,"krava","cow",0,6
17,23,"lav","lion",0,2
17,24,"leptir","butterfly",0,0
17,25,"lisica","fox",0,1
17,26,"mačka","cat",0,9
17,27,"magarac","donkey",0,1
17,28,"majmun","monkey",0,2
17,31,"miš","mouse",0,4
17,33,"ovca","sheep",0,1
17,34,"pas","dog",0,9
17,35,"patka","duck",0,1
17,36,"pčela","bee",0,0
17,37,"pijetao","rooster",0,5
17,38,"pile","chicken (animal)",0,14
17,40,"prase","pig",0,2
17,41,"ptica","bird",0,13
17,43,"riba (animal)","fish (animal)",0,4
17,44,"slon","elephant",0,0
17,45,"sova","owl",0,0
17,47,"tigar","tiger",0,1
17,48,"vjeverica","squirrel",0,1
17,49,"vrabac","sparrow",0,0
17,50,"vuk","wolf",0,1
17,52,"zeko","bunny",0,1
17,53,"žaba","frog",0,0
17,55,"životinja","animal",0,20
17,56,"auto","car",0,11
17,57,"autobus","bus",0,3
17,58,"avion","airplane",0,0
17,59,"bicikl","bicycle",0,1
17,60,"brod","boat",0,3
17,62,"kamion","truck",0,3
17,63,"kolica","stroller",0,0
17,64,"motor","motorcycle",0,1
17,66,"traktor","tractor",0,0
17,69,"vlak","train",0,3
17,70,"balon","balloon",0,0
17,74,"igračka","toy (object)",0,4
17,75,"knjiga","book",0,2
17,76,"kocka","block",0,0
17,78,"lopatica","shovel",0,0
17,79,"lopta","ball",0,3
17,80,"lutka","doll",0,1
17,88,"banana","banana",0,2
17,90,"bombon","candy",0,3
17,92,"čaj","tea",0,1
17,94,"čokolada","chocolate",0,6
17,95,"čokolino","cheerios",0,0
17,97,"grašak","peas",0,2
17,104,"jabuka","apple",0,4
17,106,"jaje","egg",0,2
17,107,"jogurt","yogurt",0,1
17,108,"juha","soup",0,9
17,111,"keks","cookie",0,2
17,114,"koka (piletina)","chicken (food)",0,14
17,116,"kolač","cake",0,3
17,119,"kruh","bread",0,2
17,120,"krumpir","potato",0,2
17,128,"meso","meat",0,7
17,129,"mlijeko","milk",0,9
17,130,"mrkve","carrots",0,1
17,131,"naranča","orange (food)",0,5
17,140,"riba (food)","fish (food)",0,4
17,144,"sir","cheese",0,4
17,145,"sladole","ice cream",0,4
17,146,"sok","juice",0,2
17,150,"špinat","spinach",0,0
17,151,"tijesto","pasta",0,0
17,154,"voda (beverage)","water (beverage)",0,42
17,156,"cipela","shoe",1,3
17,157,"čarapa","sock",0,1
17,158,"čizme","boots",0,0
17,160,"gumb","button",0,0
17,161,"haljina","dress (object)",0,5
17,162,"hlače","pants",0,3
17,164,"jakna","jacket",0,2
17,165,"kapa","hat",0,5
17,166,"kaput","coat",0,5
