"month","item","definition","uni_lemma","learned","value"
17,13,"buba","bug",0,42
17,14,"guska","goose",0,20
17,15,"jelen",NA,0,6
17,16,"koka","hen",0,114
17,17,"konj","horse",0,42
17,18,"kornjača",NA,0,2
17,19,"koza","goat",0,49
17,20,"krava","cow",0,37
17,21,"krokodil",NA,0,0
17,23,"lav","lion",0,34
17,24,"leptir","butterfly",0,2
17,25,"lisica","fox",0,13
17,26,"mačka","cat",0,6
17,27,"magarac","donkey",0,1
17,28,"majmun","monkey",0,0
17,29,"medo (igračka)","teddybear",0,20
17,30,"medvjed (životinja)",NA,0,0
17,31,"miš","mouse",0,28
17,32,"mrav",NA,0,25
17,33,"ovca","sheep",0,25
17,34,"pas","dog",0,37
17,35,"patka","duck",0,33
17,36,"pčela","bee",0,5
17,37,"pijetao","rooster",0,2
17,38,"pile","chicken (animal)",0,20
17,39,"pingvin",NA,0,0
17,40,"prase","pig",0,12
17,41,"ptica","bird",0,10
17,43,"riba (animal)","fish (animal)",0,82
17,44,"slon","elephant",0,25
17,45,"sova","owl",0,53
17,46,"srna",NA,0,11
17,47,"tigar","tiger",0,6
17,48,"vjeverica","squirrel",0,0
17,49,"vrabac","sparrow",0,3
17,50,"vuk","wolf",0,41
17,52,"zeko","bunny",0,20
17,53,"žaba","frog",0,46
17,54,"žirafa",NA,0,1
17,55,"životinja","animal",0,0
17,56,"auto","car",0,19
17,57,"autobus","bus",0,1
17,58,"avion","airplane",0,8
17,59,"bicikl","bicycle",0,0
17,60,"brod","boat",0,24
17,61,"helikopter",NA,0,0
17,62,"kamion","truck",0,6
17,63,"kolica","stroller",0,40
17,64,"motor","motorcycle",0,10
17,65,"sanjke",NA,0,6
17,66,"traktor","tractor",0,0
17,67,"tramvaj","tram",0,1
17,69,"vlak","train",0,22
17,70,"balon","balloon",0,14
17,71,"bojica",NA,0,15
17,73,"igra",NA,0,34
17,74,"igračka","toy (object)",0,1
17,75,"knjiga","book",0,21
17,76,"kocka","block",0,19
17,78,"lopatica","shovel",0,10
17,79,"lopta","ball",0,26
17,80,"lutka","doll",0,29
17,81,"ljepilo",NA,0,0
17,82,"olovka","pen/pencil",0,9
17,85,"poklon",NA,0,4
17,86,"slagalice (puzzle)",NA,0,0
17,87,"slikovnica",NA,0,0
17,88,"banana","banana",0,6
17,90,"bombon","candy",0,4
17,92,"čaj","tea",0,7
17,93,"čips",NA,0,3
17,94,"čokolada","chocolate",0,1
17,95,"čokolino","cheerios",0,1
17,96,"grah",NA,0,22
17,97,"grašak","peas",0,7
17,98,"griz","semolina",0,15
17,99,"grožđe",NA,0,0
17,103,"hrenovke",NA,0,0
17,104,"jabuka","apple",0,6
17,105,"jagoda",NA,0,8
17,106,"jaje","egg",0,4
17,107,"jogurt","yogurt",0,0
17,108,"juha","soup",0,42
17,110,"kava",NA,0,56
17,111,"keks","cookie",0,25
17,113,"kobasica",NA,0,8
17,114,"koka (piletina)","chicken (food)",0,114
17,115,"kokice",NA,0,5
17,116,"kolač","cake",0,18
17,117,"krafna",NA,0,10
17,118,"krastavac",NA,0,0
17,119,"kruh","bread",0,28
17,120,"krumpir","potato",0,0
17,121,"kruška",NA,0,15
17,123,"lizalica",NA,0,6
17,125,"marmelada",NA,0,0
17,126,"maslac",NA,0,3
17,127,"med",NA,0,32
17,128,"meso","meat",0,20
17,129,"mlijeko","milk",0,1
17,130,"mrkve","carrots",0,3
17,131,"naranča","orange (food)",0,0
17,134,"palačinka",NA,0,0
17,135,"pecivo",NA,0,0
17,136,"piće",NA,0,8
17,137,"pizza",NA,0,13
17,139,"puding",NA,0,0
17,140,"riba (food)","fish (food)",0,82
17,141,"salama",NA,0,4
17,142,"salata",NA,0,10
17,143,"sendvič",NA,0,0
17,144,"sir","cheese",0,34
17,145,"sladole","ice cream",0,0
17,146,"sok","juice",0,45
17,147,"sol",NA,0,40
17,148,"šećer",NA,0,2
17,149,"špageti",NA,0,0
17,150,"špinat","spinach",0,0
17,151,"tijesto","pasta",0,1
17,152,"trešnja",NA,0,5
17,154,"voda (beverage)","water (beverage)",0,100
17,155,"žvaka (žvakaća guma)",NA,0,27
17,156,"cipela","shoe",1,0
17,157,"čarapa","sock",0,1
17,158,"čizme","boots",0,1
17,159,"gaćice","underpants",0,0
17,160,"gumb","button",0,12
17,161,"haljina","dress (object)",0,2
17,162,"hlače","pants",0,1
17,164,"jakna","jacket",0,18
17,165,"kapa","hat",0,58
17,166,"kaput","coat",0,12
17,168,"lančić",NA,0,1
17,169,"majica","t-shirt",0,10
17,171,"papuče","slipper",0,2
17,172,"pelena","diaper",0,3
17,173,"pidžama","pajamas",0,0
17,175,"rupčić","handkerchief",0,1
17,176,"rukavice","gloves",0,0
17,178,"šal","scarf",0,32
17,179,"štramplice",NA,0,0
17,180,"tenisice",NA,0,0
17,181,"traperice",NA,0,0
17,182,"trenirka",NA,0,0
17,184,"brada",NA,0,29
17,185,"glava","head",0,23
17,187,"guza","butt",0,42
17,188,"jezik","tongue",0,1
17,189,"koljeno","knee",0,0
17,190,"kosa","hair",0,57
17,191,"lice","face",0,13
17,192,"noga","leg",0,41
17,193,"nos","nose",0,42
17,195,"oko","eye",1,46
17,196,"palac","thumb",0,9
17,197,"penis","penis",0,4
17,198,"prst","finger",0,13
17,199,"pupak","belly button",0,11
17,201,"ruka","arm",0,52
17,204,"trbuh","tummy",0,2
17,205,"uho","ear",0,36
17,207,"usta","mouth",0,48
17,209,"vrat",NA,0,25
17,210,"zub","tooth",0,32
17,212,"boca","bottle",0,35
17,213,"bočica (s dudom)","pacifier",0,6
17,214,"čaša","glass",0,21
17,216,"čekić","hammer",0,0
17,217,"češalj","comb (object)",0,4
17,218,"četka","brush (object)",0,8
17,219,"četkica za zube","toothbrush",0,0
17,222,"igla",NA,0,38
17,223,"jastuk","pillow",0,1
17,225,"kantica",NA,0,7
17,226,"kanta (za smeće)",NA,0,29
17,227,"ključevi","keys",0,0
17,228,"kolica",NA,0,40
17,229,"košara",NA,0,8
