"month","item","definition","uni_lemma","learned","value"
16,13,"abe","monkey",0,97
16,14,"gås","goose",0,93
16,15,"løve","lion",0,44
16,16,"and","duck",0,90
16,17,"hane",NA,0,65
16,18,"mus","mouse",0,94
16,19,"bamse","teddybear",0,14
16,20,"hest","horse",0,42
16,21,"myg",NA,0,72
16,22,"bi","bee",0,79
16,24,"myre",NA,0,29
16,25,"bjørn","bear",0,9
16,26,"hvalp","puppy",0,40
16,27,"pingvin","penguin",0,2
16,28,"dyr","animal",0,70
16,29,"hund","dog",0,81
16,31,"egern","squirrel",0,4
16,32,"høne",NA,0,60
16,33,"skildpadde","turtle",0,0
16,34,"elefant","elephant",0,1
16,36,"sommerfugl","butterfly",0,1
16,37,"fisk (animal)","fish (animal)",0,84
16,38,"kanin","bunny",0,18
16,39,"tiger","tiger",0,23
16,40,"flue","fly (animal)",0,61
16,41,"kat","cat",0,102
16,42,"ugle","owl",0,110
16,43,"frø","frog",0,81
16,44,"killing","kitty",0,18
16,45,"ulv",NA,0,88
16,46,"fugl","bird",0,95
16,47,"ko","cow",0,92
16,48,"zebra",NA,0,3
16,49,"får","sheep",0,90
16,50,"krokodille",NA,0,0
16,51,"æsel","donkey",0,25
16,52,"giraf","giraffe",0,4
16,53,"kylling (animal)","chicken (animal)",0,30
16,54,"gris","pig",0,31
16,55,"lam","lamb",0,78
16,56,"barnevogn","stroller",0,0
16,57,"flyvemaskine","airplane",0,0
16,58,"motorcykel","motorcycle",0,0
16,59,"bil","car",0,94
16,60,"helikopter","helicopter",0,0
16,61,"skib",NA,0,44
16,62,"brandbil","firetruck",0,0
16,63,"klapvogn","stroller",0,0
16,64,"tog","train",0,78
16,65,"bus","bus",0,98
16,66,"kælk",NA,0,110
16,67,"traktor","tractor",0,4
16,68,"cykel","bicycle",0,20
16,69,"lastbil","truck",0,0
16,70,"ballon","balloon",0,20
16,72,"legetøj","toy (object)",0,0
16,73,"blyant","pen/pencil",0,4
16,74,"gave",NA,0,48
16,75,"lego",NA,0,27
16,76,"bog","book",0,76
16,77,"historie",NA,0,0
16,78,"puslespil",NA,0,0
16,79,"bold","ball",0,42
16,80,"klods","block",0,58
16,81,"spil",NA,0,41
16,82,"dukke","doll",0,47
16,83,"kridt",NA,0,41
16,84,"sæbebobler","bubbles",0,0
16,86,"kuglepen","pen/pencil",0,0
16,87,"modellérvoks",NA,0,0
16,88,"agurk",NA,0,1
16,89,"kiks","cracker",0,50
16,91,"appelsin","orange (food)",0,0
16,93,"slik","candy",0,56
16,94,"banan","banana",0,15
16,95,"kylling (food)","chicken (food)",0,30
16,96,"slikkepind",NA,0,0
16,97,"boller","bun",0,57
16,98,"kød","meat",0,96
16,99,"smør","butter",0,38
16,100,"burger",NA,0,43
16,101,"leverpostej",NA,0,0
16,102,"småkager",NA,0,2
16,103,"brød","bread",0,34
16,104,"mad","food",1,88
16,105,"sodavand",NA,0,0
16,106,"bønner",NA,0,59
16,107,"melon",NA,0,8
16,108,"sovs",NA,0,51
16,109,"chips",NA,0,0
16,110,"mælk","milk",0,38
16,111,"spaghetti","pasta",0,0
16,112,"chokolade",NA,0,0
