"month","item","definition","uni_lemma","learned","value"
16,13,"alligator","alligator",0,51
16,15,"ant","ant",0,28
16,16,"bear","bear",0,56
16,21,"butterfly","butterfly",0,44
16,22,"cat","cat",0,33
16,23,"chicken","chicken",0,52
16,24,"cow","cow",0,52
16,25,"deer","deer",0,51
16,26,"dog","dog",1,34
16,27,"donkey","donkey",0,42
16,28,"duck","duck",0,42
16,29,"elephant","elephant",0,44
16,31,"frog","frog",0,40
16,32,"giraffe","giraffe",0,48
16,33,"goose","goose",0,54
16,35,"horse","horse",0,51
16,37,"lamb","lamb",0,51
16,38,"lion","lion",0,44
16,40,"moose","moose",0,48
16,41,"mouse","mouse",0,48
16,42,"owl","owl",0,37
16,43,"penguin","penguin",0,49
16,44,"pig","pig",0,44
16,45,"pony","pony",0,50
16,47,"rooster","rooster",0,51
16,48,"sheep","sheep",0,42
16,49,"squirrel","squirrel",0,54
16,51,"tiger","tiger",0,49
16,52,"turkey","turkey",0,51
16,53,"turtle","turtle",0,57
16,55,"zebra","zebra",0,41
16,56,"airplane","airplane",0,48
16,58,"boat","boat",0,38
16,59,"bus","bus",0,37
16,60,"car","car",0,33
16,62,"helicopter","helicopter",0,28
16,63,"motorcycle","motorcycle",0,25
16,64,"sled","sled",0,56
16,66,"tractor","tractor",0,54
16,67,"train","train",0,29
16,68,"tricycle","tricycle",0,48
16,69,"truck","truck",0,26
16,70,"ball","ball",1,38
16,71,"balloon","balloon",0,61
16,74,"book","book",1,2
16,77,"crayon","crayon",0,27
16,78,"doll","doll",0,13
16,81,"pen","pen",0,58
16,82,"pencil","pencil",0,35
16,87,"toy","toy",0,9
16,88,"apple","apple",0,34
16,90,"banana","banana",1,53
16,91,"beans","beans",0,48
16,92,"bread","bread",0,40
16,94,"cake","cake",0,21
16,99,"cheese","cheese",0,44
16,100,"chicken","chicken",0,52
16,105,"corn","corn",0,28
16,129,"orange","orange",0,23
16,131,"peas","peas",0,52
16,133,"pickle","pickle",0,36
16,138,"potato","potato",0,30
16,141,"pumpkin","pumpkin",0,39
16,142,"raisin","raisin",0,48
16,149,"strawberry","strawberry",0,42
16,157,"belt","belt",0,22
16,159,"boots","boots",0,40
16,161,"coat","coat",0,33
16,163,"dress","dress",0,31
16,164,"gloves","gloves",0,12
16,166,"jacket","jacket",0,26
16,167,"jeans","jeans",0,28
16,168,"mittens","mittens",0,14
16,169,"necklace","necklace",0,16
16,170,"pajamas","pajamas",0,21
16,171,"pants","pants",0,50
16,173,"shirt","shirt",0,26
16,180,"sweater","sweater",0,24
16,211,"basket","basket",0,21
16,213,"bottle","bottle",0,28
16,214,"bowl","bowl",0,43
16,215,"box","box",0,54
16,216,"broom","broom",0,38
16,217,"brush","brush",0,33
16,218,"bucket","bucket",0,39
16,221,"clock","clock",0,19
16,222,"comb","comb",0,63
16,223,"cup","cup",0,40
16,224,"dish","dish",0,42
16,225,"fork","fork",0,32
16,229,"hammer","hammer",0,37
16,230,"jar","jar",0,20
16,232,"knife","knife",0,34
16,233,"lamp","lamp",0,11
16,239,"napkin","napkin",0,43
16,243,"pillow","pillow",0,22
16,245,"plate","plate",0,49
16,247,"radio","radio",0,4
16,248,"scissors","scissors",0,34
16,250,"spoon","spoon",0,37
16,252,"telephone","telephone",0,26
16,263,"bathtub","bathtub",0,41
16,264,"bed","bed",0,18
16,265,"bedroom","bedroom",0,17
16,267,"chair","chair",0,41
16,268,"closet","closet",0,20
16,269,"couch","couch",0,55
16,271,"door","door",0,29
16,274,"garage","garage",0,31
16,278,"oven","oven",0,29
16,286,"sink","sink",0,26
16,289,"stove","stove",0,27
16,290,"table","table",0,57
16,300,"hose","hose",0,38
16,306,"rock","rock",0,13
16,309,"shovel","shovel",0,22
16,317,"stick","stick",0,29
17,13,"alligator","alligator",0,51
17,15,"ant","ant",0,28
17,16,"bear","bear",0,56
17,21,"butterfly","butterfly",0,44
17,22,"cat","cat",0,33
17,23,"chicken","chicken",0,52
17,24,"cow","cow",0,52
17,25,"deer","deer",0,51
17,27,"donkey","donkey",0,42
17,28,"duck","duck",1,42
17,29,"elephant","elephant",0,44
17,31,"frog","frog",0,40
17,32,"giraffe","giraffe",0,48
17,33,"goose","goose",0,54
17,35,"horse","horse",0,51
17,37,"lamb","lamb",0,51
17,38,"lion","lion",0,44
17,40,"moose","moose",0,48
17,41,"mouse","mouse",0,48
17,42,"owl","owl",0,37
17,43,"penguin","penguin",0,49
17,44,"pig","pig",0,44
17,45,"pony","pony",0,50
17,47,"rooster","rooster",0,51
17,48,"sheep","sheep",0,42
17,49,"squirrel","squirrel",0,54
17,51,"tiger","tiger",0,49
17,52,"turkey","turkey",0,51
17,53,"turtle","turtle",0,57
17,55,"zebra","zebra",0,41
17,56,"airplane","airplane",0,48
17,58,"boat","boat",0,38
17,59,"bus","bus",0,37
17,60,"car","car",0,33
17,62,"helicopter","helicopter",0,28
17,63,"motorcycle","motorcycle",0,25
17,64,"sled","sled",0,56
17,66,"tractor","tractor",0,54
17,67,"train","train",0,29
17,68,"tricycle","tricycle",0,48
17,69,"truck","truck",0,26
17,71,"balloon","balloon",0,61
17,77,"crayon","crayon",0,27
17,78,"doll","doll",0,13
17,81,"pen","pen",0,58
17,82,"pencil","pencil",0,35
17,87,"toy","toy",0,9
17,88,"apple","apple",0,34
17,91,"beans","beans",0,48
17,92,"bread","bread",0,40
17,94,"cake","cake",0,21
17,99,"cheese","cheese",0,44
