"month","item","definition","uni_lemma","learned","value"
16,13,"alligator","alligator",0,47
16,15,"ant","ant",0,27
16,16,"bear","bear",0,53
16,21,"butterfly","butterfly",0,40
16,22,"cat","cat",0,31
16,24,"cow","cow",0,50
16,25,"deer","deer",0,49
16,26,"dog","dog",1,32
16,27,"donkey","donkey",0,39
16,28,"duck","duck",0,40
16,29,"elephant","elephant",0,41
16,31,"frog","frog",0,38
16,32,"giraffe","giraffe",0,45
16,33,"goose","goose",0,52
16,35,"horse","horse",0,49
16,37,"lamb","lamb",0,49
16,38,"lion","lion",0,41
16,40,"moose","moose",0,46
16,41,"mouse","mouse",0,44
16,42,"owl","owl",0,35
16,43,"penguin","penguin",0,46
16,44,"pig","pig",0,42
16,45,"pony","pony",0,46
16,47,"rooster","rooster",0,49
16,48,"sheep","sheep",0,40
16,49,"squirrel","squirrel",0,50
16,51,"tiger","tiger",0,45
16,52,"turkey","turkey",0,49
16,53,"turtle","turtle",0,53
16,55,"zebra","zebra",0,39
16,56,"airplane","airplane",0,44
16,58,"boat","boat",0,36
16,59,"bus","bus",0,35
16,60,"car","car",0,31
16,62,"helicopter","helicopter",0,24
16,63,"motorcycle","motorcycle",0,22
16,64,"sled","sled",0,52
16,66,"tractor","tractor",0,50
16,67,"train","train",0,25
16,68,"tricycle","tricycle",0,45
16,69,"truck","truck",0,25
16,70,"ball","ball",1,33
16,71,"balloon","balloon",0,56
16,74,"book","book",1,2
16,77,"crayon","crayon",0,24
16,78,"doll","doll",0,12
16,81,"pen","pen",0,54
16,82,"pencil","pencil",0,33
16,88,"apple","apple",0,33
16,90,"banana","banana",1,49
16,91,"beans","beans",0,45
16,92,"bread","bread",0,38
16,94,"cake","cake",0,18
16,99,"cheese","cheese",0,40
16,105,"corn","corn",0,25
16,131,"peas","peas",0,48
16,133,"pickle","pickle",0,33
16,138,"potato","potato",0,28
16,141,"pumpkin","pumpkin",0,38
16,142,"raisin","raisin",0,44
16,149,"strawberry","strawberry",0,38
16,157,"belt","belt",0,20
16,159,"boots","boots",0,39
16,161,"coat","coat",0,31
16,164,"gloves","gloves",0,11
16,166,"jacket","jacket",0,24
16,167,"jeans","jeans",0,26
16,168,"mittens","mittens",0,13
16,169,"necklace","necklace",0,14
16,170,"pajamas","pajamas",0,20
16,171,"pants","pants",0,46
16,173,"shirt","shirt",0,24
16,180,"sweater","sweater",0,22
16,211,"basket","basket",0,20
16,213,"bottle","bottle",0,26
16,214,"bowl","bowl",0,39
16,215,"box","box",0,53
16,216,"broom","broom",0,35
16,218,"bucket","bucket",0,36
16,221,"clock","clock",0,18
16,223,"cup","cup",0,37
16,224,"dish","dish",0,38
16,225,"fork","fork",0,30
16,229,"hammer","hammer",0,32
16,230,"jar","jar",0,18
16,232,"knife","knife",0,31
16,233,"lamp","lamp",0,10
16,239,"napkin","napkin",0,40
16,243,"pillow","pillow",0,22
16,245,"plate","plate",0,46
16,247,"radio","radio",0,4
16,248,"scissors","scissors",0,32
16,250,"spoon","spoon",0,35
16,252,"telephone","telephone",0,24
16,263,"bathtub","bathtub",0,38
16,264,"bed","bed",0,18
16,265,"bedroom","bedroom",0,16
16,267,"chair","chair",0,39
16,268,"closet","closet",0,19
16,269,"couch","couch",0,51
16,271,"door","door",0,27
16,274,"garage","garage",0,31
16,278,"oven","oven",0,27
16,286,"sink","sink",0,24
16,289,"stove","stove",0,25
16,290,"table","table",0,54
16,300,"hose","hose",0,34
16,309,"shovel","shovel",0,20
16,317,"stick","stick",0,26
17,13,"alligator","alligator",0,47
17,15,"ant","ant",0,27
17,16,"bear","bear",0,53
17,21,"butterfly","butterfly",0,40
17,22,"cat","cat",0,31
17,24,"cow","cow",0,50
17,25,"deer","deer",0,49
17,27,"donkey","donkey",0,39
17,28,"duck","duck",1,40
17,29,"elephant","elephant",0,41
17,31,"frog","frog",0,38
17,32,"giraffe","giraffe",0,45
17,33,"goose","goose",0,52
17,35,"horse","horse",0,49
17,37,"lamb","lamb",0,49
17,38,"lion","lion",0,41
17,40,"moose","moose",0,46
17,41,"mouse","mouse",0,44
17,42,"owl","owl",0,35
17,43,"penguin","penguin",0,46
17,44,"pig","pig",0,42
17,45,"pony","pony",0,46
17,47,"rooster","rooster",0,49
17,48,"sheep","sheep",0,40
17,49,"squirrel","squirrel",0,50
17,51,"tiger","tiger",0,45
17,52,"turkey","turkey",0,49
17,53,"turtle","turtle",0,53
17,55,"zebra","zebra",0,39
17,56,"airplane","airplane",0,44
17,58,"boat","boat",0,36
17,59,"bus","bus",0,35
17,60,"car","car",0,31
17,62,"helicopter","helicopter",0,24
17,63,"motorcycle","motorcycle",0,22
17,64,"sled","sled",0,52
17,66,"tractor","tractor",0,50
17,67,"train","train",0,25
17,68,"tricycle","tricycle",0,45
17,69,"truck","truck",0,25
17,71,"balloon","balloon",0,56
17,77,"crayon","crayon",0,24
17,78,"doll","doll",0,12
17,81,"pen","pen",0,54
17,82,"pencil","pencil",0,33
17,88,"apple","apple",0,33
17,91,"beans","beans",0,45
17,92,"bread","bread",0,38
17,94,"cake","cake",0,18
17,99,"cheese","cheese",0,40
17,105,"corn","corn",0,25
17,131,"peas","peas",0,48
17,133,"pickle","pickle",0,33
17,138,"potato","potato",0,28
17,141,"pumpkin","pumpkin",0,38
17,142,"raisin","raisin",0,44
17,149,"strawberry","strawberry",0,38
17,157,"belt","belt",0,20
17,159,"boots","boots",0,39
17,161,"coat","coat",0,31
17,164,"gloves","gloves",0,11
17,166,"jacket","jacket",0,24
17,167,"jeans","jeans",0,26
17,168,"mittens","mittens",0,13
17,169,"necklace","necklace",0,14
17,170,"pajamas","pajamas",0,20
17,171,"pants","pants",0,46
17,173,"shirt","shirt",0,24
17,180,"sweater","sweater",0,22
17,211,"basket","basket",0,20
17,213,"bottle","bottle",0,26
17,214,"bowl","bowl",0,39
17,215,"box","box",0,53
17,216,"broom","broom",0,35
17,218,"bucket","bucket",0,36
17,221,"clock","clock",0,18
17,223,"cup","cup",0,37
17,224,"dish","dish",0,38
17,225,"fork","fork",0,30
17,229,"hammer","hammer",0,32
17,230,"jar","jar",0,18
17,232,"knife","knife",0,31
17,233,"lamp","lamp",0,10
17,239,"napkin","napkin",0,40
17,243,"pillow","pillow",0,22
17,245,"plate","plate",0,46
17,247,"radio","radio",0,4
17,248,"scissors","scissors",0,32
17,250,"spoon","spoon",0,35
17,252,"telephone","telephone",0,24
17,263,"bathtub","bathtub",0,38
17,264,"bed","bed",0,18
17,265,"bedroom","bedroom",0,16
17,267,"chair","chair",0,39
17,268,"closet","closet",0,19
17,269,"couch","couch",0,51
17,271,"door","door",0,27
17,274,"garage","garage",0,31
17,278,"oven","oven",0,27
17,286,"sink","sink",0,24
17,289,"stove","stove",0,25
17,290,"table","table",0,54
17,300,"hose","hose",0,34
17,309,"shovel","shovel",0,20
17,317,"stick","stick",0,26
18,13,"alligator","alligator",0,47
18,15,"ant","ant",0,27
18,16,"bear","bear",1,53
18,21,"butterfly","butterfly",0,40
18,22,"cat","cat",1,31
18,24,"cow","cow",0,50
18,25,"deer","deer",0,49
18,27,"donkey","donkey",0,39
