"month","item","definition","uni_lemma","learned","value","value2"
16,13,"alligator","alligator",0,0,4.74493212836325
16,14,"animal","animal",0,29,5.64897423816121
16,15,"ant","ant",0,1,3.52636052461616
16,16,"bear","bear",0,3,6.25766758788264
16,17,"bee","bee",0,1,4.69134788222914
16,18,"bird","bird",0,11,6.59304453414244
16,19,"bug","bug",0,3,4.92725368515721
16,20,"bunny","bunny",0,1,6.37672694789863
16,21,"butterfly","butterfly",0,0,4.60517018598809
16,22,"cat","cat",0,10,6.93342302573071
16,24,"cow","cow",0,6,6.49677499018586
16,25,"deer","deer",0,1,4.27666611901606
16,26,"dog","dog",1,10,7.33236920592906
16,27,"donkey","donkey",0,2,5.01727983681492
16,28,"duck","duck",0,1,6.4118182677099
16,29,"elephant","elephant",0,2,5.91889385427315
16,31,"frog","frog",0,0,5.59098698051086
16,32,"giraffe","giraffe",0,2,4.83628190695148
16,33,"goose","goose",0,1,4.31748811353631
16,35,"horse","horse",0,7,6.84374994900622
16,36,"kitty","kitty",0,0,6.08221891037645
16,37,"lamb","lamb",0,1,4.9416424226093
16,38,"lion","lion",0,3,6.00141487796115
16,39,"monkey","monkey",0,2,5.94017125272043
16,40,"moose","moose",0,0,2.30258509299405
16,41,"mouse","mouse",0,4,6.08677472691231
16,42,"owl","owl",0,0,4.40671924726425
16,43,"penguin","penguin",0,0,3.73766961828337
16,44,"pig","pig",0,2,6.00388706710654
16,45,"pony","pony",0,1,4.29045944114839
16,46,"puppy","puppy",0,2,4.82028156560504
16,47,"rooster","rooster",0,0,4.11087386417331
16,48,"sheep","sheep",0,1,5.25749537202778
16,49,"squirrel","squirrel",0,2,4.4188406077966
16,51,"tiger","tiger",0,3,6.9555926083963
16,52,"turkey","turkey",0,1,4.72738781871234
16,53,"turtle","turtle",0,0,5.49306144334055
16,54,"wolf","wolf",0,1,4.67282883446191
16,55,"zebra","zebra",0,0,4.7361984483945
16,56,"airplane","airplane",0,1,5.94542060860658
16,57,"bicycle","bicycle",0,3,4.55387689160054
16,58,"boat","boat",0,3,6.19440539110467
16,59,"bus","bus",0,3,6.20657592672493
16,60,"car","car",0,12,7.7445698093545
16,62,"helicopter","helicopter",0,1,4.47733681447821
16,63,"motorcycle","motorcycle",0,1,4.0943445622221
16,64,"sled","sled",0,0,4.02535169073515
16,65,"stroller","stroller",0,0,2.30258509299405
16,66,"tractor","tractor",0,0,5.78074351579233
16,67,"train","train",0,2,6.80682936039218
16,68,"tricycle","tricycle",0,1,3.78418963391826
16,69,"truck","truck",0,3,6.81234509417748
16,70,"ball","ball",1,8,7.02464903045364
16,71,"balloon","balloon",0,0,5.7268477475872
16,72,"bat","bat",0,1,4.27666611901606
16,73,"block","block",0,1,5.605802066296
16,74,"book","book",1,3,7.722677516468
16,75,"bubbles","bubbles",0,0,5.07517381523383
16,76,"chalk","chalk",0,0,4.0943445622221
16,77,"crayon","crayon",0,1,4.87519732320115
16,78,"doll","doll",0,0,5.79605775076537
16,79,"game","game",0,3,6.85646198459459
16,80,"glue","glue",0,2,4.57471097850338
16,81,"pen","pen",0,4,5.91350300563827
16,82,"pencil","pencil",0,3,6.15697898558556
16,84,"present","present",0,2,5.38449506278909
16,85,"puzzle","puzzle",0,0,5.75257263882563
16,86,"story","story",0,0,7.0184017990692
16,88,"apple","apple",0,5,6.07073772800249
16,90,"banana","banana",1,3,5.02388052084628
16,91,"beans","beans",0,1,5.06890420222023
16,92,"bread","bread",0,10,5.96870755998537
16,93,"butter","butter",0,11,6.06378520868761
16,94,"cake","cake",0,6,6.58479139238572
16,95,"candy","candy",0,5,5.52146091786225
16,96,"carrots","carrots",0,1,4.71849887129509
16,97,"cereal","cereal",0,4,5.18738580584075
16,98,"cheerios","cheerios",0,0,3.52636052461616
16,99,"cheese","cheese",0,6,6.20859002609663
16,101,"chocolate","chocolate",0,7,5.87773578177964
16,102,"coffee","coffee",0,2,6.3261494731551
16,103,"coke","coke",0,3,3.63758615972639
16,104,"cookie","cookie",0,4,5.96614673912369
16,105,"corn","corn",0,2,4.969813299576
16,106,"cracker","cracker",0,2,4.99043258677874
16,107,"donut","donut",0,0,1.09861228866811
16,109,"egg","egg",0,3,5.92692602597041
16,111,"food","food",0,37,6.41836493593621
16,115,"gum","gum",0,2,5.06259503302697
16,116,"hamburger","hamburger",0,2,4.29045944114839
16,117,"ice","ice",0,4,6.23244801655052
16,119,"jello","jello",0,1,3.85014760171006
