"month","item","definition","uni_lemma","learned","value"
19,23,"sciarpa","scarf",0,0
19,25,"pigiama","pajamas",0,0
19,27,"pantaloni","pants",0,0
19,31,"maglione","sweater",0,0
19,33,"guanti","gloves",0,0
19,35,"gonna","skirt",0,0
19,36,"giacca","jacket",0,0
19,37,"collana","necklace",0,0
19,39,"cappotto","coat",0,0
19,56,"torta","cake",0,0
19,64,"riso","rice",0,0
19,69,"piselli","peas",0,0
19,70,"pesca","peach",0,0
19,71,"pera","pear",0,0
19,73,"patate","potato",0,0
19,84,"mela","apple",0,0
19,94,"formaggio","cheese",0,0
19,112,"banana","banana",0,0
19,121,"secchiello","bucket",0,0
19,123,"pistola","gun",0,0
19,126,"paletta","spade",0,0
19,128,"favola","book",0,0
19,133,"bambola","doll",0,0
19,134,"treno","train",0,0
19,135,"trattore","tractor",0,0
19,138,"motocicletta","motorcycle",0,0
19,139,"jeep","jeep",0,0
19,142,"camion","truck",0,0
19,144,"barca","boat",0,0
19,145,"automobile","car",0,0
19,146,"autobus","bus",0,0
19,147,"aereo","airplane",0,0
19,151,"topo","mouse",0,0
19,152,"tigre","tiger",0,0
19,153,"tartaruga","turtle",0,0
19,157,"rana","frog",0,0
19,159,"pinguino","penguin",0,0
19,161,"pecora","sheep",0,0
19,162,"papera","duck",0,0
19,163,"orso","bear",0,0
19,164,"oca","goose",0,0
19,165,"mucca","cow",0,0
19,167,"maiale","pig",0,0
19,169,"leone","lion",0,0
19,172,"giraffa","giraffe",0,0
19,173,"gatto","cat",0,0
19,174,"gallo","rooster",0,0
19,176,"formica","ant",0,0
19,178,"farfalla","butterfly",0,0
19,179,"elefante","elephant",0,0
19,182,"coccodrillo","crocodile",0,0
19,183,"cerbiatto","fawn",0,0
19,184,"cavallo","horse",0,0
19,185,"capra","goat",0,0
19,186,"cane","dog",0,0
19,187,"asino","donkey",0,0
19,190,"agnello","lamb",0,0
19,213,"biberon","bottle",0,0
19,215,"bottiglia","bottle",0,0
19,221,"coltello","knife",0,0
19,224,"cucchiaio","spoon",0,0
19,225,"cuscino","pillow",0,0
19,229,"forbici","scissors",0,0
19,230,"forchetta","fork",0,0
19,234,"libro","book",0,0
19,235,"martello","hammer",0,0
19,236,"matita","pen",0,0
19,239,"ombrello","umbrella",0,0
19,240,"orologio","clock",0,0
19,241,"pentola","pot",0,0
19,244,"piatto","dish",0,0
19,247,"scatola","box",0,0
19,248,"scopa","broom",0,0
19,253,"specchio","mirror",0,0
19,256,"tazza","cup",0,0
19,257,"telefono","telephone",0,0
19,261,"armadio","closet",0,0
19,269,"divano","couch",0,0
19,276,"lavandino","sink",0,0
19,278,"letto","bed",0,0
19,281,"porta","door",0,0
19,287,"sedia","chair",0,0
19,289,"tappeto","carpet",0,0
19,290,"tavolo","table",0,0
19,293,"vasca da bagno","bathtub",0,0
19,296,"ascensore","elevator",0,0
19,306,"garage","garage",0,0
19,315,"sasso","stone",0,0
20,23,"sciarpa","scarf",0,0
20,25,"pigiama","pajamas",0,0
20,27,"pantaloni","pants",0,0
20,31,"maglione","sweater",0,0
20,33,"guanti","gloves",0,0
20,35,"gonna","skirt",0,0
20,36,"giacca","jacket",0,0
20,37,"collana","necklace",0,0
20,39,"cappotto","coat",0,0
20,56,"torta","cake",0,0
20,64,"riso","rice",0,0
20,69,"piselli","peas",0,0
20,70,"pesca","peach",0,0
20,71,"pera","pear",0,0
20,73,"patate","potato",0,0
20,84,"mela","apple",1,0
20,94,"formaggio","cheese",0,0
20,112,"banana","banana",1,0
20,121,"secchiello","bucket",0,0
20,123,"pistola","gun",0,0
20,126,"paletta","spade",0,0
20,128,"favola","book",0,0
20,133,"bambola","doll",0,0
20,134,"treno","train",0,0
20,135,"trattore","tractor",0,0
20,138,"motocicletta","motorcycle",0,0
20,139,"jeep","jeep",0,0
20,142,"camion","truck",0,0
20,144,"barca","boat",0,0
20,145,"automobile","car",0,0
20,146,"autobus","bus",0,0
20,147,"aereo","airplane",0,0
20,151,"topo","mouse",0,0
20,152,"tigre","tiger",0,0
20,153,"tartaruga","turtle",0,0
20,157,"rana","frog",0,0
20,159,"pinguino","penguin",0,0
20,161,"pecora","sheep",0,0
20,162,"papera","duck",0,0
20,163,"orso","bear",0,0
20,164,"oca","goose",0,0
20,165,"mucca","cow",0,0
20,167,"maiale","pig",0,0
20,169,"leone","lion",0,0
20,172,"giraffa","giraffe",0,0
20,173,"gatto","cat",0,0
20,174,"gallo","rooster",0,0
20,176,"formica","ant",0,0
20,178,"farfalla","butterfly",0,0
20,179,"elefante","elephant",0,0
20,182,"coccodrillo","crocodile",0,0
20,183,"cerbiatto","fawn",0,0
20,184,"cavallo","horse",0,0
20,185,"capra","goat",0,0
20,186,"cane","dog",0,0
20,187,"asino","donkey",0,0
20,190,"agnello","lamb",0,0
20,213,"biberon","bottle",0,0
20,215,"bottiglia","bottle",0,0
20,221,"coltello","knife",0,0
20,224,"cucchiaio","spoon",0,0
20,225,"cuscino","pillow",0,0
20,229,"forbici","scissors",0,0
20,230,"forchetta","fork",0,0
20,234,"libro","book",0,0
20,235,"martello","hammer",0,0
20,236,"matita","pen",0,0
20,239,"ombrello","umbrella",0,0
20,240,"orologio","clock",0,0
20,241,"pentola","pot",0,0
20,244,"piatto","dish",0,0
20,247,"scatola","box",0,0
20,248,"scopa","broom",0,0
20,253,"specchio","mirror",0,0
20,256,"tazza","cup",0,0
20,257,"telefono","telephone",0,0
20,261,"armadio","closet",0,0
20,269,"divano","couch",0,0
20,276,"lavandino","sink",0,0
20,278,"letto","bed",0,0
20,281,"porta","door",0,0
20,287,"sedia","chair",0,0
20,289,"tappeto","carpet",0,0
20,290,"tavolo","table",0,0
20,293,"vasca da bagno","bathtub",0,0
20,296,"ascensore","elevator",0,0
20,306,"garage","garage",0,0
20,315,"sasso","stone",0,0
21,23,"sciarpa","scarf",0,7
21,25,"pigiama","pajamas",0,5
21,27,"pantaloni","pants",0,5
21,31,"maglione","sweater",0,2
21,33,"guanti","gloves",0,0
21,35,"gonna","skirt",0,5
21,36,"giacca","jacket",0,2
21,37,"collana","necklace",0,3
21,39,"cappotto","coat",0,5
21,56,"torta","cake",0,8
21,64,"riso","rice",0,10
21,69,"piselli","peas",0,10
21,70,"pesca","peach",0,10
21,71,"pera","pear",1,8
21,73,"patate","potato",1,8
21,94,"formaggio","cheese",0,10
21,121,"secchiello","bucket",0,8
21,123,"pistola","gun",0,0
21,126,"paletta","spade",0,0
21,128,"favola","book",0,0
21,133,"bambola","doll",0,2
21,134,"treno","train",0,0
21,135,"trattore","tractor",0,6
21,138,"motocicletta","motorcycle",0,2
21,139,"jeep","jeep",0,6
21,142,"camion","truck",0,0
21,144,"barca","boat",0,0
21,145,"automobile","car",0,2
21,146,"autobus","bus",0,6
21,147,"aereo","airplane",1,0
21,151,"topo","mouse",0,2
21,152,"tigre","tiger",0,0
21,153,"tartaruga","turtle",0,8
21,157,"rana","frog",0,6
21,159,"pinguino","penguin",0,2
21,161,"pecora","sheep",0,2
21,162,"papera","duck",0,5
21,163,"orso","bear",0,2
21,164,"oca","goose",0,5
21,165,"mucca","cow",0,2
21,167,"maiale","pig",0,5
21,169,"leone","lion",0,0
21,172,"giraffa","giraffe",0,8
21,173,"gatto","cat",1,0
21,174,"gallo","rooster",0,8
21,176,"formica","ant",0,3
21,178,"farfalla","butterfly",0,2
21,179,"elefante","elephant",0,0
21,182,"coccodrillo","crocodile",0,6
21,183,"cerbiatto","fawn",0,5
21,184,"cavallo","horse",1,0
21,185,"capra","goat",0,2
21,186,"cane","dog",1,0
21,187,"asino","donkey",0,2
21,190,"agnello","lamb",0,5
21,213,"biberon","bottle",1,6
21,215,"bottiglia","bottle",0,6
21,221,"coltello","knife",0,0
21,224,"cucchiaio","spoon",1,0
21,225,"cuscino","pillow",0,5
21,229,"forbici","scissors",0,0
21,230,"forchetta","fork",0,0
21,234,"libro","book",0,0
21,235,"martello","hammer",0,0
21,236,"matita","pen",1,8
21,239,"ombrello","umbrella",0,8
21,240,"orologio","clock",1,8
21,241,"pentola","pot",0,8
21,244,"piatto","dish",0,8
21,247,"scatola","box",0,2
21,248,"scopa","broom",0,3
21,253,"specchio","mirror",0,0
21,256,"tazza","cup",0,2
21,257,"telefono","telephone",0,0
21,261,"armadio","closet",0,0
21,269,"divano","couch",0,5
21,276,"lavandino","sink",0,0
21,278,"letto","bed",1,5
21,281,"porta","door",1,0
21,287,"sedia","chair",0,0
21,289,"tappeto","carpet",0,7
21,290,"tavolo","table",0,8
21,293,"vasca da bagno","bathtub",0,4
21,296,"ascensore","elevator",0,0
21,306,"garage","garage",0,0
21,315,"sasso","stone",0,8
22,23,"sciarpa","scarf",0,35
22,25,"pigiama","pajamas",1,23
22,27,"pantaloni","pants",1,28
22,31,"maglione","sweater",0,15
22,33,"guanti","gloves",0,0
22,35,"gonna","skirt",0,21
22,36,"giacca","jacket",0,15
22,37,"collana","necklace",0,17
22,39,"cappotto","coat",1,24
22,56,"torta","cake",1,32
22,64,"riso","rice",0,48
22,69,"piselli","peas",0,53
22,70,"pesca","peach",0,51
22,94,"formaggio","cheese",1,39
22,121,"secchiello","bucket",0,49
22,123,"pistola","gun",0,21
22,126,"paletta","spade",0,19
22,128,"favola","book",0,0
22,133,"bambola","doll",1,6
22,134,"treno","train",1,22
22,135,"trattore","tractor",0,45
22,138,"motocicletta","motorcycle",0,11
22,139,"jeep","jeep",0,28
22,142,"camion","truck",0,7
22,144,"barca","boat",0,14
22,145,"automobile","car",0,19
22,146,"autobus","bus",0,30
22,151,"topo","mouse",0,18
22,152,"tigre","tiger",0,11
22,153,"tartaruga","turtle",0,39
22,157,"rana","frog",0,35
22,159,"pinguino","penguin",0,22
22,161,"pecora","sheep",0,18
22,162,"papera","duck",0,35
22,163,"orso","bear",0,26
22,164,"oca","goose",0,35
22,165,"mucca","cow",1,26
22,167,"maiale","pig",0,31
22,169,"leone","lion",0,11
22,172,"giraffa","giraffe",0,39
22,174,"gallo","rooster",0,51
22,176,"formica","ant",0,19
22,178,"farfalla","butterfly",1,19
22,179,"elefante","elephant",0,11
22,182,"coccodrillo","crocodile",0,47
22,183,"cerbiatto","fawn",0,38
22,185,"capra","goat",0,18
22,187,"asino","donkey",0,16
22,190,"agnello","lamb",0,34
22,215,"bottiglia","bottle",0,40
22,221,"coltello","knife",0,19
22,225,"cuscino","pillow",0,23
22,229,"forbici","scissors",0,24
22,230,"forchetta","fork",0,24
22,234,"libro","book",1,0
22,235,"martello","hammer",0,19
22,239,"ombrello","umbrella",1,54
22,241,"pentola","pot",0,52
22,244,"piatto","dish",1,42
22,247,"scatola","box",0,28
22,248,"scopa","broom",0,29
22,253,"specchio","mirror",0,12
22,256,"tazza","cup",0,24
22,257,"telefono","telephone",1,21
22,261,"armadio","closet",0,3
22,269,"divano","couch",0,34
22,276,"lavandino","sink",0,19
22,287,"sedia","chair",1,17
22,289,"tappeto","carpet",0,35
22,290,"tavolo","table",0,50
22,293,"vasca da bagno","bathtub",0,22
22,296,"ascensore","elevator",0,26
22,306,"garage","garage",0,14
22,315,"sasso","stone",1,33
23,23,"sciarpa","scarf",0,156
23,31,"maglione","sweater",0,109
23,33,"guanti","gloves",0,32
23,35,"gonna","skirt",0,119
23,36,"giacca","jacket",0,117
23,37,"collana","necklace",0,57
23,64,"riso","rice",1,171
23,69,"piselli","peas",0,168
23,70,"pesca","peach",0,165
23,121,"secchiello","bucket",0,152
23,123,"pistola","gun",0,91
23,126,"paletta","spade",0,75
23,128,"favola","book",0,0
23,135,"trattore","tractor",0,144
23,138,"motocicletta","motorcycle",0,35
23,139,"jeep","jeep",0,54
23,142,"camion","truck",1,62
23,144,"barca","boat",1,66
23,145,"automobile","car",0,117
23,146,"autobus","bus",0,104
23,151,"topo","mouse",0,81
23,152,"tigre","tiger",0,70
23,153,"tartaruga","turtle",0,145
23,157,"rana","frog",0,103
23,159,"pinguino","penguin",0,89
23,161,"pecora","sheep",1,85
23,162,"papera","duck",0,110
23,163,"orso","bear",1,105
23,164,"oca","goose",0,129
23,167,"maiale","pig",0,115
23,169,"leone","lion",0,59
23,172,"giraffa","giraffe",0,108
23,174,"gallo","rooster",0,139
23,176,"formica","ant",0,68
23,179,"elefante","elephant",1,91
23,182,"coccodrillo","crocodile",0,156
23,183,"cerbiatto","fawn",0,163
23,185,"capra","goat",0,85
23,187,"asino","donkey",0,80
23,190,"agnello","lamb",0,116
23,215,"bottiglia","bottle",1,113
23,221,"coltello","knife",1,86
23,225,"cuscino","pillow",0,82
23,229,"forbici","scissors",0,93
23,230,"forchetta","fork",1,93
23,235,"martello","hammer",0,82
23,241,"pentola","pot",0,151
23,247,"scatola","box",0,114
23,248,"scopa","broom",1,129
23,253,"specchio","mirror",0,44
23,256,"tazza","cup",0,128
23,261,"armadio","closet",0,26
23,269,"divano","couch",0,163
23,276,"lavandino","sink",0,80
23,289,"tappeto","carpet",0,164
23,290,"tavolo","table",0,184
23,293,"vasca da bagno","bathtub",0,111
23,296,"ascensore","elevator",0,113
23,306,"garage","garage",0,71
24,23,"sciarpa","scarf",0,209
24,31,"maglione","sweater",0,134
24,33,"guanti","gloves",1,36
24,35,"gonna","skirt",0,162
24,36,"giacca","jacket",0,145
24,37,"collana","necklace",1,96
24,69,"piselli","peas",0,256
24,70,"pesca","peach",0,226
24,121,"secchiello","bucket",1,274
24,123,"pistola","gun",0,187
24,126,"paletta","spade",1,178
24,128,"favola","book",0,0
24,135,"trattore","tractor",0,263
24,138,"motocicletta","motorcycle",1,98
24,139,"jeep","jeep",0,90
24,145,"automobile","car",1,177
24,146,"autobus","bus",0,192
24,151,"topo","mouse",1,183
24,152,"tigre","tiger",0,163
24,153,"tartaruga","turtle",0,272
24,157,"rana","frog",0,190
24,159,"pinguino","penguin",0,197
24,162,"papera","duck",0,208
24,164,"oca","goose",0,244
24,167,"maiale","pig",1,213
24,169,"leone","lion",1,149
24,172,"giraffa","giraffe",0,204
24,174,"gallo","rooster",1,244
24,176,"formica","ant",0,149
24,182,"coccodrillo","crocodile",0,298
24,183,"cerbiatto","fawn",0,289
24,185,"capra","goat",0,177
24,187,"asino","donkey",0,172
24,190,"agnello","lamb",0,211
24,225,"cuscino","pillow",1,151
24,229,"forbici","scissors",1,201
24,235,"martello","hammer",0,182
24,241,"pentola","pot",0,270
24,247,"scatola","box",0,259
24,253,"specchio","mirror",0,78
24,256,"tazza","cup",1,217
24,261,"armadio","closet",0,62
24,269,"divano","couch",0,269
24,276,"lavandino","sink",0,140
24,289,"tappeto","carpet",0,205
24,290,"tavolo","table",1,342
24,293,"vasca da bagno","bathtub",0,234
24,296,"ascensore","elevator",0,201
24,306,"garage","garage",0,172
25,23,"sciarpa","scarf",0,335
25,31,"maglione","sweater",1,216
25,35,"gonna","skirt",0,261
25,36,"giacca","jacket",0,230
25,69,"piselli","peas",1,441
25,70,"pesca","peach",0,396
25,123,"pistola","gun",0,351
25,128,"favola","book",1,0
25,135,"trattore","tractor",1,484
25,139,"jeep","jeep",0,143
25,146,"autobus","bus",0,305
25,152,"tigre","tiger",0,357
25,153,"tartaruga","turtle",1,474
25,157,"rana","frog",1,366
25,159,"pinguino","penguin",0,382
25,162,"papera","duck",0,368
25,164,"oca","goose",0,427
25,172,"giraffa","giraffe",1,384
25,176,"formica","ant",1,262
25,182,"coccodrillo","crocodile",1,553
25,183,"cerbiatto","fawn",0,540
25,185,"capra","goat",0,365
25,187,"asino","donkey",0,344
25,190,"agnello","lamb",0,422
25,235,"martello","hammer",0,366
25,241,"pentola","pot",1,468
25,247,"scatola","box",0,413
25,253,"specchio","mirror",1,124
25,261,"armadio","closet",0,114
25,269,"divano","couch",1,448
25,276,"lavandino","sink",1,300
25,289,"tappeto","carpet",0,341
25,293,"vasca da bagno","bathtub",0,411
25,296,"ascensore","elevator",1,362
25,306,"garage","garage",0,298
26,23,"sciarpa","scarf",0,493
26,35,"gonna","skirt",0,399
26,36,"giacca","jacket",1,352
26,70,"pesca","peach",0,618
26,123,"pistola","gun",1,606
26,139,"jeep","jeep",0,347
26,146,"autobus","bus",1,579
26,152,"tigre","tiger",1,666
26,159,"pinguino","penguin",0,660
26,162,"papera","duck",1,626
26,164,"oca","goose",1,762
26,183,"cerbiatto","fawn",0,890
26,185,"capra","goat",0,623
26,187,"asino","donkey",0,596
26,190,"agnello","lamb",0,742
26,235,"martello","hammer",1,629
26,247,"scatola","box",0,763
26,261,"armadio","closet",1,257
26,289,"tappeto","carpet",0,479
26,293,"vasca da bagno","bathtub",0,685
26,306,"garage","garage",0,504
27,23,"sciarpa","scarf",1,560
27,35,"gonna","skirt",0,454
27,70,"pesca","peach",0,770
27,139,"jeep","jeep",0,417
27,159,"pinguino","penguin",0,890
27,183,"cerbiatto","fawn",0,1118
27,185,"capra","goat",0,795
27,187,"asino","donkey",1,765
27,190,"agnello","lamb",0,960
27,247,"scatola","box",0,993
27,289,"tappeto","carpet",0,545
27,293,"vasca da bagno","bathtub",0,871
27,306,"garage","garage",0,706
28,35,"gonna","skirt",1,498
28,70,"pesca","peach",1,817
28,139,"jeep","jeep",0,424
28,159,"pinguino","penguin",0,943
28,183,"cerbiatto","fawn",0,1205
28,185,"capra","goat",0,852
28,190,"agnello","lamb",0,1042
28,247,"scatola","box",1,1043
28,289,"tappeto","carpet",0,592
28,293,"vasca da bagno","bathtub",1,897
28,306,"garage","garage",0,722
29,139,"jeep","jeep",0,445
29,159,"pinguino","penguin",0,1067
29,183,"cerbiatto","fawn",0,1346
29,185,"capra","goat",0,934
29,190,"agnello","lamb",0,1165
29,289,"tappeto","carpet",1,684
29,306,"garage","garage",1,837
30,139,"jeep","jeep",0,453
30,159,"pinguino","penguin",1,1086
30,183,"cerbiatto","fawn",0,1402
30,185,"capra","goat",0,953
30,190,"agnello","lamb",0,1214
31,139,"jeep","jeep",0,458
31,183,"cerbiatto","fawn",1,1469
31,185,"capra","goat",1,1013
31,190,"agnello","lamb",0,1278
32,139,"jeep","jeep",0,471
32,190,"agnello","lamb",0,1425
33,139,"jeep","jeep",0,471
33,190,"agnello","lamb",0,1425
34,139,"jeep","jeep",1,471
34,190,"agnello","lamb",0,1425
35,190,"agnello","lamb",0,1431
36,190,"agnello","lamb",1,1431
