"month","item","definition","uni_lemma","learned","value"
19,20,"vestito","dress",0,0
19,23,"sciarpa","scarf",0,0
19,25,"pigiama","pajamas",0,0
19,27,"pantaloni","pants",0,0
19,31,"maglione","sweater",0,0
19,33,"guanti","gloves",0,0
19,35,"gonna","skirt",0,0
19,36,"giacca","jacket",0,0
19,37,"collana","necklace",0,0
19,39,"cappotto","coat",0,0
19,56,"torta","cake",0,0
19,64,"riso","rice",0,0
19,67,"pollo","chicken",0,0
19,69,"piselli","peas",0,0
19,70,"pesca","peach",0,0
19,71,"pera","pear",0,0
19,73,"patate","potato",0,0
19,84,"mela","apple",0,0
19,94,"formaggio","cheese",0,0
19,112,"banana","banana",0,0
19,114,"arancia","orange",0,0
19,121,"secchiello","bucket",0,0
19,123,"pistola","gun",0,0
19,126,"paletta","spade",0,0
19,127,"giocattolo","toy",0,0
19,128,"favola","book",0,0
19,133,"bambola","doll",0,0
19,134,"treno","train",0,0
19,135,"trattore","tractor",0,0
19,138,"motocicletta","motorcycle",0,0
19,139,"jeep","jeep",0,0
19,142,"camion","truck",0,0
19,144,"barca","boat",0,0
19,145,"automobile","car",0,0
19,146,"autobus","bus",0,0
19,147,"aereo","airplane",0,0
19,151,"topo","mouse",0,0
19,152,"tigre","tiger",0,0
19,153,"tartaruga","turtle",0,0
19,157,"rana","frog",0,0
19,159,"pinguino","penguin",0,0
19,161,"pecora","sheep",0,0
19,162,"papera","duck",0,0
19,163,"orso","bear",0,0
19,164,"oca","goose",0,0
19,165,"mucca","cow",0,0
19,167,"maiale","pig",0,0
19,169,"leone","lion",0,0
19,172,"giraffa","giraffe",0,0
19,173,"gatto","cat",0,0
19,174,"gallo","rooster",0,0
19,176,"formica","ant",0,0
19,178,"farfalla","butterfly",0,0
19,179,"elefante","elephant",0,0
19,182,"coccodrillo","crocodile",0,0
19,183,"cerbiatto","fawn",0,0
19,184,"cavallo","horse",0,0
19,185,"capra","goat",0,0
19,186,"cane","dog",0,0
19,187,"asino","donkey",0,0
19,190,"agnello","lamb",0,0
19,213,"biberon","bottle",0,0
19,215,"bottiglia","bottle",0,0
19,221,"coltello","knife",0,0
19,224,"cucchiaio","spoon",0,0
19,225,"cuscino","pillow",0,0
19,229,"forbici","scissors",0,0
19,230,"forchetta","fork",0,0
19,234,"libro","book",0,0
19,235,"martello","hammer",0,0
19,239,"ombrello","umbrella",0,0
19,240,"orologio","clock",0,0
19,241,"pentola","pot",0,0
19,242,"pettine","comb",0,0
19,244,"piatto","dish",0,0
19,247,"scatola","box",0,0
19,248,"scopa","broom",0,0
19,253,"specchio","mirror",0,0
19,256,"tazza","cup",0,0
19,257,"telefono","telephone",0,0
19,261,"armadio","closet",0,0
19,269,"divano","couch",0,0
19,276,"lavandino","sink",0,0
19,278,"letto","bed",0,0
19,281,"porta","door",0,0
19,287,"sedia","chair",0,0
19,289,"tappeto","carpet",0,0
19,290,"tavolo","table",0,0
19,293,"vasca da bagno","bathtub",0,0
19,296,"ascensore","elevator",0,0
19,306,"garage","garage",0,0
19,315,"sasso","stone",0,0
20,20,"vestito","dress",0,0
20,23,"sciarpa","scarf",0,0
20,25,"pigiama","pajamas",0,0
20,27,"pantaloni","pants",0,0
20,31,"maglione","sweater",0,0
20,33,"guanti","gloves",0,0
20,35,"gonna","skirt",0,0
20,36,"giacca","jacket",0,0
20,37,"collana","necklace",0,0
20,39,"cappotto","coat",0,0
20,56,"torta","cake",0,0
20,64,"riso","rice",0,0
20,67,"pollo","chicken",0,0
20,69,"piselli","peas",0,0
20,70,"pesca","peach",0,0
20,71,"pera","pear",0,0
20,73,"patate","potato",0,0
20,84,"mela","apple",1,0
20,94,"formaggio","cheese",0,0
20,112,"banana","banana",1,0
20,114,"arancia","orange",0,0
20,121,"secchiello","bucket",0,0
20,123,"pistola","gun",0,0
20,126,"paletta","spade",0,0
20,127,"giocattolo","toy",0,0
20,128,"favola","book",0,0
20,133,"bambola","doll",0,0
20,134,"treno","train",0,0
20,135,"trattore","tractor",0,0
20,138,"motocicletta","motorcycle",0,0
20,139,"jeep","jeep",0,0
20,142,"camion","truck",0,0
20,144,"barca","boat",0,0
20,145,"automobile","car",0,0
20,146,"autobus","bus",0,0
20,147,"aereo","airplane",0,0
20,151,"topo","mouse",0,0
20,152,"tigre","tiger",0,0
20,153,"tartaruga","turtle",0,0
20,157,"rana","frog",0,0
20,159,"pinguino","penguin",0,0
20,161,"pecora","sheep",0,0
20,162,"papera","duck",0,0
20,163,"orso","bear",0,0
20,164,"oca","goose",0,0
20,165,"mucca","cow",0,0
20,167,"maiale","pig",0,0
20,169,"leone","lion",0,0
20,172,"giraffa","giraffe",0,0
20,173,"gatto","cat",0,0
20,174,"gallo","rooster",0,0
20,176,"formica","ant",0,0
20,178,"farfalla","butterfly",0,0
20,179,"elefante","elephant",0,0
20,182,"coccodrillo","crocodile",0,0
20,183,"cerbiatto","fawn",0,0
20,184,"cavallo","horse",0,0
20,185,"capra","goat",0,0
20,186,"cane","dog",0,0
20,187,"asino","donkey",0,0
20,190,"agnello","lamb",0,0
20,213,"biberon","bottle",0,0
20,215,"bottiglia","bottle",0,0
20,221,"coltello","knife",0,0
20,224,"cucchiaio","spoon",0,0
20,225,"cuscino","pillow",0,0
20,229,"forbici","scissors",0,0
20,230,"forchetta","fork",0,0
20,234,"libro","book",0,0
20,235,"martello","hammer",0,0
20,239,"ombrello","umbrella",0,0
20,240,"orologio","clock",0,0
20,241,"pentola","pot",0,0
20,242,"pettine","comb",0,0
20,244,"piatto","dish",0,0
20,247,"scatola","box",0,0
20,248,"scopa","broom",0,0
20,253,"specchio","mirror",0,0
20,256,"tazza","cup",0,0
20,257,"telefono","telephone",0,0
20,261,"armadio","closet",0,0
20,269,"divano","couch",0,0
20,276,"lavandino","sink",0,0
20,278,"letto","bed",0,0
20,281,"porta","door",0,0
20,287,"sedia","chair",0,0
20,289,"tappeto","carpet",0,0
20,290,"tavolo","table",0,0
20,293,"vasca da bagno","bathtub",0,0
20,296,"ascensore","elevator",0,0
20,306,"garage","garage",0,0
20,315,"sasso","stone",0,0
21,20,"vestito","dress",0,5
21,23,"sciarpa","scarf",0,7
21,25,"pigiama","pajamas",0,5
21,27,"pantaloni","pants",0,5
21,31,"maglione","sweater",0,2
21,33,"guanti","gloves",0,0
21,35,"gonna","skirt",0,5
21,36,"giacca","jacket",0,2
21,37,"collana","necklace",0,3
21,39,"cappotto","coat",0,5
21,56,"torta","cake",0,8
21,64,"riso","rice",0,10
21,67,"pollo","chicken",0,5
21,69,"piselli","peas",0,10
21,70,"pesca","peach",0,10
21,71,"pera","pear",1,8
21,73,"patate","potato",1,8
21,94,"formaggio","cheese",0,10
21,114,"arancia","orange",0,8
21,121,"secchiello","bucket",0,8
21,123,"pistola","gun",0,0
21,126,"paletta","spade",0,0
21,127,"giocattolo","toy",0,2
21,128,"favola","book",0,0
21,133,"bambola","doll",0,2
21,134,"treno","train",0,0
21,135,"trattore","tractor",0,6
21,138,"motocicletta","motorcycle",0,2
21,139,"jeep","jeep",0,6
21,142,"camion","truck",0,0
21,144,"barca","boat",0,0
21,145,"automobile","car",0,2
21,146,"autobus","bus",0,6
21,147,"aereo","airplane",1,0
21,151,"topo","mouse",0,2
21,152,"tigre","tiger",0,0
21,153,"tartaruga","turtle",0,8
21,157,"rana","frog",0,6
21,159,"pinguino","penguin",0,2
21,161,"pecora","sheep",0,2
21,162,"papera","duck",0,5
21,163,"orso","bear",0,2
21,164,"oca","goose",0,5
21,165,"mucca","cow",0,2
21,167,"maiale","pig",0,5
21,169,"leone","lion",0,0
21,172,"giraffa","giraffe",0,8
21,173,"gatto","cat",1,0
21,174,"gallo","rooster",0,8
21,176,"formica","ant",0,3
21,178,"farfalla","butterfly",0,2
21,179,"elefante","elephant",0,0
21,182,"coccodrillo","crocodile",0,6
21,183,"cerbiatto","fawn",0,5
21,184,"cavallo","horse",1,0
21,185,"capra","goat",0,2
21,186,"cane","dog",1,0
21,187,"asino","donkey",0,2
21,190,"agnello","lamb",0,5
21,213,"biberon","bottle",1,6
21,215,"bottiglia","bottle",0,6
21,221,"coltello","knife",0,0
21,224,"cucchiaio","spoon",1,0
21,225,"cuscino","pillow",0,5
21,229,"forbici","scissors",0,0
21,230,"forchetta","fork",0,0
21,234,"libro","book",0,0
21,235,"martello","hammer",0,0
21,239,"ombrello","umbrella",0,8
21,240,"orologio","clock",1,8
21,241,"pentola","pot",0,8
21,242,"pettine","comb",0,2
21,244,"piatto","dish",0,8
21,247,"scatola","box",0,2
21,248,"scopa","broom",0,3
21,253,"specchio","mirror",0,0
21,256,"tazza","cup",0,2
21,257,"telefono","telephone",0,0
21,261,"armadio","closet",0,0
21,269,"divano","couch",0,5
21,276,"lavandino","sink",0,0
21,278,"letto","bed",1,5
21,281,"porta","door",1,0
21,287,"sedia","chair",0,0
21,289,"tappeto","carpet",0,7
21,290,"tavolo","table",0,8
21,293,"vasca da bagno","bathtub",0,4
21,296,"ascensore","elevator",0,0
21,306,"garage","garage",0,0
21,315,"sasso","stone",0,8
22,20,"vestito","dress",0,11
22,23,"sciarpa","scarf",0,25
22,25,"pigiama","pajamas",1,22
22,27,"pantaloni","pants",1,18
22,31,"maglione","sweater",0,6
22,33,"guanti","gloves",0,0
22,35,"gonna","skirt",0,11
22,36,"giacca","jacket",0,6
22,37,"collana","necklace",0,8
22,39,"cappotto","coat",1,14
22,56,"torta","cake",1,30
22,64,"riso","rice",0,36
22,67,"pollo","chicken",1,33
22,69,"piselli","peas",0,40
22,70,"pesca","peach",0,39
22,94,"formaggio","cheese",1,36
22,114,"arancia","orange",0,27
22,121,"secchiello","bucket",0,33
22,123,"pistola","gun",0,10
22,126,"paletta","spade",0,8
22,127,"giocattolo","toy",0,3
22,128,"favola","book",0,0
22,133,"bambola","doll",1,5
22,134,"treno","train",1,11
22,135,"trattore","tractor",0,32
22,138,"motocicletta","motorcycle",0,9
22,139,"jeep","jeep",0,25
22,142,"camion","truck",0,6
22,144,"barca","boat",0,11
22,145,"automobile","car",0,9
22,146,"autobus","bus",0,27
22,151,"topo","mouse",0,18
22,152,"tigre","tiger",0,10
22,153,"tartaruga","turtle",0,35
22,157,"rana","frog",0,32
22,159,"pinguino","penguin",0,21
22,161,"pecora","sheep",0,18
22,162,"papera","duck",0,33
22,163,"orso","bear",0,25
22,164,"oca","goose",0,33
22,165,"mucca","cow",1,25
22,167,"maiale","pig",0,30
22,169,"leone","lion",0,10
22,172,"giraffa","giraffe",0,37
22,174,"gallo","rooster",0,40
22,176,"formica","ant",0,10
22,178,"farfalla","butterfly",1,9
22,179,"elefante","elephant",0,10
22,182,"coccodrillo","crocodile",0,35
22,183,"cerbiatto","fawn",0,36
22,185,"capra","goat",0,18
22,187,"asino","donkey",0,16
22,190,"agnello","lamb",0,33
22,215,"bottiglia","bottle",0,28
22,221,"coltello","knife",0,8
22,225,"cuscino","pillow",0,22
22,229,"forbici","scissors",0,12
22,230,"forchetta","fork",0,12
22,234,"libro","book",1,0
22,235,"martello","hammer",0,8
22,239,"ombrello","umbrella",1,38
22,241,"pentola","pot",0,36
22,242,"pettine","comb",1,15
22,244,"piatto","dish",1,28
22,247,"scatola","box",0,24
22,248,"scopa","broom",0,17
22,253,"specchio","mirror",0,10
22,256,"tazza","cup",0,12
22,257,"telefono","telephone",1,10
22,261,"armadio","closet",0,3
22,269,"divano","couch",0,32
22,276,"lavandino","sink",0,8
22,287,"sedia","chair",1,15
22,289,"tappeto","carpet",0,25
22,290,"tavolo","table",0,36
22,293,"vasca da bagno","bathtub",0,20
22,296,"ascensore","elevator",0,14
22,306,"garage","garage",0,11
22,315,"sasso","stone",1,21
23,20,"vestito","dress",0,118
23,23,"sciarpa","scarf",0,158
23,31,"maglione","sweater",0,108
23,33,"guanti","gloves",0,33
23,35,"gonna","skirt",0,118
23,36,"giacca","jacket",0,116
23,37,"collana","necklace",0,42
23,64,"riso","rice",1,188
23,69,"piselli","peas",0,184
23,70,"pesca","peach",0,167
23,114,"arancia","orange",0,119
23,121,"secchiello","bucket",0,149
23,123,"pistola","gun",0,107
23,126,"paletta","spade",0,75
23,127,"giocattolo","toy",0,15
23,128,"favola","book",0,0
23,135,"trattore","tractor",0,162
23,138,"motocicletta","motorcycle",0,53
23,139,"jeep","jeep",0,55
23,142,"camion","truck",1,66
23,144,"barca","boat",1,84
23,145,"automobile","car",0,119
23,146,"autobus","bus",0,124
23,151,"topo","mouse",0,117
23,152,"tigre","tiger",0,104
23,153,"tartaruga","turtle",0,181
23,157,"rana","frog",0,124
23,159,"pinguino","penguin",0,126
23,161,"pecora","sheep",1,109
23,162,"papera","duck",0,136
23,163,"orso","bear",1,143
23,164,"oca","goose",0,155
23,167,"maiale","pig",0,141
23,169,"leone","lion",0,92
23,172,"giraffa","giraffe",0,131
23,174,"gallo","rooster",0,148
23,176,"formica","ant",0,67
23,179,"elefante","elephant",1,113
23,182,"coccodrillo","crocodile",0,175
23,183,"cerbiatto","fawn",0,205
23,185,"capra","goat",0,109
23,187,"asino","donkey",0,103
23,190,"agnello","lamb",0,141
23,215,"bottiglia","bottle",1,110
23,221,"coltello","knife",1,85
23,225,"cuscino","pillow",0,87
23,229,"forbici","scissors",0,92
23,230,"forchetta","fork",1,92
23,235,"martello","hammer",0,97
23,241,"pentola","pot",0,148
23,247,"scatola","box",0,134
23,248,"scopa","broom",1,128
23,253,"specchio","mirror",0,56
23,256,"tazza","cup",0,127
23,261,"armadio","closet",0,40
23,269,"divano","couch",0,188
23,276,"lavandino","sink",0,79
23,289,"tappeto","carpet",0,166
23,290,"tavolo","table",0,187
23,293,"vasca da bagno","bathtub",0,130
23,296,"ascensore","elevator",0,113
23,306,"garage","garage",0,75
24,20,"vestito","dress",0,163
24,23,"sciarpa","scarf",0,213
24,31,"maglione","sweater",0,135
24,33,"guanti","gloves",1,37
24,35,"gonna","skirt",0,163
24,36,"giacca","jacket",0,146
24,37,"collana","necklace",1,76
24,69,"piselli","peas",0,280
24,70,"pesca","peach",0,228
24,114,"arancia","orange",1,171
24,121,"secchiello","bucket",1,274
24,123,"pistola","gun",0,212
24,126,"paletta","spade",1,183
24,127,"giocattolo","toy",0,16
24,128,"favola","book",0,0
24,135,"trattore","tractor",0,290
24,138,"motocicletta","motorcycle",1,123
24,139,"jeep","jeep",0,91
24,145,"automobile","car",1,182
24,146,"autobus","bus",0,220
24,151,"topo","mouse",1,236
24,152,"tigre","tiger",0,212
24,153,"tartaruga","turtle",0,325
24,157,"rana","frog",0,219
24,159,"pinguino","penguin",0,251
24,162,"papera","duck",0,243
24,164,"oca","goose",0,279
24,167,"maiale","pig",1,248
24,169,"leone","lion",1,197
24,172,"giraffa","giraffe",0,236
24,174,"gallo","rooster",1,257
24,176,"formica","ant",0,155
24,182,"coccodrillo","crocodile",0,327
24,183,"cerbiatto","fawn",0,348
24,185,"capra","goat",0,210
24,187,"asino","donkey",0,204
24,190,"agnello","lamb",0,245
24,225,"cuscino","pillow",1,160
24,229,"forbici","scissors",1,204
24,235,"martello","hammer",0,204
24,241,"pentola","pot",0,270
24,247,"scatola","box",0,291
24,253,"specchio","mirror",0,97
24,256,"tazza","cup",1,218
24,261,"armadio","closet",0,85
24,269,"divano","couch",0,302
24,276,"lavandino","sink",0,141
24,289,"tappeto","carpet",0,209
24,290,"tavolo","table",1,350
24,293,"vasca da bagno","bathtub",0,266
24,296,"ascensore","elevator",0,204
24,306,"garage","garage",0,180
25,20,"vestito","dress",1,264
25,23,"sciarpa","scarf",0,343
25,31,"maglione","sweater",1,219
25,35,"gonna","skirt",0,264
25,36,"giacca","jacket",0,233
25,69,"piselli","peas",1,499
25,70,"pesca","peach",0,423
25,123,"pistola","gun",0,387
25,127,"giocattolo","toy",1,41
25,128,"favola","book",1,0
25,135,"trattore","tractor",1,525
25,139,"jeep","jeep",0,148
25,146,"autobus","bus",0,347
25,152,"tigre","tiger",0,440
25,153,"tartaruga","turtle",1,553
25,157,"rana","frog",1,410
25,159,"pinguino","penguin",0,458
25,162,"papera","duck",0,419
25,164,"oca","goose",0,479
25,172,"giraffa","giraffe",1,446
25,176,"formica","ant",1,272
25,182,"coccodrillo","crocodile",1,597
25,183,"cerbiatto","fawn",0,625
25,185,"capra","goat",0,413
25,187,"asino","donkey",0,390
25,190,"agnello","lamb",0,473
25,235,"martello","hammer",0,398
25,241,"pentola","pot",1,490
25,247,"scatola","box",0,460
25,253,"specchio","mirror",1,152
25,261,"armadio","closet",0,148
25,269,"divano","couch",1,496
25,276,"lavandino","sink",1,304
25,289,"tappeto","carpet",0,351
25,293,"vasca da bagno","bathtub",0,461
25,296,"ascensore","elevator",1,368
25,306,"garage","garage",0,310
26,23,"sciarpa","scarf",0,541
26,35,"gonna","skirt",0,442
26,36,"giacca","jacket",1,389
26,70,"pesca","peach",0,660
26,123,"pistola","gun",1,658
26,139,"jeep","jeep",0,363
26,146,"autobus","bus",1,641
26,152,"tigre","tiger",1,782
26,159,"pinguino","penguin",0,764
26,162,"papera","duck",1,695
26,164,"oca","goose",1,836
26,183,"cerbiatto","fawn",0,1010
26,185,"capra","goat",0,688
26,187,"asino","donkey",0,659
26,190,"agnello","lamb",0,813
26,235,"martello","hammer",1,681
26,247,"scatola","box",0,836
26,261,"armadio","closet",1,309
26,289,"tappeto","carpet",0,525
26,293,"vasca da bagno","bathtub",0,759
26,306,"garage","garage",0,524
27,23,"sciarpa","scarf",1,612
27,35,"gonna","skirt",0,501
27,70,"pesca","peach",0,821
27,139,"jeep","jeep",0,434
27,159,"pinguino","penguin",0,1012
27,183,"cerbiatto","fawn",0,1255
27,185,"capra","goat",0,871
27,187,"asino","donkey",1,839
27,190,"agnello","lamb",0,1043
27,247,"scatola","box",0,1078
27,289,"tappeto","carpet",0,595
27,293,"vasca da bagno","bathtub",0,955
27,306,"garage","garage",0,733
28,35,"gonna","skirt",1,547
28,70,"pesca","peach",1,869
28,139,"jeep","jeep",0,441
28,159,"pinguino","penguin",0,1068
28,183,"cerbiatto","fawn",0,1346
28,185,"capra","goat",0,930
28,190,"agnello","lamb",0,1128
28,247,"scatola","box",1,1130
28,289,"tappeto","carpet",0,644
28,293,"vasca da bagno","bathtub",1,982
28,306,"garage","garage",0,749
29,139,"jeep","jeep",0,462
29,159,"pinguino","penguin",0,1198
29,183,"cerbiatto","fawn",0,1493
29,185,"capra","goat",0,1014
29,190,"agnello","lamb",0,1254
29,289,"tappeto","carpet",1,740
29,306,"garage","garage",1,866
30,139,"jeep","jeep",0,470
30,159,"pinguino","penguin",1,1218
30,183,"cerbiatto","fawn",0,1551
30,185,"capra","goat",0,1033
30,190,"agnello","lamb",0,1304
31,139,"jeep","jeep",0,475
31,183,"cerbiatto","fawn",1,1622
