"month","item","definition","uni_lemma","learned","value"
18,1,"organo genitale femminile","vagina",0,0
18,2,"orecchio","ear",0,0
18,3,"ombelico","belly button",0,0
18,4,"occhio","eye",0,1
18,5,"naso","nose",0,0
18,6,"mano","hand",1,0
18,7,"lingua","tongue",0,0
18,8,"labbra",NA,0,0
18,9,"guance",NA,0,0
18,10,"gola",NA,0,0
18,11,"ginocchi",NA,0,0
18,12,"gambe","leg",0,0
18,13,"faccia","face",0,0
18,14,"dito","finger",0,0
18,15,"denti","tooth",0,0
18,17,"capelli","hair",0,1
18,18,"braccio","arm",0,0
18,19,"bocca","mouth",0,0
18,20,"vestito","dress (object)",0,0
18,21,"tuta","tracksuit",0,0
18,22,"stivali",NA,0,0
18,23,"sciarpa","scarf",0,0
18,24,"scarpe","shoe",1,0
18,25,"pigiama","pajamas",0,0
18,26,"pantofole",NA,0,0
18,27,"pantaloni","pants",0,0
18,28,"pannolino","diaper",0,0
18,29,"occhiali","glasses",0,0
18,30,"mutande","underpants",0,0
18,31,"maglione","sweater",0,0
18,32,"jeans",NA,0,0
18,33,"guanti","gloves",0,0
18,34,"grembiule",NA,0,0
18,35,"gonna","skirt",0,0
18,36,"giacca","jacket",0,0
18,37,"collana","necklace",0,0
18,38,"cinta",NA,0,0
18,39,"cappotto","coat",0,0
18,40,"cappello","hat",0,1
18,41,"camicia",NA,0,0
18,42,"calzettoni",NA,0,0
18,43,"calze","sock",0,0
18,44,"bretelle",NA,0,0
18,45,"bottone","button",0,0
18,46,"borsa",NA,0,0
18,47,"bavaglino",NA,0,0
18,48,"zucchine",NA,0,0
18,49,"zucchero","sugar",0,0
18,50,"yogurt","yogurt",0,0
18,51,"vino",NA,0,0
18,52,"verdura",NA,0,0
18,53,"uva","grapes",0,0
18,54,"uovo","egg",0,0
18,55,"tortellini",NA,0,0
18,56,"torta","cake",0,1
18,57,"tonno",NA,0,0
18,58,"the",NA,0,0
18,59,"sugo","sauce",0,0
18,60,"succo di frutta",NA,0,0
18,61,"spinaci",NA,0,0
18,62,"spaghetti",NA,0,0
18,63,"sale",NA,0,1
18,64,"riso","rice",0,0
18,65,"pomodori",NA,0,0
18,66,"polpette","meatball",0,0
18,67,"pollo","chicken (food)",0,0
18,68,"pizza",NA,0,0
18,69,"piselli","peas",0,0
18,70,"pesca","peach",0,0
18,71,"pera","pear",0,0
18,72,"patatine","chips",0,0
18,73,"patate","potato",0,0
18,74,"pasta","pasta",0,0
18,75,"pappa","baby food",1,0
18,76,"panna",NA,0,0
18,77,"panino",NA,0,0
18,78,"pane","bread",1,1
18,79,"olio",NA,0,1
18,80,"noccioline",NA,0,0
18,81,"minestrone/brodo",NA,0,0
18,82,"miele","honey",0,0
18,83,"melone",NA,0,0
18,84,"mela","apple",0,0
18,85,"marmellata",NA,0,0
18,86,"mandarino",NA,0,0
18,87,"leccalecca",NA,0,0
18,88,"latte","milk",1,0
18,89,"kiwi",NA,0,0
18,90,"gomma da masticare",NA,0,0
18,91,"ghiaccio",NA,0,0
18,92,"gelato","ice cream",0,0
18,93,"fragola",NA,0,0
18,94,"formaggio","cheese",0,0
18,95,"fagiolini",NA,0,0
18,96,"fagioli",NA,0,0
18,97,"crema",NA,0,0
18,98,"cracker","cracker",0,0
18,99,"cocomero/anguria",NA,0,0
18,100,"coca cola",NA,0,0
18,101,"cioccolata","chocolate",0,0
18,102,"ciliegie",NA,0,0
18,103,"carote","carrots",0,0
18,104,"carne","meat",0,0
18,105,"caramella","candy",0,0
18,106,"camomilla",NA,0,0
