"month","item","definition","uni_lemma","learned","value"
16,13,"(meite)mark","worm",0,24
16,14,"and","duck",0,30
16,16,"bjørn","bear",0,46
16,18,"ekorn","squirrel",0,40
16,19,"elefant","elephant",0,36
16,20,"elg","moose",0,40
16,24,"frosk","frog",0,30
16,26,"gås","goose",0,40
16,27,"gris","pig",0,32
16,29,"hest","horse",0,40
16,31,"hund","dog",0,28
16,33,"katt","cat",0,27
16,36,"ku","cow",0,42
16,37,"kylling (animal)","chicken (animal)",0,40
16,38,"lam","lamb",0,38
16,40,"løve","lion",0,37
16,42,"mus","mouse",0,35
16,44,"pingvin","penguin",0,36
16,46,"reinsdyr","deer",0,39
16,47,"sau","sheep",0,34
16,49,"sjiraff","giraffe",0,37
16,50,"skilpadde","turtle",0,42
16,51,"sommerfugl","butterfly",0,29
16,52,"tiger","tiger",0,41
16,53,"ugle","owl",0,30
16,59,"bil","car",0,24
16,62,"buss","bus",0,28
16,63,"fly","airplane",0,40
16,64,"helikopter","helicopter",0,23
16,65,"lastebil","truck",0,22
16,66,"motorsykkel","motorcycle",0,21
16,68,"tog","train",0,24
16,69,"traktor","tractor",0,41
16,71,"ball","ball",1,25
16,72,"ballong","balloon",0,45
16,74,"bok","book",0,1
16,76,"dukke","doll",0,9
16,82,"leke (object)","toy (object)",0,5
16,91,"appelsin","orange (food)",0,14
16,92,"banan","banana",0,37
16,95,"brød","bread",0,31
16,103,"eple","apple",0,18
16,116,"kake","cake",0,13
16,121,"kylling (food)","chicken (food)",0,40
16,129,"ost","cheese",0,32
16,140,"rosiner","raisin",0,32
16,159,"bukse","pants",0,37
16,161,"genser","sweater",0,16
16,163,"halskjede","necklace",0,11
16,165,"jakke","jacket",0,18
16,167,"kjole","dress (object)",0,20
16,170,"pysjamas","pajamas",0,16
16,171,"regntøy","coat",0,22
16,174,"skjerf","scarf",0,25
16,180,"støvler","boots",0,28
16,186,"votter","mittens",0,10
16,216,"børste","brush (object)",0,23
16,222,"eske","box",0,37
