"month","item","definition","uni_lemma","learned","value"
17,13,"(meite)mark","worm",0,0
17,14,"and","duck",0,0
17,16,"bjørn","bear",0,0
17,18,"ekorn","squirrel",0,0
17,19,"elefant","elephant",0,0
17,20,"elg","moose",0,0
17,24,"frosk","frog",0,0
17,26,"gås","goose",0,0
17,27,"gris","pig",0,0
17,29,"hest","horse",0,0
17,31,"hund","dog",0,0
17,33,"katt","cat",0,0
17,36,"ku","cow",0,0
17,38,"lam","lamb",0,0
17,40,"løve","lion",0,0
17,42,"mus","mouse",0,0
17,44,"pingvin","penguin",0,0
17,46,"reinsdyr","deer",0,0
17,47,"sau","sheep",0,0
17,49,"sjiraff","giraffe",0,0
17,50,"skilpadde","turtle",0,0
17,51,"sommerfugl","butterfly",0,0
17,52,"tiger","tiger",0,0
17,53,"ugle","owl",0,0
17,59,"bil","car",0,0
17,62,"buss","bus",0,0
17,63,"fly","airplane",0,0
17,64,"helikopter","helicopter",0,0
17,65,"lastebil","truck",0,0
17,66,"motorsykkel","motorcycle",0,0
17,68,"tog","train",0,0
17,69,"traktor","tractor",0,0
17,72,"ballong","balloon",0,0
17,73,"blyant","pen",0,0
17,74,"bok","book",0,0
17,76,"dukke","doll",0,0
17,79,"fargeblyant","pen",0,0
17,92,"banan","banana",1,0
17,95,"brød","bread",0,0
17,103,"eple","apple",0,0
17,116,"kake","cake",0,0
17,129,"ost","cheese",0,0
17,140,"rosiner","raisin",0,0
17,159,"bukse","pants",0,0
17,161,"genser","sweater",0,0
17,163,"halskjede","necklace",0,0
17,165,"jakke","jacket",0,0
17,170,"pysjamas","pajamas",0,0
17,171,"regntøy","coat",0,0
17,174,"skjerf","scarf",0,0
17,180,"støvler","boots",0,0
17,186,"votter","mittens",0,0
17,222,"eske","box",0,0
17,224,"flaske","bottle",0,0
17,226,"gaffel","fork",0,0
17,228,"hammer","hammer",0,0
17,234,"klokke","clock",0,0
17,235,"kniv","knife",0,0
17,236,"kopp","cup",0,0
17,237,"kost","broom",0,0
17,240,"lampe","lamp",0,0
17,248,"pute","pillow",0,0
17,249,"radio","radio",0,0
17,250,"saks","scissors",0,0
17,254,"skål","bowl",0,0
17,255,"skje","spoon",0,0
17,259,"tallerken","plate",0,0
17,261,"telefon","telephone",0,0
17,265,"badekar","bathtub",0,0
17,269,"bord","table",0,0
17,271,"dør","door",0,0
17,273,"garasje","garage",0,0
17,278,"komfyr","stove",0,0
17,280,"ovn","oven",0,0
17,284,"seng","bed",0,0
17,287,"sofa","couch",0,0
17,288,"soverom","bedroom",0,0
17,289,"stol","chair",0,0
17,295,"vask","sink",0,0
17,318,"spade","shovel",0,0
18,13,"(meite)mark","worm",0,1
18,14,"and","duck",0,1
18,16,"bjørn","bear",0,0
18,18,"ekorn","squirrel",0,0
18,19,"elefant","elephant",0,0
18,20,"elg","moose",0,0
18,24,"frosk","frog",0,1
18,26,"gås","goose",0,1
18,27,"gris","pig",0,1
18,29,"hest","horse",0,0
18,31,"hund","dog",0,0
18,33,"katt","cat",0,0
18,36,"ku","cow",0,0
18,38,"lam","lamb",0,1
18,40,"løve","lion",0,0
18,42,"mus","mouse",0,0
18,44,"pingvin","penguin",0,0
18,46,"reinsdyr","deer",0,1
18,47,"sau","sheep",0,0
18,49,"sjiraff","giraffe",0,1
18,50,"skilpadde","turtle",0,2
18,51,"sommerfugl","butterfly",0,1
18,52,"tiger","tiger",0,0
18,53,"ugle","owl",0,0
18,59,"bil","car",1,1
18,62,"buss","bus",0,1
18,63,"fly","airplane",0,0
18,64,"helikopter","helicopter",0,0
18,65,"lastebil","truck",0,0
18,66,"motorsykkel","motorcycle",0,1
18,68,"tog","train",0,0
18,69,"traktor","tractor",0,1
