"month","item","definition","uni_lemma","learned","value"
20,38,"бабочка","butterfly",0,0
20,39,"баран","sheep",0,2
20,41,"белка","squirrel",0,1
20,42,"волк","wolf",0,1
20,43,"воробей","sparrow",0,0
20,44,"ворона","crow",0,1
20,45,"голубь","pigeon",0,0
20,46,"гусь","goose",0,1
20,47,"ёж","hedgehog",0,0
20,48,"жираф","giraffe",0,1
20,49,"жук","bug",0,3
20,50,"заяц","bunny",0,1
20,51,"звери","animal",0,28
20,52,"змея","snake",0,0
20,53,"коза","goat",0,4
20,54,"комар","mosquito",0,1
20,55,"конь","stallion",0,0
20,56,"корова","cow",0,9
20,57,"кошка","cat",0,10
20,58,"крокодил","alligator",0,0
20,60,"лев","lion",0,3
20,61,"лиса","fox",0,1
20,62,"лошадь","horse",0,14
20,63,"лягушка","frog",0,0
20,64,"медведь","bear",0,4
20,66,"мышка","mouse",0,3
20,67,"обезьяна","monkey",0,2
20,68,"овечка","sheep",0,2
20,69,"ослик","donkey",0,1
20,70,"петух","rooster",0,1
20,71,"поросенок","piglet",0,0
20,72,"птичка","bird",0,13
20,74,"свинка","pig",0,4
20,75,"слон","elephant",0,1
20,76,"собака","dog",0,16
20,77,"сова","owl",0,0
20,78,"тигр","tiger",0,2
20,79,"утка","duck",0,2
20,80,"цыпленок","chick",0,0
20,81,"черепаха","turtle",0,0
20,82,"автобус","bus",0,3
20,83,"велосипед","bicycle",0,1
20,84,"вертолет","helicopter",0,1
20,85,"грузовик","truck",0,2
20,86,"коляска","stroller",0,0
20,87,"кораблик","boat",0,3
20,88,"машина","car",0,9
20,89,"паровоз","locomotive",0,0
20,90,"поезд","train",0,2
20,92,"самолет","airplane",0,1
20,93,"санки","sled",0,0
20,94,"трактор","tractor",0,0
20,95,"альбом","album",0,0
20,96,"ведро","bucket",0,1
20,97,"грабли","rake",0,1
20,101,"клей","glue",0,1
20,102,"книга","book",0,3
20,104,"кубики","block",0,0
20,105,"кукла","doll",0,1
20,106,"лопатка","shovel",0,2
20,107,"мозаика/пазл","puzzle",0,0
20,108,"мяч","ball",1,4
20,109,"песенка","song",0,3
20,110,"пластилин","play dough",0,0
20,112,"совок","spade",0,1
20,113,"сказка","story",0,0
20,114,"фломастер","marker",0,1
20,115,"формочка","mold",0,0
20,116,"фотографии","picture",0,4
20,117,"шарик","balloon",0,0
20,118,"юла","top",0,15
20,121,"банан","banana",0,3
20,123,"булка","bun",0,0
20,124,"варенье","jam",0,3
20,128,"груша","pear",0,2
20,129,"горох","peas",0,2
20,131,"еда","food",0,36
20,132,"изюм","raisin",0,0
20,133,"йогурт","yogurt",0,2
