"month","item","definition","uni_lemma","learned","value"
16,15,"vaca","cow",0,33
16,16,"tortuga","turtle",0,33
16,18,"ratón","mouse",0,30
16,19,"rana","frog",0,23
16,20,"puerco","pig",0,26
16,24,"perro","dog",0,20
16,25,"pato","duck",0,24
16,27,"oso","bear",0,36
16,31,"mariposa","butterfly",0,23
16,33,"león","lion",0,25
16,34,"jirafa","giraffe",0,26
16,35,"hormiga","ant",0,15
16,38,"gato","cat",0,19
16,42,"elefante","elephant",0,25
16,46,"caballo","horse",0,31
16,47,"burro","donkey",0,25
16,50,"borrego","lamb",0,32
16,53,"araña","spider",0,30
16,58,"tren","train",0,17
16,60,"moto","motorcycle",0,15
16,61,"helicóptero","helicopter",0,18
16,62,"carro/coche","car",0,17
16,64,"camión/troca","truck",0,16
16,67,"barco","boat",0,24
16,68,"avión","airplane",0,27
16,71,"arroz","rice",0,32
16,90,"frijoles","beans",0,25
16,105,"manzana","apple",0,18
16,108,"naranja","orange (food)",0,12
16,111,"pan","bread",1,23
16,116,"pastel","cake",0,11
16,119,"plátano/banana","banana",0,29
16,120,"pollo","chicken (food)",0,31
16,122,"queso","cheese",0,24
16,146,"falda","skirt",0,14
16,152,"pantalón","pants",0,28
16,153,"pijama","pajamas",0,12
16,158,"suéter","sweater",0,13
16,159,"vestido","dress (object)",0,14
16,192,"globo/bomba","balloon",0,39
16,194,"juguete","toy (object)",0,4
16,196,"libro","book",0,1
16,197,"muñeca","doll",0,7
16,200,"pelota","ball",1,25
16,204,"tambor","drum",0,22
16,206,"botas","boots",0,19
16,211,"almohada","pillow",0,15
16,215,"botella/mamila","bottle",0,17
16,216,"caja","box",0,28
16,221,"cepillo","brush (object)",0,19
16,224,"cigarros","cigarette",0,18
16,229,"cuchara","spoon",0,21
16,230,"cuchillo","knife",0,20
16,232,"escoba","broom",0,21
16,233,"espejo","mirror",0,9
16,245,"peine","comb (object)",0,37
16,248,"plato","plate",0,33
16,249,"radio","radio",0,2
16,253,"taza","cup",0,25
16,254,"teléfono","telephone",0,13
16,255,"tenedor","fork",0,17
16,256,"tijeras","scissors",0,20
16,260,"vela","candle",0,15
16,282,"piedra","rock (object)",0,9
16,296,"cama","bed",0,12
16,304,"estufa","stove",0,16
16,309,"mesa","table",0,34
16,312,"puerta","door",0,17
16,319,"silla","chair",0,24
16,323,"tina","bathtub",0,27
17,15,"vaca","cow",0,33
17,16,"tortuga","turtle",0,33
17,18,"ratón","mouse",0,30
17,19,"rana","frog",0,23
17,20,"puerco","pig",0,26
17,24,"perro","dog",0,20
17,25,"pato","duck",0,24
17,27,"oso","bear",0,36
17,31,"mariposa","butterfly",0,23
17,33,"león","lion",0,25
17,34,"jirafa","giraffe",0,26
17,35,"hormiga","ant",0,15
17,38,"gato","cat",0,19
17,42,"elefante","elephant",0,25
17,46,"caballo","horse",0,31
17,47,"burro","donkey",0,25
17,50,"borrego","lamb",0,32
17,53,"araña","spider",0,30
17,58,"tren","train",0,17
17,60,"moto","motorcycle",0,15
17,61,"helicóptero","helicopter",0,18
17,62,"carro/coche","car",0,17
17,64,"camión/troca","truck",0,16
17,67,"barco","boat",0,24
17,68,"avión","airplane",0,27
17,71,"arroz","rice",0,32
17,90,"frijoles","beans",0,25
17,105,"manzana","apple",0,18
17,108,"naranja","orange (food)",0,12
17,116,"pastel","cake",0,11
17,119,"plátano/banana","banana",0,29
17,120,"pollo","chicken (food)",0,31
17,122,"queso","cheese",0,24
17,146,"falda","skirt",0,14
17,152,"pantalón","pants",0,28
17,153,"pijama","pajamas",0,12
17,158,"suéter","sweater",0,13
17,159,"vestido","dress (object)",0,14
17,192,"globo/bomba","balloon",0,39
17,194,"juguete","toy (object)",0,4
17,196,"libro","book",0,1
17,197,"muñeca","doll",0,7
17,204,"tambor","drum",0,22
17,206,"botas","boots",0,19
17,211,"almohada","pillow",0,15
17,215,"botella/mamila","bottle",0,17
17,216,"caja","box",0,28
17,221,"cepillo","brush (object)",0,19
17,224,"cigarros","cigarette",0,18
17,229,"cuchara","spoon",0,21
17,230,"cuchillo","knife",0,20
