"month","item","definition","uni_lemma","learned","value"
17,16,"At","horse",0,0
17,17,"Ayı","bear",0,0
17,23,"Eşek","donkey",0,0
17,29,"İnek","cow",0,0
17,35,"Kedi","cat",0,0
17,37,"Köpek","dog",0,1
17,38,"Kurbağa","frog",0,0
17,43,"Ördek","duck",0,0
17,49,"Tavuk","chicken",0,0
17,54,"Kuzu","lamb",0,0
17,55,"Ambulans","ambulance",0,0
17,56,"Araba","car",0,1
17,58,"Gemi","boat",0,0
17,59,"Helikopter","helicopter",0,0
17,61,"Kamyon","truck",0,0
17,63,"Motosiklet","motorcycle",0,1
17,64,"Otobüs","bus",0,0
17,65,"Traktör","tractor",0,0
17,66,"Tren","train",0,0
17,67,"Uçak","airplane",0,0
17,69,"Balon","balloon",0,2
17,72,"Boya","crayon",0,2
17,77,"Kitap","book",0,0
17,78,"Kova","bucket",0,1
17,83,"Oyuncak","toy",0,2
17,87,"Tüfek","gun",0,0
17,89,"Armut","pear",0,0
17,101,"Domates","tomato",0,1
17,103,"Ekmek","bread",0,0
17,104,"Elma","apple",0,1
17,113,"Kek","cake",0,0
17,119,"Limon","lemon",0,0
17,126,"Muz","banana",0,1
17,129,"Pasta","cake",0,0
17,130,"Patates","potato",0,0
17,131,"Peynir","cheese",0,1
17,132,"Pilav","rice",0,1
17,135,"Portakal","orange",0,1
17,154,"Zeytin","olive",0,0
17,157,"Bilezik","bracelet",0,1
17,160,"Ceket","jacket",0,1
17,165,"Elbise","dress",0,1
17,168,"Etek","skirt",0,1
17,172,"Kazak","sweater",0,1
17,177,"Palto","coat",0,1
17,178,"Pantolon","pants",0,1
17,179,"Pijama","pajamas",0,0
17,215,"Ayna","mirror",0,0
17,220,"Biberon","bottle",0,0
17,222,"Çatal","fork",0,0
17,224,"Çekiç","hammer",0,0
17,230,"Kaşık","spoon",0,0
17,232,"Lamba","lamp",0,0
17,237,"Radyo","radio",0,0
17,239,"Saat","clock",0,1
17,243,"Tabak","plate",0,2
17,244,"Tarak","comb",0,1
17,245,"Telefon","telephone",0,0
17,251,"Dolap","cupboard",0,0
17,253,"Fırın","oven",0,0
17,256,"Kapı","door",0,0
17,259,"Masa","table",0,1
17,266,"Sandalye","chair",0,0
17,270,"Yatak","bed",0,0
17,271,"Yastık","pillow",0,0
17,286,"Duvar","wall",0,0
17,296,"Köprü","bridge",0,0
17,302,"Taş","rock",0,1
18,16,"At","horse",0,0
18,17,"Ayı","bear",0,0
18,23,"Eşek","donkey",0,0
18,29,"İnek","cow",0,0
18,35,"Kedi","cat",0,0
18,37,"Köpek","dog",0,1
18,38,"Kurbağa","frog",0,0
18,43,"Ördek","duck",0,0
18,49,"Tavuk","chicken",0,0
18,54,"Kuzu","lamb",0,0
18,55,"Ambulans","ambulance",0,0
18,56,"Araba","car",1,1
18,58,"Gemi","boat",0,0
18,59,"Helikopter","helicopter",0,0
18,61,"Kamyon","truck",0,0
18,63,"Motosiklet","motorcycle",0,1
18,64,"Otobüs","bus",0,0
18,65,"Traktör","tractor",0,0
18,66,"Tren","train",0,0
18,67,"Uçak","airplane",0,0
18,69,"Balon","balloon",0,2
18,72,"Boya","crayon",0,2
18,77,"Kitap","book",0,0
18,78,"Kova","bucket",0,1
18,83,"Oyuncak","toy",0,2
18,87,"Tüfek","gun",0,0
18,89,"Armut","pear",0,0
18,101,"Domates","tomato",0,1
18,103,"Ekmek","bread",0,0
18,104,"Elma","apple",0,1
18,113,"Kek","cake",0,0
18,119,"Limon","lemon",0,0
18,126,"Muz","banana",0,1
18,129,"Pasta","cake",0,0
18,130,"Patates","potato",0,0
18,131,"Peynir","cheese",0,1
18,132,"Pilav","rice",0,1
18,135,"Portakal","orange",0,1
18,154,"Zeytin","olive",0,0
18,157,"Bilezik","bracelet",0,1
18,160,"Ceket","jacket",0,1
18,165,"Elbise","dress",0,1
18,168,"Etek","skirt",0,1
18,172,"Kazak","sweater",0,1
18,177,"Palto","coat",0,1
18,178,"Pantolon","pants",0,1
18,179,"Pijama","pajamas",0,0
18,215,"Ayna","mirror",0,0
18,220,"Biberon","bottle",0,0
